"Pending Appointment and Electronic Wait List
Summary -National, Facility, and Division Level
Summaries Wait Time Calculated from Preferred
Date
For the period ending:  11/1/2016","1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0-14
Days","9. EWL 0-
14 Days","10. Appts
Between 15-30
Days","11. EWL 15
-30 days","12. Appts
Between 31-60
Days","13. EWL 31
-60 Days","14. Appts
Between 61-90
Days","15. EWL 61
-90 Days","16. Appts
Between 91-
120 Days","17. EWL 91
-120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
"(V07) (557) Carl Vinson VA Medical
Center","19,899","15,299",76.88%,"4,600",23.12%,0,153,"13,873",9,"1,426",14,"1,800",19,904,41,"1,336",15,560,55,11.92,29.59,2.1
(V07) (557GA) Macon,"2,085","1,905",91.37%,180,8.63%,0,1,"1,780",1,125,0,121,0,58,0,1,0,0,0,7.91,0.94,7.7
(V07) (557GB) Albany,"2,006","1,731",86.29%,275,13.71%,0,9,"1,562",1,169,0,210,6,45,1,15,0,5,1,23.97,6.68,2.4
(V07) (557GC) Milledgeville,427,423,99.06%,4,0.94%,0,0,403,0,20,0,3,0,0,0,0,0,1,0,2.87,6.17,3.32
(V07) (557GE) Brunswick,"1,564","1,522",97.31%,42,2.69%,0,2,"1,436",1,86,0,33,0,4,0,1,1,4,0,3.73,4.12,6.94
(V07) (557GF) Tift County,881,795,90.24%,86,9.76%,0,6,736,6,59,0,42,0,22,0,22,0,0,0,12.61,5.67,0.97
(V07) (557HA) Perry,"1,724","1,395",80.92%,329,19.08%,0,1,"1,123",0,272,0,172,0,76,0,80,0,1,1,22.77,22.09,12.01
"(V07) (619) Central Alabama Veterans HCS, AL","51,948","45,106",86.83%,"6,842",13.17%,4,139,"41,744",26,"3,362",27,"3,490",31,"2,133",10,760,6,459,39,6.77,17.84,7.77
"(V07) (619) Central Alabama VAMC -
Montgomery","9,042","7,501",82.96%,"1,541",17.04%,0,57,"6,678",6,823,3,667,8,528,0,196,1,150,39,,16.59,4.3
"(V07) (619A4) Central Alabama VAMC -
Tuskegee","13,579","11,214",82.58%,"2,365",17.42%,0,74,"10,386",18,828,22,"1,137",19,810,10,307,5,111,0,7.4,21.38,2.51
(V07) (619GA) Columbus,"2,864","2,284",79.75%,580,20.25%,0,1,"2,105",0,179,0,300,1,240,0,29,0,11,0,32.56,8.05,9.64
(V07) (619GB) Dothan 1,"5,000","4,703",94.06%,297,5.94%,0,4,"4,498",0,205,2,148,2,41,0,8,0,100,0,2.69,,15.51
(V07) (619GD) Wiregrass,"3,354","3,308",98.63%,46,1.37%,0,1,"3,209",0,99,0,33,1,7,0,4,0,2,0,2.22,3.43,1.83
(V07) (619GE) Monroe County,"1,099","1,094",99.55%,5,0.45%,0,0,"1,085",0,9,0,4,0,0,0,1,0,0,0,0.51,0,2.15
"(V07) (619GF) Central Alabama
Montgomery VA Clinic","10,425","9,015",86.47%,"1,410",13.53%,0,1,"8,035",1,980,0,"1,019",0,258,0,105,0,28,0,6.67,19.48,3.81
(V07) (619QB) Fort Benning,"6,585","5,987",90.92%,598,9.08%,0,1,"5,748",1,239,0,182,0,249,0,110,0,57,0,7.5,4.79,51.14
"(V07) (679) Tuscaloosa, AL","6,961","6,484",93.15%,477,6.85%,3,52,"5,657",5,827,12,361,5,94,5,15,6,7,19,8.4,8.3,4.39
"(V07) (679) Tuscaloosa VA Medical
Center","6,813","6,342",93.09%,471,6.91%,0,52,"5,525",5,817,12,355,5,94,5,15,6,7,19,8.57,8.3,4.39
"(V07) (679HK) Tuscaloosa VA Mobile
Clinic",148,142,95.95%,6,4.05%,0,0,132,0,10,0,6,0,0,0,0,0,0,0,5.97,,
"(V08) (516) Bay Pines, FL","183,020","177,546",97.01%,"5,474",2.99%,21,46,"171,106",16,"6,440",3,"3,297",6,"1,112",7,436,2,629,12,3.4,5.38,2.98
(V08) (516) C.W. Bill Young VAMC,"86,788","84,147",96.96%,"2,641",3.04%,0,32,"80,566",9,"3,581",0,"1,739",4,488,5,156,2,258,12,3.78,5.25,3.14
(V08) (516BZ) Lee County,"42,287","40,412",95.57%,"1,875",4.43%,0,3,"38,747",2,"1,665",0,"1,102",1,441,0,165,0,167,0,3.38,6.66,2.47
(V08) (516GA) Sarasota,"11,102","10,914",98.31%,188,1.69%,0,4,"10,714",3,200,0,125,1,35,0,15,0,13,0,2.8,4.19,2.66
(V08) (516GB) St. Petersburg,"2,396","2,383",99.46%,13,0.54%,0,0,"2,373",0,10,0,4,0,3,0,3,0,3,0,1.02,0,0.84
(V08) (516GC) Palm Harbor,"6,452","6,228",96.53%,224,3.47%,0,2,"6,071",0,157,0,64,0,89,2,66,0,5,0,4.21,3.39,3.8
(V08) (516GD) Bradenton,"13,785","13,586",98.56%,199,1.44%,0,4,"13,179",1,407,3,151,0,9,0,8,0,31,0,1.99,2.91,5.37
(V08) (516GE) Port Charlotte,"9,215","9,021",97.89%,194,2.11%,0,1,"8,749",1,272,0,97,0,43,0,20,0,34,0,3.96,4.26,2.77
(V08) (516GF) Naples,"7,225","7,208",99.76%,17,0.24%,0,0,"7,114",0,94,0,4,0,2,0,2,0,9,0,1.64,4.19,1.98
(V08) (516GH) Sebring,"3,770","3,647",96.74%,123,3.26%,0,0,"3,593",0,54,0,11,0,2,0,1,0,109,0,8.89,7.19,2.17
"(V08) (546) Miami, FL","86,325","81,161",94.02%,"5,164",5.98%,95,6,"76,574",6,"4,587",0,"2,860",0,830,0,400,0,"1,074",0,5.95,8.08,2.63
(V08) (546) Bruce W Carter VAMC,"44,312","41,698",94.10%,"2,614",5.90%,0,5,"39,430",5,"2,268",0,"1,528",0,435,0,201,0,450,0,10.69,5.6,1.04
(V08) (546BZ) William Bill Kling VAOC,"28,553","26,246",91.92%,"2,307",8.08%,0,1,"24,273",1,"1,973",0,"1,173",0,358,0,181,0,595,0,4.89,12.79,4.19
(V08) (546GA) Miami,107,105,98.13%,2,1.87%,0,0,104,0,1,0,2,0,0,0,0,0,0,0,0.27,,4.18
(V08) (546GB) Key West,"1,799","1,758",97.72%,41,2.28%,0,0,"1,708",0,50,0,17,0,9,0,5,0,10,0,5.01,8.35,3.35
(V08) (546GC) Homestead,"3,793","3,723",98.15%,70,1.85%,0,0,"3,586",0,137,0,56,0,9,0,1,0,4,0,4.03,3.27,4.21
(V08) (546GD) Pembroke Pines,"2,532","2,487",98.22%,45,1.78%,0,0,"2,421",0,66,0,34,0,7,0,1,0,3,0,2.48,4.13,2.09
(V08) (546GE) Key Largo,699,686,98.14%,13,1.86%,0,0,655,0,31,0,11,0,0,0,2,0,0,0,2.73,18.73,5.22
(V08) (546GF) Hollywood,"2,877","2,841",98.75%,36,1.25%,0,0,"2,803",0,38,0,19,0,4,0,4,0,9,0,2.08,4.01,1.7
(V08) (546GH) Deerfield Beach,"1,653","1,617",97.82%,36,2.18%,0,0,"1,594",0,23,0,20,0,8,0,5,0,3,0,1.46,13.36,8.06
"(V08) (548) West Palm Beach, FL","110,123","105,041",95.39%,"5,082",4.61%,93,5,"99,787",2,"5,254",0,"2,942",3,"1,090",0,475,0,575,0,2.69,9.93,5.44
(V08) (548GA) Fort Pierce,"5,426","5,381",99.17%,45,0.83%,0,0,"5,320",0,61,0,33,0,2,0,3,0,7,0,0.97,4.19,5.25
(V08) (548GB) Delray Beach,"7,902","7,875",99.66%,27,0.34%,0,0,"7,828",0,47,0,12,0,1,0,2,0,12,0,0.67,3.12,2.06
(V08) (548GC) Stuart,"7,089","7,026",99.11%,63,0.89%,0,0,"6,941",0,85,0,26,0,3,0,1,0,33,0,2.55,4.81,5.53
(V08) (548GD) Boca Raton,"3,877","3,834",98.89%,43,1.11%,0,0,"3,810",0,24,0,29,0,3,0,0,0,11,0,1.87,3.74,4.2
(V08) (548GE) Vero Beach,"4,564","4,548",99.65%,16,0.35%,0,0,"4,529",0,19,0,2,0,3,0,1,0,10,0,1.01,0.54,0.77
(V08) (548GF) Okeechobee,"2,348","2,315",98.59%,33,1.41%,0,0,"2,299",0,16,0,14,0,4,0,2,0,13,0,2.16,0.79,8.04
"(V08) (573) Gainesville, FL","254,124","238,551",93.87%,"15,573",6.13%,332,"1,049","224,010",202,"14,541",63,"7,541",142,"3,483",122,"1,595",83,"2,954",437,5.99,11.29,5.25
(V08) (573) Malcolm Randall VAMC,"70,503","65,990",93.60%,"4,513",6.40%,0,78,"61,896",21,"4,094",12,"2,243",19,926,1,436,0,908,25,5.34,10.09,5.02
(V08) (573A4) Lake City VAMC,"26,307","24,652",93.71%,"1,655",6.29%,0,0,"22,112",0,"2,540",0,884,0,268,0,139,0,364,0,10.68,8.98,1.49
(V08) (573BY) Jacksonville 1 VA Clinic,"56,306","49,815",88.47%,"6,491",11.53%,0,1,"46,652",1,"3,163",0,"2,749",0,"1,781",0,817,0,"1,144",0,6.36,20.55,5.33
(V08) (573GA) Valdosta,"4,519","4,480",99.14%,39,0.86%,0,0,"4,439",0,41,0,18,0,6,0,0,0,15,0,1.65,3.57,1.88
(V08) (573GD) Ocala,"14,773","14,489",98.08%,284,1.92%,0,0,"14,069",0,420,0,183,0,38,0,19,0,44,0,3.36,3.02,6.37
(V08) (573GE) Saint Augustine,"8,341","8,217",98.51%,124,1.49%,0,0,"7,851",0,366,0,91,0,21,0,3,0,9,0,3.77,4.77,3.39
(V08) (573GF) Tallahassee,"22,413","21,372",95.36%,"1,041",4.64%,0,0,"19,651",0,"1,721",0,589,0,220,0,107,0,125,0,8.21,5.24,12.39
(V08) (573GG) Lecanto,"8,026","7,835",97.62%,191,2.38%,0,0,"7,455",0,380,0,73,0,14,0,15,0,89,0,6.24,7.15,1.91
(V08) (573GI) The Villages,"24,803","24,208",97.60%,595,2.40%,0,902,"23,303",136,905,50,341,115,83,114,29,77,142,410,5.2,3.65,4.65
(V08) (573GJ) Saint Marys,"3,434","3,283",95.60%,151,4.40%,0,68,"3,061",44,222,1,38,8,17,7,15,6,81,2,9.55,13.11,8.43
(V08) (573GK) Marianna,"3,154","3,124",99.05%,30,0.95%,0,0,"3,039",0,85,0,19,0,4,0,2,0,5,0,3.23,10.87,4.64
(V08) (573GL) Palatka,"3,197","3,068",95.96%,129,4.04%,0,0,"2,709",0,359,0,97,0,18,0,4,0,10,0,7.58,4.28,4.74
(V08) (573GM) Waycross,"2,468","2,459",99.64%,9,0.36%,0,0,"2,436",0,23,0,7,0,1,0,0,0,1,0,0.72,2.52,1.22
(V08) (573GN) Perry,483,479,99.17%,4,0.83%,0,0,466,0,13,0,1,0,1,0,0,0,2,0,3.23,11.78,0.78
"(V08) (573MA) IDES Naval Hospital
Jacksonville",4,4,100.00%,0,0.00%,0,0,2,0,2,0,0,0,0,0,0,0,0,0,,12.5,
(V08) (573QJ) Jacksonville 2,"5,393","5,076",94.12%,317,5.88%,0,0,"4,869",0,207,0,208,0,85,0,9,0,15,0,6.99,2.64,4.44
"(V08) (672) San Juan, PR","143,961","137,679",95.64%,"6,282",4.36%,7,255,"125,444",60,"12,235",25,"3,575",33,968,12,468,24,"1,271",101,5.7,7.01,4.11
(V08) (672) San Juan VAMC,"92,857","87,093",93.79%,"5,764",6.21%,0,215,"75,946",44,"11,147",15,"3,383",23,877,12,379,21,"1,125",100,8.81,8.64,6.08
(V08) (672B0) Ponce,"19,529","19,403",99.35%,126,0.65%,0,27,"19,340",7,63,10,40,10,24,0,34,0,28,0,1.09,0.76,1.21
(V08) (672BZ) Mayaguez,"18,022","17,880",99.21%,142,0.79%,0,12,"17,567",8,313,0,48,0,22,0,28,3,44,1,1.67,1.47,3.21
(V08) (672GA) St Croix,878,832,94.76%,46,5.24%,0,0,817,0,15,0,9,0,9,0,7,0,21,0,7.23,22.94,12.37
(V08) (672GB) St Thomas,768,752,97.92%,16,2.08%,0,0,733,0,19,0,3,0,7,0,2,0,4,0,3.84,16.78,4.45
(V08) (672GC) Arecibo,"5,473","5,406",98.78%,67,1.22%,0,1,"5,278",1,128,0,44,0,4,0,7,0,12,0,2.66,3.39,0.63
(V08) (672GD) Ceiba,"4,005","3,919",97.85%,86,2.15%,0,0,"3,380",0,539,0,47,0,22,0,9,0,8,0,7.57,18.01,4.53
(V08) (672GE) Guayama,"2,429","2,394",98.56%,35,1.44%,0,0,"2,383",0,11,0,1,0,3,0,2,0,29,0,2.92,0.08,1.87
"(V08) (673) Tampa, FL","177,045","172,285",97.31%,"4,760",2.69%,0,105,"165,615",70,"6,670",12,"2,468",6,"1,179",4,407,0,706,13,2.41,6.18,3.82
"(V08) (673) James A Haley Veterans
Hospital","126,782","123,249",97.21%,"3,533",2.79%,0,103,"118,050",68,"5,199",12,"1,926",6,704,4,344,0,559,13,2.61,5.83,3.18
(V08) (673BZ) New Port Richey,"24,067","23,098",95.97%,969,4.03%,0,1,"22,426",1,672,0,385,0,444,0,49,0,91,0,2.18,11.14,3.86
(V08) (673GB) Lakeland,"14,619","14,451",98.85%,168,1.15%,0,1,"13,803",1,648,0,116,0,15,0,10,0,27,0,2.25,6.69,6.98
(V08) (673GC) Brooksville,"7,912","7,875",99.53%,37,0.47%,0,0,"7,770",0,105,0,9,0,4,0,3,0,21,0,2.09,2.18,3.46
(V08) (673GF) Zephyrhills,"3,665","3,612",98.55%,53,1.45%,0,0,"3,566",0,46,0,32,0,12,0,1,0,8,0,2.36,15.29,2.53
"(V08) (675) Orlando, FL","211,538","197,565",93.39%,"13,973",6.61%,126,95,"185,670",36,"11,895",11,"7,300",21,"3,207",15,"1,612",5,"1,854",7,5.42,10.04,4.83
(V08) (675) Orlando VA Medical Center,"80,308","72,683",90.51%,"7,625",9.49%,0,55,"65,538",22,"7,145",4,"4,244",12,"1,743",10,824,4,814,3,12.41,10.41,6.41
(V08) (6759AA) Orlando Nursing Home,0,0,0.00%,0,0.00%,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,
(V08) (675BU) Orlando Domiciliary,40,40,100.00%,0,0.00%,0,0,40,0,0,0,0,0,0,0,0,0,0,0,,,
"(V08) (675GB) William V Chappell Jr VA
OPC","32,389","31,037",95.83%,"1,352",4.17%,0,1,"30,200",1,837,0,444,0,278,0,236,0,394,0,3.84,9.97,2.5
(V08) (675GC) Kissimee,"5,235","5,162",98.61%,73,1.39%,0,0,"4,860",0,302,0,33,0,18,0,9,0,13,0,4.05,0,5.19
(V08) (675GD) Orange City,"4,789","4,687",97.87%,102,2.13%,0,0,"4,624",0,63,0,38,0,24,0,17,0,23,0,3.47,1.12,1.73
(V08) (675GE) Tavares VA Clinic,"6,069","5,913",97.43%,156,2.57%,0,0,"5,708",0,205,0,116,0,17,0,8,0,15,0,3.11,5.97,5.26
(V08) (675GF) Clermont,"3,525","3,385",96.03%,140,3.97%,0,0,"3,266",0,119,0,104,0,21,0,4,0,11,0,5.96,4.44,4.45
(V08) (675GG) Lake Baldwin,"33,635","31,919",94.90%,"1,716",5.10%,0,21,"30,480",6,"1,439",4,991,7,474,3,139,0,112,1,3.67,10.18,4.69
(V08) (675QC) Westside Pavilion,1,1,100.00%,0,0.00%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0
"(V09) (581) Huntington, WV","42,073","39,818",94.64%,"2,255",5.36%,5,9,"37,295",1,"2,523",3,"1,360",0,495,0,224,5,176,0,3.97,9.37,3.16
(V09) (581) Huntington VAMC,"34,333","32,239",93.90%,"2,094",6.10%,0,8,"30,019",1,"2,220",3,"1,231",0,480,0,216,4,167,0,4.59,9.37,2.71
(V09) (581GA) Prestonsburg,"3,231","3,132",96.94%,99,3.06%,0,0,"2,996",0,136,0,90,0,6,0,3,0,0,0,3.45,14.65,4.21
(V09) (581GB) Charleston,"4,509","4,447",98.62%,62,1.38%,0,1,"4,280",0,167,0,39,0,9,0,5,1,9,0,3.34,7.08,4.46
"(V09) (596) Lexington, KY","27,259","25,261",92.67%,"1,998",7.33%,5,48,"22,759",44,"2,502",3,"1,344",1,513,0,108,0,33,0,2.29,10.14,6
(V09) (596) Lexington VAMC-Leestown,"10,922","10,535",96.46%,387,3.54%,0,11,"9,707",11,828,0,294,0,78,0,13,0,2,0,2.76,5.72,6.48
(V09) (596A4) Lexington-Cooper Dr,"13,107","11,661",88.97%,"1,446",11.03%,0,11,"10,128",9,"1,533",2,909,0,420,0,87,0,30,0,,11.71,3.98
(V09) (596BU) Lexington Domiciliary,1,1,100.00%,0,0.00%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
(V09) (596GA) Somerset,"1,713","1,578",92.12%,135,7.88%,0,14,"1,466",12,112,1,112,1,14,0,8,0,1,0,1.8,26.88,6.84
(V09) (596GB) Morehead,289,282,97.58%,7,2.42%,0,2,280,2,2,0,7,0,0,0,0,0,0,0,1.04,12.89,1.02
(V09) (596GC) Hazard,515,507,98.45%,8,1.55%,0,4,495,4,12,0,8,0,0,0,0,0,0,0,1.86,14.4,0.48
(V09) (596GD) Berea,712,697,97.89%,15,2.11%,0,6,682,6,15,0,14,0,1,0,0,0,0,0,1.84,2.89,1.94
"(V09) (603) Louisville, KY","54,219","53,027",97.80%,"1,192",2.20%,38,134,"49,880",15,"3,147",4,634,6,273,7,161,5,124,97,3.56,6.03,1.95
(V09) (603) Robley Rex VAMC,"30,406","29,305",96.38%,"1,101",3.62%,0,132,"27,339",13,"1,966",4,588,6,256,7,149,5,108,97,2.52,6.16,1.81
(V09) (603BU) Louisville Domiciliary,8,8,100.00%,0,0.00%,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,0
(V09) (603GA) Fort Knox,"2,616","2,607",99.66%,9,0.34%,0,0,"2,342",0,265,0,4,0,2,0,2,0,1,0,5.24,6.91,1.38
(V09) (603GB) New Albany,"3,352","3,336",99.52%,16,0.48%,0,0,"3,263",0,73,0,5,0,6,0,2,0,3,0,1.57,0.14,1.5
(V09) (603GC) Shively,"5,307","5,293",99.74%,14,0.26%,0,1,"4,885",1,408,0,5,0,3,0,1,0,5,0,4.13,1.11,3.21
(V09) (603GD) Dupont,"2,613","2,599",99.46%,14,0.54%,0,0,"2,534",0,65,0,12,0,2,0,0,0,0,0,3.87,1.67,1.63
(V09) (603GE) Newburg,"5,479","5,459",99.63%,20,0.37%,0,1,"5,282",1,177,0,6,0,3,0,6,0,5,0,3.29,3.17,1.67
(V09) (603GF) Grayson County,"2,385","2,375",99.58%,10,0.42%,0,0,"2,252",0,123,0,9,0,0,0,1,0,0,0,3.71,0.53,1.85
(V09) (603GG) Scott County,"1,475","1,468",99.53%,7,0.47%,0,0,"1,411",0,57,0,5,0,1,0,0,0,1,0,3.23,0.46,2.38
(V09) (603GH) Carrollton,540,539,99.81%,1,0.19%,0,0,526,0,13,0,0,0,0,0,0,0,1,0,2.42,3,3.03
(V09) (603MA) IDES Fort Knox,38,38,100.00%,0,0.00%,0,0,38,0,0,0,0,0,0,0,0,0,0,0,,0,5.78
"(V09) (614) Memphis, TN","55,573","53,405",96.10%,"2,168",3.90%,24,199,"50,895",18,"2,510",29,"1,253",22,349,22,292,20,274,88,3.77,6.78,3.98
(V09) (614) Memphis VAMC,"38,741","36,808",95.01%,"1,933",4.99%,0,99,"34,902",10,"1,906",5,"1,086",13,303,9,285,1,259,61,3.96,7.11,5.2
(V09) (614GA) Tupelo,"3,662","3,630",99.13%,32,0.87%,0,21,"3,570",1,60,0,18,3,7,4,3,3,4,10,3.5,0,0.98
(V09) (614GB) Jonesboro,323,322,99.69%,1,0.31%,0,3,317,0,5,0,1,1,0,0,0,1,0,1,1.91,0.02,1.64
(V09) (614GC) Holly Springs VA Clinic,321,311,96.88%,10,3.12%,0,1,306,0,5,0,7,0,3,0,0,1,0,0,2.29,0,9.74
(V09) (614GD) Savannah,691,674,97.54%,17,2.46%,0,0,671,0,3,0,14,0,1,0,1,0,1,0,1.88,0,0
(V09) (614GE) Covington,"1,962","1,911",97.40%,51,2.60%,0,38,"1,730",6,181,21,37,0,13,0,1,11,0,0,7.85,0.72,1.05
"(V09) (614GF) Nonconnah Boulevard VA
Clinic","7,030","6,930",98.58%,100,1.42%,0,15,"6,633",1,297,2,75,3,19,0,1,2,5,7,3.42,2.94,0.23
(V09) (614GG) Jackson,"1,595","1,580",99.06%,15,0.94%,0,22,"1,539",0,41,1,10,2,1,9,1,1,3,9,2.83,3.38,2.49
(V09) (614GI) Dyersburg,892,883,98.99%,9,1.01%,0,0,874,0,9,0,5,0,2,0,0,0,2,0,4.34,0,1.25
(V09) (614GN) Helena,356,356,100.00%,0,0.00%,0,0,353,0,3,0,0,0,0,0,0,0,0,0,2.79,,2.71
(V09) (621) James H Quillen VAMC,"56,875","53,874",94.72%,"3,001",5.28%,0,15,"51,186",5,"2,688",1,"1,722",5,704,3,278,0,297,1,6.33,6.98,3.73
(V09) (621BU) VADOM Mountain Home,87,87,100.00%,0,0.00%,0,0,86,0,1,0,0,0,0,0,0,0,0,0,2.36,,
(V09) (621BY) William C Tallent VA OPC,"18,882","18,450",97.71%,432,2.29%,0,0,"17,817",0,633,0,225,0,69,0,28,0,110,0,3.03,6.73,3
(V09) (621GA) Rogersville,"1,222","1,209",98.94%,13,1.06%,0,0,"1,191",0,18,0,6,0,0,0,3,0,4,0,2.59,0,5.43
(V09) (621GC) Norton,"5,503","5,370",97.58%,133,2.42%,0,0,"4,687",0,683,0,47,0,13,0,16,0,57,0,8.18,18.59,2.13
(V09) (621GG) Morristown,"1,690","1,658",98.11%,32,1.89%,0,1,"1,631",0,27,0,22,0,5,0,0,1,5,0,2.34,11.82,3.28
(V09) (621GI) Sevierville,"3,088","2,994",96.96%,94,3.04%,0,1,"2,922",1,72,0,65,0,22,0,4,0,3,0,3.92,6.92,2.26
(V09) (621GJ) Bristol,"3,422","3,175",92.78%,247,7.22%,0,0,"3,035",0,140,0,182,0,49,0,8,0,8,0,5.76,0.19,9.72
(V09) (621GK) Campbell County,"1,518","1,394",91.83%,124,8.17%,0,0,"1,340",0,54,0,61,0,34,0,20,0,9,0,9.03,1.98,9.73
"(V09) (626) Middle Tennessee HCS, TN","154,479","145,042",93.89%,"9,437",6.11%,10,657,"137,414",333,"7,628",67,"4,337",58,"2,501",41,"1,481",35,"1,118",123,6.44,8.9,4.02
(V09) (626) Nashville VAMC,"65,270","60,508",92.70%,"4,762",7.30%,0,271,"56,530",139,"3,978",29,"2,165",36,"1,257",8,797,8,543,51,11.1,9.31,4.96
(V09) (626A4) Alvin C York VAMC,"42,743","40,531",94.82%,"2,212",5.18%,0,247,"39,029",84,"1,502",22,848,14,623,31,389,26,352,70,3.58,7.24,1.02
(V09) (626GA) Dover,810,723,89.26%,87,10.74%,0,8,672,7,51,0,47,0,26,0,6,0,8,1,12.65,0,9.07
(V09) (626GC) Bowling Green,"3,075","2,775",90.24%,300,9.76%,0,7,"2,591",7,184,0,255,0,33,0,5,0,7,0,8.89,1.74,8.43
(V09) (626GE) Clarksville,"7,533","6,966",92.47%,567,7.53%,0,48,"6,624",42,342,4,258,0,107,1,83,1,119,0,4.58,21.77,3.71
(V09) (626GF) Chattanooga,"18,656","17,672",94.73%,984,5.27%,0,62,"16,659",44,"1,013",10,369,7,387,0,158,0,70,1,6.91,10.61,4.36
(V09) (626GG) Tullahoma,"1,094","1,069",97.71%,25,2.29%,0,3,"1,057",3,12,0,22,0,2,0,1,0,0,0,1.62,5.59,3.09
(V09) (626GH) Cookeville,"2,883","2,873",99.65%,10,0.35%,0,3,"2,852",2,21,0,5,0,1,1,0,0,4,0,1.3,0.16,0.38
(V09) (626GJ) Hopkinsville,"4,045","3,827",94.61%,218,5.39%,0,2,"3,676",1,151,0,162,1,33,0,19,0,4,0,4.65,1.28,7.93
(V09) (626GK) McMinnville,"1,493","1,471",98.53%,22,1.47%,0,1,"1,462",0,9,1,17,0,0,0,1,0,4,0,1.05,0.49,1.08
(V09) (626GL) Roane County,833,803,96.40%,30,3.60%,0,2,763,2,40,0,27,0,1,0,0,0,2,0,7.5,3.92,5.33
(V09) (626GM) Maury County,"2,662","2,559",96.13%,103,3.87%,0,1,"2,321",1,238,0,97,0,6,0,0,0,0,0,5.64,2.68,14.84
(V09) (626GN) Athens,"1,365","1,335",97.80%,30,2.20%,0,2,"1,300",1,35,1,28,0,1,0,0,0,1,0,2.74,1.21,7.56
"(V09) (626GO) International Plaza VA
Clinic","2,003","1,916",95.66%,87,4.34%,0,0,"1,864",0,52,0,37,0,24,0,22,0,4,0,4.5,1.05,2.48
(V09) (626MA) IDES Fort Campbell,14,14,100.00%,0,0.00%,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V10) (538) Chillicothe, OH","18,958","17,043",89.90%,"1,915",10.10%,2,210,"15,835",22,"1,208",3,"1,345",21,274,30,131,35,165,99,5.54,8.25,7.37
(V10) (538) Chillicothe VAMC,"12,910","11,296",87.50%,"1,614",12.50%,0,210,"10,470",22,826,3,"1,063",21,266,30,126,35,159,99,6.95,9.25,8.7
(V10) (538GA) Athens,"1,495","1,464",97.93%,31,2.07%,0,0,"1,368",0,96,0,28,0,1,0,0,0,2,0,3.86,3.57,4.78
(V10) (538GB) Portsmouth,939,841,89.56%,98,10.44%,0,0,784,0,57,0,97,0,0,0,0,0,1,0,2.69,9.96,7.01
(V10) (538GC) Marietta,873,858,98.28%,15,1.72%,0,0,816,0,42,0,12,0,1,0,2,0,0,0,1.53,2.54,4.03
(V10) (538GD) Lancaster,"1,605","1,462",91.09%,143,8.91%,0,0,"1,312",0,150,0,135,0,5,0,1,0,2,0,6.65,8.05,8.44
(V10) (538GE) Cambridge,"1,136","1,122",98.77%,14,1.23%,0,0,"1,085",0,37,0,10,0,1,0,2,0,1,0,1.12,1.44,5.1
"(V10) (539) Cincinnati, OH","49,171","46,910",95.40%,"2,261",4.60%,19,46,"44,505",10,"2,405",6,"1,248",18,566,7,361,2,86,3,2.39,7.52,1.47
(V10) (539) Cincinnati VAMC,"30,996","28,918",93.30%,"2,078",6.70%,0,9,"26,775",2,"2,143",2,"1,144",0,545,0,347,2,42,3,5.15,8.63,1.25
"(V10) (539A4) Cincinnati VAMC-Fort
Thomas",742,735,99.06%,7,0.94%,0,0,732,0,3,0,6,0,1,0,0,0,0,0,,0.78,0.78
(V10) (539GA) Bellevue,"2,067","2,054",99.37%,13,0.63%,0,0,"2,038",0,16,0,10,0,0,0,1,0,2,0,1.5,1.54,3.06
(V10) (539GB) Clermont County,"5,169","5,088",98.43%,81,1.57%,0,28,"5,027",5,61,2,42,16,7,5,10,0,22,0,1.29,5.12,1.27
(V10) (539GC) Dearborn,"2,999","2,977",99.27%,22,0.73%,0,2,"2,970",0,7,1,1,0,6,1,2,0,13,0,2.64,1.2,1.24
(V10) (539GD) Florence,"3,428","3,403",99.27%,25,0.73%,0,3,"3,323",2,80,0,17,1,4,0,0,0,4,0,1.79,3.78,2.47
(V10) (539GE) Hamilton,"3,163","3,138",99.21%,25,0.79%,0,3,"3,082",1,56,1,21,0,2,1,0,0,2,0,0.86,2.09,1.1
(V10) (539GF) Georgetown,607,597,98.35%,10,1.65%,0,1,558,0,39,0,7,1,1,0,1,0,1,0,3.27,0.05,8.87
"(V10) (541) Cleveland, OH","93,502","85,928",91.90%,"7,574",8.10%,33,54,"80,150",11,"5,778",6,"5,431",3,"1,495",6,415,0,233,28,3.48,10.59,2.74
(V10) (541BY) Canton,"7,644","6,322",82.71%,"1,322",17.29%,0,0,"5,737",0,585,0,657,0,518,0,103,0,44,0,9.1,22.06,1.05
