Organization,Specialty,FY11,FY12,FY13,FY14,FY15,ID
V11,12 UROLOGY,0.1529,0.1622,0.2553,0.1765,0.3357,
V11,13 PHYSIATRY,0.2449,0.96,-,-,-,
V11,16 EMERGENCY MEDICINE,0.24,0.1748,0.2817,0.15,0.095,
V11,18 HEMATOLOGY,-,-,0.1237,-,-,
V11,19 INFECTIOUS DISEASES,-,-,-,0.1034,0.1043,
V11,20 DERMATOLOGY,0.0805,0.0789,0.0702,0.0674,0.0714,
V11,21 GEN INTERNAL MED,0.0976,0.0744,0.0699,0.108,0.0858,
V11,25 GASTROENTEROLOGY,0.083,0.0774,0.1611,0.1786,0.0965,
V11,26 PULMONARY DISEASES,0.0511,0.2069,0.093,0.1912,0.2609,
V11,27 NEPHROLOGY,0.1437,-,-,-,0.0496,
V11,28 RHEUMATOLOGY,-,-,0.2286,-,0.1875,
V11,29 ENDOCRIN AND METAB,0.25,0.1622,0.1791,-,0.1519,
V11,30 NEUROLOGY,0.1548,0.1935,0.0743,-,0.1129,
V11,31 PSYCHIATRY,0.0843,0.107,0.0929,0.0925,0.0688,
V11,33 CLINICAL PATHOLOGY,-,-,0.2,0.2182,-,
V11,34 ADV GERIATRIC FELLOW,0.5714,-,0.5,1,1,
V11,38 RADIOLOGY-DIAGNOSTIC,-,0.0418,0.037,0.1169,0.177,
V11,39 RADIOLOGY-THERAPEU,-,-,0.2105,-,1.0588,
V11,40 GERIATRICS,0.0635,0.0612,0.1067,0.0543,-,
V11,43 PATHOLOGY,-,0.1875,0.1026,-,0.096,
V11,44 PHYS MED & REHAB,0.1176,-,-,0.0538,0.1091,
V11,46 NUCLEAR MEDICINE,-,0.1667,-,0.2034,-,
V11,47 RESEARCH-CAREER DEV,0.4,-,-,-,-,
V11,48 RESEARCH,-,-,-,0.1667,-,
V11,49 FAMILY PRACTICE,0.1437,0.2105,-,0.2927,0.1237,
V11,51 CHIEF OF STAFF,0.1304,0.2759,-,0.1481,-,
V11,53 ASSOC CH/STAFF--EDUC,-,-,1,-,-,
V11,54 ASSOC COS RES & DEV,-,-,-,0.6316,-,
V11,"57 PHYS--ADMIN, OTHER",0.1043,0.1714,0.1182,-,-,
V11,59 ASSOC COS AMBUL CARE,-,-,-,0.3158,-,
V11,CC PAIN MANAGEMENT,-,-,-,-,1,
V11,E3 ACOS MEN HLTH/BEH SC,0.8571,-,1,-,-,
V11,E4 CARDIOVAS/THOR SGR,-,-,-,0.1739,-,
V11,E5 NEUROSURGERY,-,0.5,-,-,0.8571,
V11,E6 CARDIOLOGY NON-INTER,0.1765,0.1118,0.0762,0.0358,0.0941,
V11,E7 RADIOLOGY (NUCLEAR),-,-,-,-,0.5,
V11,G9 RADIATION ONCOLOGY,-,0.7059,-,-,-,
V11,H7 HLTH SVCS RESCH FELW,0.75,-,-,1,-,
V11,K6 HOSPITALIST,0.2286,0.1633,-,0.16,0.1719,
V11,K9 MOHS SURGERY,-,-,-,-,1,
V11,M9 CARDIOLOGY-INTERVEN,-,-,-,-,0.5,
V11,P1 PRIMARY CARE,0.0426,0.1338,-,0.1078,0.0786,
V11,R3 HEMATOLOGY/ONCOLOGY,0.3333,0.1622,-,-,0.1091,
V11,R4 VASCULAR SURGERY,0.1263,-,0.1165,-,0.4737,
(V11) (506) HCS ANN ARBOR MI,0602 Physician (All Specialties),0.1267,0.1477,0.1321,0.107,0.1331,
(V11) (506) HCS ANN ARBOR MI,01 ANESTHESIOLOGY,-,-,-,0.3243,-,
(V11) (506) HCS ANN ARBOR MI,02 SURGERY,0.3038,0.3117,0.1644,0.3117,0.4,
(V11) (506) HCS ANN ARBOR MI,06 OPHTHALMOLOGY,0.3504,0.3593,0.4235,0.2844,0.37,
(V11) (506) HCS ANN ARBOR MI,07 ORTHOPEDIC SURGERY,0.5,-,0.5217,0.75,-,
(V11) (506) HCS ANN ARBOR MI,08 OTOLARYNGOLOGY,0.1558,0.6667,0.6818,0.4865,0.375,
(V11) (506) HCS ANN ARBOR MI,09 PLASTIC SURGERY,0.5217,-,-,-,-,
(V11) (506) HCS ANN ARBOR MI,12 UROLOGY,-,0.2667,0.4444,-,0.1463,
(V11) (506) HCS ANN ARBOR MI,16 EMERGENCY MEDICINE,-,-,0.3158,-,-,
(V11) (506) HCS ANN ARBOR MI,18 HEMATOLOGY,-,-,0.2449,-,-,
(V11) (506) HCS ANN ARBOR MI,19 INFECTIOUS DISEASES,-,-,-,0.2308,0.2553,
(V11) (506) HCS ANN ARBOR MI,20 DERMATOLOGY,-,0.2727,-,-,0.2667,
(V11) (506) HCS ANN ARBOR MI,21 GEN INTERNAL MED,0.1423,0.1066,0.0675,0.1379,0.0537,
(V11) (506) HCS ANN ARBOR MI,25 GASTROENTEROLOGY,0.1463,0.0706,0.1463,0.2045,0.1333,
(V11) (506) HCS ANN ARBOR MI,26 PULMONARY DISEASES,-,0.2553,0.2034,0.2069,0.4068,
(V11) (506) HCS ANN ARBOR MI,27 NEPHROLOGY,0.2143,-,-,-,-,
(V11) (506) HCS ANN ARBOR MI,28 RHEUMATOLOGY,-,-,0.4615,-,0.2069,
(V11) (506) HCS ANN ARBOR MI,29 ENDOCRIN AND METAB,0.4,-,-,-,-,
(V11) (506) HCS ANN ARBOR MI,30 NEUROLOGY,0.0811,0.0779,-,-,-,
(V11) (506) HCS ANN ARBOR MI,31 PSYCHIATRY,-,0.0496,0.0964,-,0.0854,
(V11) (506) HCS ANN ARBOR MI,34 ADV GERIATRIC FELLOW,0.5714,-,0.5,1,1,
(V11) (506) HCS ANN ARBOR MI,38 RADIOLOGY-DIAGNOSTIC,-,-,-,0.25,0.16,
(V11) (506) HCS ANN ARBOR MI,39 RADIOLOGY-THERAPEU,-,-,0.2667,-,1.1613,
(V11) (506) HCS ANN ARBOR MI,40 GERIATRICS,-,0.1071,0.0992,-,-,
(V11) (506) HCS ANN ARBOR MI,43 PATHOLOGY,-,0.3077,-,-,-,
(V11) (506) HCS ANN ARBOR MI,44 PHYS MED & REHAB,-,-,-,-,0.1446,
(V11) (506) HCS ANN ARBOR MI,46 NUCLEAR MEDICINE,-,0.2,-,-,-,
(V11) (506) HCS ANN ARBOR MI,47 RESEARCH-CAREER DEV,0.4,-,-,-,-,
(V11) (506) HCS ANN ARBOR MI,54 ASSOC COS RES & DEV,-,-,-,1,-,
(V11) (506) HCS ANN ARBOR MI,"57 PHYS--ADMIN, OTHER",0.1412,0.0741,0.1387,-,-,
(V11) (506) HCS ANN ARBOR MI,E5 NEUROSURGERY,-,0.5,-,-,0.8571,
(V11) (506) HCS ANN ARBOR MI,E6 CARDIOLOGY NON-INTER,0.2169,0.1569,-,-,0.1132,
(V11) (506) HCS ANN ARBOR MI,G9 RADIATION ONCOLOGY,-,1.0526,-,-,-,
(V11) (506) HCS ANN ARBOR MI,K6 HOSPITALIST,0.4783,0.4615,-,-,0.4068,
(V11) (506) HCS ANN ARBOR MI,R3 HEMATOLOGY/ONCOLOGY,0.3077,0.2667,-,-,0.2034,
(V11) (506) HCS ANN ARBOR MI,R4 VASCULAR SURGERY,0.2553,-,0.2182,-,0.2105,
(V11) (515) MC BATTLE CREEK MI,0602 Physician (All Specialties),0.1134,0.1431,0.1064,0.1068,0.0871,
(V11) (515) MC BATTLE CREEK MI,12 UROLOGY,-,-,-,0.6667,-,
(V11) (515) MC BATTLE CREEK MI,13 PHYSIATRY,-,1,-,-,-,
(V11) (515) MC BATTLE CREEK MI,21 GEN INTERNAL MED,0.1081,0.145,0.1078,0.0375,0.1088,
(V11) (515) MC BATTLE CREEK MI,29 ENDOCRIN AND METAB,-,1,-,-,-,
(V11) (515) MC BATTLE CREEK MI,31 PSYCHIATRY,0.0597,0.1039,0.1593,0.1148,0.0541,
(V11) (515) MC BATTLE CREEK MI,38 RADIOLOGY-DIAGNOSTIC,-,-,-,-,0.5714,
(V11) (515) MC BATTLE CREEK MI,44 PHYS MED & REHAB,1,-,-,-,-,
(V11) (515) MC BATTLE CREEK MI,49 FAMILY PRACTICE,-,-,-,0.75,-,
(V11) (515) MC BATTLE CREEK MI,E3 ACOS MEN HLTH/BEH SC,1,-,-,-,-,
(V11) (515) MC BATTLE CREEK MI,P1 PRIMARY CARE,-,-,-,0.4444,-,
(V11) (550) MC DANVILLE IL,0602 Physician (All Specialties),0.0907,0.139,0.1081,0.1457,0.1008,
(V11) (550) MC DANVILLE IL,01 ANESTHESIOLOGY,-,-,-,-,0.5,
(V11) (550) MC DANVILLE IL,12 UROLOGY,1,-,-,-,-,
(V11) (550) MC DANVILLE IL,21 GEN INTERNAL MED,0.042,0.0792,0.0424,0.1832,0.1434,
(V11) (550) MC DANVILLE IL,26 PULMONARY DISEASES,-,-,-,1,-,
(V11) (550) MC DANVILLE IL,27 NEPHROLOGY,0.8,-,-,-,-,
(V11) (550) MC DANVILLE IL,29 ENDOCRIN AND METAB,1,-,-,-,-,
(V11) (550) MC DANVILLE IL,30 NEUROLOGY,0.75,-,0.4444,-,-,
(V11) (550) MC DANVILLE IL,31 PSYCHIATRY,-,0.6154,-,0.1026,-,
(V11) (550) MC DANVILLE IL,33 CLINICAL PATHOLOGY,-,-,1,0.75,-,
(V11) (550) MC DANVILLE IL,40 GERIATRICS,-,-,0.375,-,-,
(V11) (550) MC DANVILLE IL,43 PATHOLOGY,-,-,1,-,-,
(V11) (550) MC DANVILLE IL,46 NUCLEAR MEDICINE,-,-,-,1,-,
(V11) (550) MC DANVILLE IL,49 FAMILY PRACTICE,-,0.2609,-,-,0.3429,
(V11) (550) MC DANVILLE IL,51 CHIEF OF STAFF,-,0.5714,-,-,-,
(V11) (550) MC DANVILLE IL,53 ASSOC CH/STAFF--EDUC,-,-,1,-,-,
(V11) (550) MC DANVILLE IL,59 ASSOC COS AMBUL CARE,-,-,-,1,-,
(V11) (550) MC DANVILLE IL,CC PAIN MANAGEMENT,-,-,-,-,1,
(V11) (550) MC DANVILLE IL,E6 CARDIOLOGY NON-INTER,0.48,-,0.6,-,-,
(V11) (550) MC DANVILLE IL,P1 PRIMARY CARE,-,0.3158,-,-,-,
(V11) (553) MC DETROIT MI,0602 Physician (All Specialties),0.0951,0.0857,0.0834,0.1141,0.1274,
(V11) (553) MC DETROIT MI,01 ANESTHESIOLOGY,0.5217,-,-,0.3333,1.2,
(V11) (553) MC DETROIT MI,02 SURGERY,0.338,0.4286,0.1714,0.6923,-,
(V11) (553) MC DETROIT MI,03 GYNECOLOGY,1,-,-,1,-,
(V11) (553) MC DETROIT MI,05 MEDICAL ONCOLOGY,-,-,-,-,0.4,
(V11) (553) MC DETROIT MI,06 OPHTHALMOLOGY,0.2182,0.338,0.2069,0.3582,0.1395,
(V11) (553) MC DETROIT MI,07 ORTHOPEDIC SURGERY,-,-,0.4528,-,-,
(V11) (553) MC DETROIT MI,08 OTOLARYNGOLOGY,-,0.4286,-,-,-,
(V11) (553) MC DETROIT MI,09 PLASTIC SURGERY,-,-,0.75,1,-,
(V11) (553) MC DETROIT MI,12 UROLOGY,-,-,-,-,0.7333,
(V11) (553) MC DETROIT MI,16 EMERGENCY MEDICINE,0.2727,0.2034,0.2553,0.3117,0.2892,
(V11) (553) MC DETROIT MI,20 DERMATOLOGY,0.1558,-,0.169,0.1714,-,
(V11) (553) MC DETROIT MI,21 GEN INTERNAL MED,0.0502,0.0845,0.0404,0.0418,0.0563,
(V11) (553) MC DETROIT MI,25 GASTROENTEROLOGY,-,-,0.2182,-,0.3243,
(V11) (553) MC DETROIT MI,26 PULMONARY DISEASES,-,-,0.1132,0.129,0.1154,
(V11) (553) MC DETROIT MI,29 ENDOCRIN AND METAB,-,-,0.6316,-,1,
(V11) (553) MC DETROIT MI,30 NEUROLOGY,-,0.6,0.1846,-,0.2222,
(V11) (553) MC DETROIT MI,31 PSYCHIATRY,0.0597,0.0632,-,0.1532,0.1026,
(V11) (553) MC DETROIT MI,38 RADIOLOGY-DIAGNOSTIC,-,0.0992,0.1008,0.1188,0.25,
(V11) (553) MC DETROIT MI,44 PHYS MED & REHAB,-,-,-,0.5714,-,
(V11) (553) MC DETROIT MI,E4 CARDIOVAS/THOR SGR,-,-,-,0.6,-,
(V11) (553) MC DETROIT MI,E6 CARDIOLOGY NON-INTER,-,-,-,-,0.2449,
(V11) (553) MC DETROIT MI,K6 HOSPITALIST,0.2449,-,-,-,0.15,
(V11) (553) MC DETROIT MI,K9 MOHS SURGERY,-,-,-,-,1,
(V11) (553) MC DETROIT MI,P1 PRIMARY CARE,0.071,-,-,-,0.0484,
(V11) (553) MC DETROIT MI,R3 HEMATOLOGY/ONCOLOGY,0.5714,-,-,-,-,
(V11) (553) MC DETROIT MI,R4 VASCULAR SURGERY,-,-,-,-,1,
(V11) (583) MC INDIANAPOLIS IN,0602 Physician (All Specialties),0.0706,0.0735,0.0511,0.0733,0.0882,
(V11) (583) MC INDIANAPOLIS IN,01 ANESTHESIOLOGY,-,-,-,0.0828,0.0769,
(V11) (583) MC INDIANAPOLIS IN,02 SURGERY,0.0984,0.1111,0.1379,-,-,
(V11) (583) MC INDIANAPOLIS IN,06 OPHTHALMOLOGY,0.1429,0.3077,-,-,-,
(V11) (583) MC INDIANAPOLIS IN,08 OTOLARYNGOLOGY,-,0.4444,-,-,0.3333,
(V11) (583) MC INDIANAPOLIS IN,09 PLASTIC SURGERY,-,-,0.5714,-,-,
(V11) (583) MC INDIANAPOLIS IN,11 THORACIC SURGERY,-,-,0.7778,-,-,
(V11) (583) MC INDIANAPOLIS IN,16 EMERGENCY MEDICINE,0.2927,0.2927,-,-,-,
(V11) (583) MC INDIANAPOLIS IN,21 GEN INTERNAL MED,0.1032,0.0332,0.0331,0.0985,0.0882,
(V11) (583) MC INDIANAPOLIS IN,25 GASTROENTEROLOGY,-,0.1765,0.1791,0.3077,-,
(V11) (583) MC INDIANAPOLIS IN,26 PULMONARY DISEASES,0.24,0.6207,-,0.1875,0.4675,
(V11) (583) MC INDIANAPOLIS IN,28 RHEUMATOLOGY,-,-,-,-,0.2105,
(V11) (583) MC INDIANAPOLIS IN,30 NEUROLOGY,0.3243,-,-,-,0.2667,
(V11) (583) MC INDIANAPOLIS IN,31 PSYCHIATRY,-,-,0.1463,0.0889,-,
(V11) (583) MC INDIANAPOLIS IN,38 RADIOLOGY-DIAGNOSTIC,-,-,-,-,0.1446,
(V11) (583) MC INDIANAPOLIS IN,40 GERIATRICS,0.4444,-,-,0.9231,-,
(V11) (583) MC INDIANAPOLIS IN,43 PATHOLOGY,-,0.7059,-,-,0.5714,
(V11) (583) MC INDIANAPOLIS IN,44 PHYS MED & REHAB,-,-,-,-,0.1538,
(V11) (583) MC INDIANAPOLIS IN,48 RESEARCH,-,-,-,0.1667,-,
(V11) (583) MC INDIANAPOLIS IN,51 CHIEF OF STAFF,-,1,-,-,-,
(V11) (583) MC INDIANAPOLIS IN,E3 ACOS MEN HLTH/BEH SC,-,-,1,-,-,
(V11) (583) MC INDIANAPOLIS IN,E6 CARDIOLOGY NON-INTER,0.1558,0.15,-,0.15,-,
(V11) (583) MC INDIANAPOLIS IN,E7 RADIOLOGY (NUCLEAR),-,-,-,-,0.5,
(V11) (583) MC INDIANAPOLIS IN,K6 HOSPITALIST,-,-,-,0.375,0.1791,
(V11) (583) MC INDIANAPOLIS IN,M9 CARDIOLOGY-INTERVEN,-,-,-,-,1,
(V11) (583) MC INDIANAPOLIS IN,P1 PRIMARY CARE,-,-,-,-,0.5714,
(V11) (583) MC INDIANAPOLIS IN,R4 VASCULAR SURGERY,-,-,-,-,0.6667,
(V11) (610) HCS MARION IN,0602 Physician (All Specialties),0.1749,0.0574,0.1619,0.0651,0.1182,
(V11) (610) HCS MARION IN,01 ANESTHESIOLOGY,0.3871,-,-,-,-,
(V11) (610) HCS MARION IN,02 SURGERY,-,-,0.2667,-,-,
(V11) (610) HCS MARION IN,12 UROLOGY,0.75,-,-,0.75,1,
(V11) (610) HCS MARION IN,13 PHYSIATRY,0.3871,-,-,-,-,
(V11) (610) HCS MARION IN,16 EMERGENCY MEDICINE,-,-,0.8,-,0.1905,
(V11) (610) HCS MARION IN,21 GEN INTERNAL MED,0.046,0.0508,0.1943,0.0502,0.1475,
(V11) (610) HCS MARION IN,27 NEPHROLOGY,-,-,-,-,1,
(V11) (610) HCS MARION IN,31 PSYCHIATRY,0.2963,-,0.2017,0.1154,0.1678,
(V11) (610) HCS MARION IN,44 PHYS MED & REHAB,0.8333,-,-,-,-,
(V11) (610) HCS MARION IN,51 CHIEF OF STAFF,1,-,-,-,-,
(V11) (610) HCS MARION IN,E6 CARDIOLOGY NON-INTER,-,-,0.7059,-,-,
(V11) (610) HCS MARION IN,K6 HOSPITALIST,-,-,-,-,0.1446,
(V11) (610) HCS MARION IN,P1 PRIMARY CARE,-,0.4211,-,0.2353,-,
(V11) (655) MC SAGINAW MI,0602 Physician (All Specialties),0.1739,0.2025,0.0473,0.2657,0.0853,
(V11) (655) MC SAGINAW MI,12 UROLOGY,-,-,-,-,0.6,
(V11) (655) MC SAGINAW MI,16 EMERGENCY MEDICINE,-,-,0.4,0.3429,-,
(V11) (655) MC SAGINAW MI,21 GEN INTERNAL MED,0.1765,-,0.08,0.2727,-,
(V11) (655) MC SAGINAW MI,30 NEUROLOGY,0.9231,1,-,-,1,
(V11) (655) MC SAGINAW MI,31 PSYCHIATRY,0.2474,0.2963,-,0.1026,-,
(V11) (655) MC SAGINAW MI,49 FAMILY PRACTICE,0.2963,0.2697,-,0.4444,0.1188,
(V11) (655) MC SAGINAW MI,51 CHIEF OF STAFF,-,-,-,1,-,
(V11) (655) MC SAGINAW MI,"57 PHYS--ADMIN, OTHER",-,0.9167,-,-,-,
(V11) (655) MC SAGINAW MI,K6 HOSPITALIST,-,-,-,0.8276,-,
(V11) (655) MC SAGINAW MI,P1 PRIMARY CARE,-,-,-,1,0.375,
(V11) (799) NCPS ANN ARBOR MI,0602 Physician (All Specialties),0.75,-,-,1,-,
(V11) (799) NCPS ANN ARBOR MI,H7 HLTH SVCS RESCH FELW,0.75,-,-,1,-,
V12,0602 Physician (All Specialties),0.0815,0.0796,0.0771,0.0849,0.0906,
V12,01 ANESTHESIOLOGY,0.0708,0.0349,0.033,0.034,0.093,
V12,02 SURGERY,0.0839,0.0418,0.0835,0.1335,0.1182,
V12,03 GYNECOLOGY,-,-,-,-,0.1395,
V12,05 MEDICAL ONCOLOGY,-,0.129,0.16,-,0.169,
V12,06 OPHTHALMOLOGY,0.0625,0.1202,0.1611,0.1546,0.0857,
V12,07 ORTHOPEDIC SURGERY,-,0.1684,0.1353,0.0414,0.1146,
V12,08 OTOLARYNGOLOGY,0.0558,0.0536,0.251,0.1277,0.1204,
V12,09 PLASTIC SURGERY,-,-,0.1538,0.15,0.24,
V12,12 UROLOGY,0.0757,0.0358,0.2215,0.1065,0.1084,
V12,16 EMERGENCY MEDICINE,0.1765,0.0882,0.0365,0.0635,0.1698,
V12,18 HEMATOLOGY,0.1319,0.2609,0.1364,0.1237,-,
V12,19 INFECTIOUS DISEASES,0.0723,0.1481,0.1188,0.1875,0.0642,
V12,20 DERMATOLOGY,0.0652,-,0.0494,0.0456,0.1208,
V12,21 GEN INTERNAL MED,0.0841,0.0815,0.0521,0.0564,0.0967,
V12,23 ALLERGY & IMMUNOLOGY,-,-,0.25,0.2222,-,
V12,25 GASTROENTEROLOGY,0.1791,0.0526,0.1069,0.1034,0.123,
V12,26 PULMONARY DISEASES,0.1006,0.1091,0.0359,0.17,-,
V12,27 NEPHROLOGY,0.0436,0.0407,0.0391,0.1108,0.1371,
V12,28 RHEUMATOLOGY,-,-,0.0909,-,0.0719,
V12,29 ENDOCRIN AND METAB,0.0863,-,-,0.2182,0.2384,
V12,30 NEUROLOGY,0.1443,0.2007,0.0216,0.1321,-,
V12,31 PSYCHIATRY,0.0615,0.0459,0.0682,0.0872,0.1185,
V12,32 ANATOMIC PATHOLOGY,0.1111,-,-,0.1188,-,
V12,34 ADV GERIATRIC FELLOW,1,-,-,1,-,
V12,38 RADIOLOGY-DIAGNOSTIC,0.1247,0.0952,0.0538,0.0251,0.0461,
V12,40 GERIATRICS,0.0382,0.037,0.0372,0.0741,0.1412,
V12,43 PATHOLOGY,-,0.2195,0.288,-,-,
V12,44 PHYS MED & REHAB,0.0721,0.0667,0.0561,0.0273,0.0504,
V12,45 RADIOLOGY-INTERVENT,-,0.1165,-,0.0938,0.0652,
V12,46 NUCLEAR MEDICINE,0.1429,0.1765,0.3,0.2034,-,
V12,48 RESEARCH,-,-,-,-,0.1905,
V12,49 FAMILY PRACTICE,0.1959,0.103,0.1579,0.2667,-,
V12,54 ASSOC COS RES & DEV,0.8,-,0.4,-,0.5625,
V12,"57 PHYS--ADMIN, OTHER",0.4286,-,-,-,-,
V12,E4 CARDIOVAS/THOR SGR,0.1446,-,0.0622,0.2022,0.0674,
V12,E5 NEUROSURGERY,-,0.4364,-,-,0.1935,
V12,E6 CARDIOLOGY NON-INTER,0.0567,0.1467,0.0847,0.09,0.0686,
V12,H1 PSYCHIATRY FELW,-,1,-,-,-,
V12,H9 WOMEN VETS HLTH FELW,0.4444,0.3243,-,0.3429,0.3871,
V12,K6 HOSPITALIST,0.25,-,0.2667,0.0583,0.0972,
V12,M9 CARDIOLOGY-INTERVEN,-,-,-,-,0.1333,
V12,P1 PRIMARY CARE,0.0694,0.1224,0.0569,0.046,0.0284,
V12,P3 CHIEF MED OFCR VISN,-,-,-,-,0.9231,
V12,R3 HEMATOLOGY/ONCOLOGY,-,0.3077,0.3186,0.1622,0.1727,
V12,R4 VASCULAR SURGERY,-,-,0.1111,-,-,
(V12) (489) V12HSHINES IL,0602 Physician (All Specialties),-,-,-,-,0.48,
(V12) (489) V12HSHINES IL,P3 CHIEF MED OFCR VISN,-,-,-,-,0.9231,
(V12) (537) HCS CHICAGO IL,0602 Physician (All Specialties),0.0679,0.068,0.0664,0.067,0.0816,
(V12) (537) HCS CHICAGO IL,01 ANESTHESIOLOGY,0.0882,-,-,-,-,
(V12) (537) HCS CHICAGO IL,02 SURGERY,0.2045,0.0774,-,0.1558,-,
(V12) (537) HCS CHICAGO IL,06 OPHTHALMOLOGY,-,-,-,0.1043,-,
(V12) (537) HCS CHICAGO IL,07 ORTHOPEDIC SURGERY,-,0.1446,0.381,0.2264,-,
(V12) (537) HCS CHICAGO IL,08 OTOLARYNGOLOGY,0.2034,0.2609,0.3636,0.3529,-,
(V12) (537) HCS CHICAGO IL,09 PLASTIC SURGERY,-,-,0.7059,-,0.5217,
(V12) (537) HCS CHICAGO IL,12 UROLOGY,-,-,0.5581,-,0.1967,
(V12) (537) HCS CHICAGO IL,16 EMERGENCY MEDICINE,-,-,0.1154,0.1132,0.1026,
(V12) (537) HCS CHICAGO IL,19 INFECTIOUS DISEASES,-,0.4615,-,0.2609,-,
(V12) (537) HCS CHICAGO IL,21 GEN INTERNAL MED,0.0533,0.0552,0.039,0.0377,0.0969,
(V12) (537) HCS CHICAGO IL,25 GASTROENTEROLOGY,0.2308,-,-,0.1188,0.2202,
(V12) (537) HCS CHICAGO IL,26 PULMONARY DISEASES,0.3913,-,-,-,-,
(V12) (537) HCS CHICAGO IL,27 NEPHROLOGY,-,-,-,-,0.383,
(V12) (537) HCS CHICAGO IL,28 RHEUMATOLOGY,-,-,0.3333,-,-,
(V12) (537) HCS CHICAGO IL,30 NEUROLOGY,0.1062,0.1176,0.1154,-,-,
(V12) (537) HCS CHICAGO IL,31 PSYCHIATRY,-,0.0309,-,0.0851,0.087,
(V12) (537) HCS CHICAGO IL,38 RADIOLOGY-DIAGNOSTIC,0.1319,0.3158,0.1237,-,-,
(V12) (537) HCS CHICAGO IL,40 GERIATRICS,-,-,-,-,0.2857,
(V12) (537) HCS CHICAGO IL,43 PATHOLOGY,-,-,1,-,-,
(V12) (537) HCS CHICAGO IL,44 PHYS MED & REHAB,-,-,0.3243,-,-,
(V12) (537) HCS CHICAGO IL,45 RADIOLOGY-INTERVENT,-,0.1319,-,0.1165,-,
(V12) (537) HCS CHICAGO IL,46 NUCLEAR MEDICINE,0.5,-,-,-,-,
(V12) (537) HCS CHICAGO IL,48 RESEARCH,-,-,-,-,0.2791,
(V12) (537) HCS CHICAGO IL,E4 CARDIOVAS/THOR SGR,-,-,-,1.0476,-,
(V12) (537) HCS CHICAGO IL,E6 CARDIOLOGY NON-INTER,-,0.2338,0.0882,0.1101,0.1463,
(V12) (537) HCS CHICAGO IL,K6 HOSPITALIST,0.3636,-,0.2609,-,0.1348,
(V12) (537) HCS CHICAGO IL,M9 CARDIOLOGY-INTERVEN,-,-,-,-,0.5,
(V12) (537) HCS CHICAGO IL,P1 PRIMARY CARE,-,0.4615,0.3429,-,-,
(V12) (537) HCS CHICAGO IL,R3 HEMATOLOGY/ONCOLOGY,-,0.2609,-,-,0.2308,
(V12) (556) FHCC NORTH CHICAGO IL,0602 Physician (All Specialties),0.0794,0.05,0.0345,0.0683,0.0524,
(V12) (556) FHCC NORTH CHICAGO IL,02 SURGERY,-,-,-,0.5714,-,
(V12) (556) FHCC NORTH CHICAGO IL,05 MEDICAL ONCOLOGY,-,-,1,-,-,
(V12) (556) FHCC NORTH CHICAGO IL,06 OPHTHALMOLOGY,-,0.2034,-,-,-,
(V12) (556) FHCC NORTH CHICAGO IL,07 ORTHOPEDIC SURGERY,-,0.1644,-,-,0.3692,
(V12) (556) FHCC NORTH CHICAGO IL,16 EMERGENCY MEDICINE,0.3429,-,-,-,-,
(V12) (556) FHCC NORTH CHICAGO IL,20 DERMATOLOGY,-,-,-,-,0.4,
(V12) (556) FHCC NORTH CHICAGO IL,21 GEN INTERNAL MED,0.0672,0.0457,0.0246,0.0511,0.1215,
(V12) (556) FHCC NORTH CHICAGO IL,25 GASTROENTEROLOGY,-,-,0.2353,-,-,
(V12) (556) FHCC NORTH CHICAGO IL,26 PULMONARY DISEASES,-,-,-,0.3333,-,
(V12) (556) FHCC NORTH CHICAGO IL,27 NEPHROLOGY,-,-,-,1,-,
(V12) (556) FHCC NORTH CHICAGO IL,29 ENDOCRIN AND METAB,-,-,-,0.3333,-,
(V12) (556) FHCC NORTH CHICAGO IL,30 NEUROLOGY,0.2143,-,-,-,-,
(V12) (556) FHCC NORTH CHICAGO IL,31 PSYCHIATRY,0.0448,0.1369,0.0448,0.0913,-,
(V12) (556) FHCC NORTH CHICAGO IL,38 RADIOLOGY-DIAGNOSTIC,0.1739,-,-,-,-,
(V12) (556) FHCC NORTH CHICAGO IL,40 GERIATRICS,-,-,-,0.3429,-,
(V12) (556) FHCC NORTH CHICAGO IL,49 FAMILY PRACTICE,0.2182,-,-,0.2609,-,
(V12) (556) FHCC NORTH CHICAGO IL,54 ASSOC COS RES & DEV,1,-,-,-,1,
(V12) (556) FHCC NORTH CHICAGO IL,E6 CARDIOLOGY NON-INTER,0.5,-,0.3871,-,-,
(V12) (578) MC HINES IL,0602 Physician (All Specialties),0.0656,0.0579,0.0883,0.0812,0.0839,
(V12) (578) MC HINES IL,01 ANESTHESIOLOGY,0.0851,-,-,-,-,
(V12) (578) MC HINES IL,02 SURGERY,0.0645,-,0.1395,0.2571,0.1875,
(V12) (578) MC HINES IL,05 MEDICAL ONCOLOGY,-,0.5714,-,-,-,
(V12) (578) MC HINES IL,06 OPHTHALMOLOGY,0.1481,-,0.2424,0.1722,0.1,
(V12) (578) MC HINES IL,07 ORTHOPEDIC SURGERY,-,0.2,0.1714,-,-,
(V12) (578) MC HINES IL,08 OTOLARYNGOLOGY,-,-,0.4186,-,0.2759,
(V12) (578) MC HINES IL,09 PLASTIC SURGERY,-,-,-,0.4,0.3333,
(V12) (578) MC HINES IL,12 UROLOGY,0.1739,-,-,-,-,
(V12) (578) MC HINES IL,19 INFECTIOUS DISEASES,0.2609,0.2308,0.338,0.1714,0.1519,
