Location 102016 Pending,"1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0å_14
Days","9. EWL 0å_
14 Days","10. Appts
Between 15å_30
Days","11. EWL 15
å_30 days","12. Appts
Between 31å_60
Days","13. EWL 31
å_60 Days","14. Appts
Between 61å_90
Days","15. EWL 61
å_90 Days","16. Appts
Between 91å_
120 Days","17. EWL 91
å_120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
"(V07) (544) Columbia, SC","86,056","76,584",88.99%,"9,472",11.01%,84,29,"70,013",13,"6,571",1,"3,999",0,"2,493",2,"1,153",2,"1,827",10,8.89,17.04,5.07
"(V07) (544) Wm. Jennings Bryan Dorn VA
Medical Center","57,013","49,828",87.40%,"7,185",12.60%,0,25,"45,269",9,"4,559",1,"2,739",0,"1,866",2,901,2,"1,679",10,9.49,17.29,4.79
(V07) (544BZ) Greenville SC,"8,620","7,578",87.91%,"1,042",12.09%,0,2,"6,581",2,997,0,586,0,272,0,112,0,72,0,10.12,14.59,12.25
(V07) (544GB) Florence,"3,336","3,119",93.50%,217,6.50%,0,2,"2,929",2,190,0,178,0,19,0,12,0,8,0,7.28,9.63,0.53
(V07) (544GC) Rock Hill,"6,716","6,651",99.03%,65,0.97%,0,0,"6,558",0,93,0,32,0,22,0,6,0,5,0,2.69,,2.4
(V07) (544GD) Anderson,"2,533","1,875",74.02%,658,25.98%,0,0,"1,692",0,183,0,213,0,289,0,106,0,50,0,36.11,45.33,8.41
(V07) (544GE) Orangeburg,"1,361","1,280",94.05%,81,5.95%,0,0,"1,171",0,109,0,75,0,5,0,1,0,0,0,9.99,,2.04
(V07) (544GF) Sumter,"2,643","2,481",93.87%,162,6.13%,0,0,"2,256",0,225,0,130,0,13,0,11,0,8,0,10.09,,2.49
(V07) (544GG) Spartanburg,"3,349","3,293",98.33%,56,1.67%,0,0,"3,110",0,183,0,40,0,7,0,4,0,5,0,3.92,6.06,3.56
(V07) (544HK) Columbia VA Mobile Clinic,485,479,98.76%,6,1.24%,0,0,447,0,32,0,6,0,0,0,0,0,0,0,,2.7,
"(V07) (557) Dublin, GA","28,284","22,968",81.20%,"5,316",18.80%,138,329,"20,601",36,"2,367",34,"2,323",104,"1,335",56,"1,274",59,384,40,12.53,26.86,4.62
"(V07) (557) Carl Vinson VA Medical
Center","19,378","15,117",78.01%,"4,261",21.99%,0,293,"13,583",28,"1,534",34,"1,546",99,"1,133",48,"1,205",57,377,27,10.72,28.78,2.84
(V07) (557GA) Macon,"2,355","2,056",87.30%,299,12.70%,0,2,"1,895",0,161,0,212,0,78,1,9,0,0,1,10.27,1.76,9.99
(V07) (557GB) Albany,"2,066","1,726",83.54%,340,16.46%,0,31,"1,513",8,213,0,271,4,59,6,8,2,2,11,26.01,5.93,1.77
(V07) (557GC) Milledgeville,540,535,99.07%,5,0.93%,0,0,499,0,36,0,5,0,0,0,0,0,0,0,3.77,3.67,3.33
(V07) (557GE) Brunswick,"1,432","1,399",97.70%,33,2.30%,0,1,"1,323",0,76,0,28,0,1,1,0,0,4,0,2.56,5.22,4.41
(V07) (557GF) Tift County,617,558,90.44%,59,9.56%,0,0,471,0,87,0,47,0,9,0,3,0,0,0,11.59,0.14,0.66
(V07) (557HA) Perry,"1,896","1,577",83.18%,319,16.82%,0,2,"1,317",0,260,0,214,1,55,0,49,0,1,1,21.44,17.31,8.08
"(V07) (619) Central Alabama Veterans HCS, AL","50,845","43,888",86.32%,"6,957",13.68%,2,101,"39,908",28,"3,980",16,"3,353",10,"2,397",5,737,1,470,41,7.57,19.16,8.15
"(V07) (619) Central Alabama VAMC -
Montgomery","9,171","7,640",83.31%,"1,531",16.69%,0,55,"6,663",8,977,3,668,1,510,1,233,1,120,41,,17.2,4.27
"(V07) (619A4) Central Alabama VAMC -
Tuskegee","13,445","11,105",82.60%,"2,340",17.40%,0,42,"10,079",17,"1,026",13,"1,056",8,909,4,251,0,124,0,7.1,22.56,2.41
(V07) (619GA) Columbus,"2,765","2,268",82.03%,497,17.97%,0,1,"2,043",1,225,0,203,0,277,0,10,0,7,0,25.02,8.61,11.09
(V07) (619GB) Dothan 1,"4,686","4,425",94.43%,261,5.57%,0,1,"4,117",1,308,0,96,0,38,0,8,0,119,0,3.33,,16.29
(V07) (619GD) Wiregrass,"3,367","3,269",97.09%,98,2.91%,0,1,"3,144",1,125,0,67,0,15,0,10,0,6,0,3.48,4.72,3.42
(V07) (619GE) Monroe County,"1,065","1,063",99.81%,2,0.19%,0,0,"1,056",0,7,0,0,0,0,0,1,0,1,0,0.85,,1.67
"(V07) (619GF) Central Alabama
Montgomery VA Clinic","10,117","8,707",86.06%,"1,410",13.94%,0,1,"7,636",0,"1,071",0,995,1,277,0,108,0,30,0,7.01,21.79,5.68
(V07) (619QB) Fort Benning,"6,229","5,411",86.87%,818,13.13%,0,0,"5,170",0,241,0,268,0,371,0,116,0,63,0,10.17,4.18,51.05
"(V07) (679) Tuscaloosa, AL","7,010","6,224",88.79%,786,11.21%,6,31,"5,387",8,837,0,609,0,140,0,26,4,11,19,10,13.32,3.47
"(V07) (679) Tuscaloosa VA Medical
Center","6,865","6,094",88.77%,771,11.23%,0,31,"5,275",8,819,0,596,0,138,0,26,4,11,19,10.03,13.32,3.47
(V07) (679BU) Tuscaloosa DCHV,1,1,100.00%,0,0.00%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
"(V07) (679HK) Tuscaloosa VA Mobile
Clinic",144,129,89.58%,15,10.42%,0,0,111,0,18,0,13,0,2,0,0,0,0,0,9.56,,
"(V08) (516) Bay Pines, FL","183,958","178,785",97.19%,"5,173",2.81%,8,56,"172,028",21,"6,757",3,"3,086",7,"1,011",5,449,1,627,19,3.19,5.45,2.7
(V08) (516) C.W. Bill Young VAMC,"86,397","83,976",97.20%,"2,421",2.80%,0,49,"80,051",16,"3,925",2,"1,606",6,427,5,166,1,222,19,3.47,5.13,2.85
(V08) (516BZ) Lee County,"43,577","41,684",95.66%,"1,893",4.34%,0,1,"39,919",1,"1,765",0,"1,103",0,434,0,182,0,174,0,3.22,7.15,2.2
(V08) (516GA) Sarasota,"11,228","11,090",98.77%,138,1.23%,0,2,"10,905",1,185,1,81,0,27,0,13,0,17,0,2.57,4.67,2.62
(V08) (516GB) St. Petersburg,"2,395","2,375",99.16%,20,0.84%,0,0,"2,355",0,20,0,10,0,2,0,3,0,5,0,1.39,2,2.2
(V08) (516GC) Palm Harbor,"6,571","6,391",97.26%,180,2.74%,0,3,"6,255",2,136,0,50,1,74,0,52,0,4,0,3.39,2.18,3.75
(V08) (516GD) Bradenton,"13,761","13,591",98.76%,170,1.24%,0,0,"13,254",0,337,0,127,0,6,0,6,0,31,0,1.73,2.86,4.23
(V08) (516GE) Port Charlotte,"9,255","9,051",97.80%,204,2.20%,0,1,"8,770",1,281,0,96,0,37,0,22,0,49,0,4.16,5.1,2.08
(V08) (516GF) Naples,"7,236","7,219",99.77%,17,0.23%,0,0,"7,132",0,87,0,4,0,2,0,3,0,8,0,1.55,4.35,1.63
(V08) (516GH) Sebring,"3,538","3,408",96.33%,130,3.67%,0,0,"3,387",0,21,0,9,0,2,0,2,0,117,0,9.09,4.08,1.94
"(V08) (546) Miami, FL","91,599","86,634",94.58%,"4,965",5.42%,86,7,"81,731",5,"4,903",0,"2,734",0,813,0,346,0,"1,072",2,5.88,7.81,2.34
(V08) (546) Bruce W Carter VAMC,"47,036","44,569",94.76%,"2,467",5.24%,0,3,"42,172",1,"2,397",0,"1,403",0,449,0,162,0,453,2,11.14,5.32,1.14
(V08) (546BZ) William Bill Kling VAOC,"30,068","27,778",92.38%,"2,290",7.62%,0,3,"25,603",3,"2,175",0,"1,187",0,341,0,173,0,589,0,4.9,12.62,3.43
(V08) (546GA) Miami,145,143,98.62%,2,1.38%,0,1,143,1,0,0,2,0,0,0,0,0,0,0,0.83,,2.26
(V08) (546GB) Key West,"1,958","1,906",97.34%,52,2.66%,0,0,"1,854",0,52,0,28,0,8,0,5,0,11,0,4.92,8.02,3.08
(V08) (546GC) Homestead,"4,079","3,999",98.04%,80,1.96%,0,0,"3,847",0,152,0,71,0,8,0,0,0,1,0,3.55,5.87,3.82
(V08) (546GD) Pembroke Pines,"2,630","2,612",99.32%,18,0.68%,0,0,"2,565",0,47,0,12,0,3,0,1,0,2,0,1.59,0.36,2.17
(V08) (546GE) Key Largo,795,774,97.36%,21,2.64%,0,0,750,0,24,0,16,0,1,0,2,0,2,0,2.39,28.32,7.79
(V08) (546GF) Hollywood,"3,096","3,072",99.22%,24,0.78%,0,0,"3,041",0,31,0,10,0,2,0,3,0,9,0,1.82,3.1,1.24
(V08) (546GH) Deerfield Beach,"1,792","1,781",99.39%,11,0.61%,0,0,"1,756",0,25,0,5,0,1,0,0,0,5,0,1.26,4.42,4.97
"(V08) (548) West Palm Beach, FL","114,513","109,719",95.81%,"4,794",4.19%,78,3,"103,930",0,"5,789",3,"2,706",0,"1,087",0,439,0,562,0,2.58,9.63,5.17
(V08) (548) West Palm Beach VAMC,"82,492","77,911",94.45%,"4,581",5.55%,0,3,"72,435",0,"5,476",3,"2,614",0,"1,061",0,428,0,478,0,4.04,9.86,5.56
(V08) (548GA) Fort Pierce,"5,628","5,568",98.93%,60,1.07%,0,0,"5,498",0,70,0,40,0,10,0,3,0,7,0,1.16,4.36,5.84
(V08) (548GB) Delray Beach,"8,175","8,135",99.51%,40,0.49%,0,0,"8,056",0,79,0,23,0,4,0,2,0,11,0,0.72,3.32,3.33
(V08) (548GC) Stuart,"7,213","7,172",99.43%,41,0.57%,0,0,"7,081",0,91,0,6,0,2,0,2,0,31,0,2.25,3.85,3.32
(V08) (548GD) Boca Raton,"4,032","4,008",99.40%,24,0.60%,0,0,"3,963",0,45,0,9,0,1,0,2,0,12,0,1.76,3.17,5.38
(V08) (548GE) Vero Beach,"4,634","4,610",99.48%,24,0.52%,0,0,"4,596",0,14,0,6,0,5,0,1,0,12,0,1.14,0.44,1.15
(V08) (548GF) Okeechobee,"2,339","2,315",98.97%,24,1.03%,0,0,"2,301",0,14,0,8,0,4,0,1,0,11,0,1.94,3.2,5.25
"(V08) (573) Gainesville, FL","257,426","243,224",94.48%,"14,202",5.52%,326,"1,160","228,225",238,"14,999",81,"7,204",117,"3,083",88,"1,310",82,"2,605",549,5.43,10.28,4.48
(V08) (573) Malcolm Randall VAMC,"73,279","68,705",93.76%,"4,574",6.24%,0,77,"64,327",39,"4,378",4,"2,210",1,"1,027",1,442,3,895,29,4.92,9.65,4.59
(V08) (573A4) Lake City VAMC,"26,480","24,772",93.55%,"1,708",6.45%,0,0,"22,110",0,"2,662",0,875,0,263,0,223,0,347,0,10.86,8.79,1.1
(V08) (573BY) Jacksonville 1 VA Clinic,"57,498","52,005",90.45%,"5,493",9.55%,0,3,"48,891",1,"3,114",2,"2,682",0,"1,429",0,463,0,919,0,5.29,17.43,4.19
(V08) (573GA) Valdosta,"4,375","4,341",99.22%,34,0.78%,0,0,"4,305",0,36,0,16,0,3,0,1,0,14,0,1.72,3.01,0.21
(V08) (573GD) Ocala,"14,571","14,362",98.57%,209,1.43%,0,1,"14,003",1,359,0,126,0,33,0,15,0,35,0,3.04,2.59,5.53
(V08) (573GE) Saint Augustine,"8,416","8,327",98.94%,89,1.06%,0,0,"7,922",0,405,0,64,0,9,0,3,0,13,0,3.76,3.85,3.31
(V08) (573GF) Tallahassee,"22,217","21,189",95.37%,"1,028",4.63%,0,0,"19,260",0,"1,929",0,620,0,184,0,85,0,139,0,8.89,5.36,10.83
(V08) (573GG) Lecanto,"7,985","7,794",97.61%,191,2.39%,0,0,"7,420",0,374,0,58,0,17,0,20,0,96,0,6.59,13.91,1.46
(V08) (573GI) The Villages,"24,509","24,076",98.23%,433,1.77%,0,"1,013","23,249",149,827,72,278,110,67,80,31,79,57,518,2.93,3.61,3.92
(V08) (573GJ) Saint Marys,"3,621","3,510",96.93%,111,3.07%,0,66,"3,305",48,205,3,20,6,18,7,13,0,60,2,7.75,11.86,7.57
(V08) (573GK) Marianna,"3,151","3,121",99.05%,30,0.95%,0,0,"2,964",0,157,0,23,0,1,0,1,0,5,0,3.66,8.88,5.09
(V08) (573GL) Palatka,"3,160","3,075",97.31%,85,2.69%,0,0,"2,758",0,317,0,72,0,4,0,2,0,7,0,6.96,4.5,2.29
(V08) (573GM) Waycross,"2,420","2,412",99.67%,8,0.33%,0,0,"2,380",0,32,0,5,0,1,0,0,0,2,0,1.11,1.67,0.66
(V08) (573GN) Perry,459,455,99.13%,4,0.87%,0,0,444,0,11,0,1,0,1,0,0,0,2,0,3.12,10.5,0.68
"(V08) (573MA) IDES Naval Hospital
Jacksonville",10,9,90.00%,1,10.00%,0,0,8,0,1,0,1,0,0,0,0,0,0,0,,6,
(V08) (573QJ) Jacksonville 2,"5,275","5,071",96.13%,204,3.87%,0,0,"4,879",0,192,0,153,0,26,0,11,0,14,0,5.63,2.59,2.45
"(V08) (672) San Juan, PR","147,554","141,521",95.91%,"6,033",4.09%,7,231,"129,390",34,"12,131",27,"3,419",30,"1,025",37,493,6,"1,096",97,5.55,7,3.93
(V08) (672) San Juan VAMC,"95,908","90,404",94.26%,"5,504",5.74%,0,199,"79,519",23,"10,885",19,"3,215",21,914,34,400,5,975,97,8.56,8.51,5.84
(V08) (672B0) Ponce,"19,736","19,607",99.35%,129,0.65%,0,20,"19,535",7,72,6,42,7,34,0,30,0,23,0,1.11,0.75,1.02
(V08) (672BZ) Mayaguez,"18,026","17,862",99.09%,164,0.91%,0,11,"17,526",3,336,2,71,2,27,3,25,1,41,0,1.73,1.67,3.26
(V08) (672GA) St Croix,948,903,95.25%,45,4.75%,0,0,879,0,24,0,6,0,10,0,7,0,22,0,6.99,19.27,14.1
(V08) (672GB) St Thomas,804,775,96.39%,29,3.61%,0,1,757,1,18,0,8,0,9,0,8,0,4,0,4.06,26.93,0
(V08) (672GC) Arecibo,"5,626","5,558",98.79%,68,1.21%,0,0,"5,440",0,118,0,43,0,7,0,7,0,11,0,2.44,1.59,0.63
(V08) (672GD) Ceiba,"4,020","3,948",98.21%,72,1.79%,0,0,"3,272",0,676,0,34,0,21,0,14,0,3,0,7.93,23.94,1.69
(V08) (672GE) Guayama,"2,486","2,464",99.12%,22,0.88%,0,0,"2,462",0,2,0,0,0,3,0,2,0,17,0,1.83,0.08,1.54
"(V08) (673) Tampa, FL","180,908","176,270",97.44%,"4,638",2.56%,4,55,"169,613",30,"6,657",3,"2,363",7,"1,206",0,379,0,690,15,2.26,6.07,3.56
"(V08) (673) James A Haley Veterans
Hospital","129,785","126,308",97.32%,"3,477",2.68%,0,55,"121,162",30,"5,146",3,"1,874",7,757,0,319,0,527,15,2.43,5.68,2.82
(V08) (673BZ) New Port Richey,"25,051","24,108",96.24%,943,3.76%,0,0,"23,389",0,719,0,371,0,422,0,44,0,106,0,1.99,10.94,3.76
(V08) (673GB) Lakeland,"14,301","14,180",99.15%,121,0.85%,0,0,"13,610",0,570,0,73,0,11,0,12,0,25,0,2.06,6.85,5.66
(V08) (673GC) Brooksville,"8,078","8,035",99.47%,43,0.53%,0,0,"7,868",0,167,0,15,0,5,0,2,0,21,0,2.17,2.89,4.47
(V08) (673GF) Zephyrhills,"3,693","3,639",98.54%,54,1.46%,0,0,"3,584",0,55,0,30,0,11,0,2,0,11,0,2.42,11.14,3.43
"(V08) (675) Orlando, FL","212,838","199,976",93.96%,"12,862",6.04%,107,95,"188,282",20,"11,694",24,"6,862",33,"2,875",10,"1,557",2,"1,568",6,5.55,9.1,4.33
(V08) (675) Orlando VA Medical Center,"80,432","73,411",91.27%,"7,021",8.73%,0,28,"66,248",5,"7,163",7,"3,967",9,"1,532",4,872,0,650,3,12.16,9.74,5.71
(V08) (6759AA) Orlando Nursing Home,1,1,100.00%,0,0.00%,0,2,1,0,0,0,0,0,0,0,0,0,0,2,,6,
(V08) (675BU) Orlando Domiciliary,33,33,100.00%,0,0.00%,0,0,33,0,0,0,0,0,0,0,0,0,0,0,,,
(V08) (675GA) Viera,"45,669","43,163",94.51%,"2,506",5.49%,0,40,"41,277",7,"1,886",4,"1,228",21,522,6,357,2,399,0,5.49,7.74,5.22
"(V08) (675GB) William V Chappell Jr VA
OPC","33,327","32,118",96.37%,"1,209",3.63%,0,1,"31,374",0,744,1,424,0,264,0,185,0,336,0,4.07,7.81,2.37
(V08) (675GC) Kissimee,"5,209","5,146",98.79%,63,1.21%,0,1,"4,910",1,236,0,32,0,16,0,6,0,9,0,3.52,0,4.25
(V08) (675GD) Orange City,"4,695","4,572",97.38%,123,2.62%,0,0,"4,505",0,67,0,61,0,21,0,8,0,33,0,3.72,3.73,1.9
(V08) (675GE) Tavares VA Clinic,"6,116","5,983",97.83%,133,2.17%,0,0,"5,817",0,166,0,73,0,15,0,19,0,26,0,2.89,6.91,6.03
(V08) (675GF) Clermont,"3,523","3,420",97.08%,103,2.92%,0,1,"3,305",1,115,0,71,0,14,0,5,0,13,0,5.95,4.09,3.68
(V08) (675GG) Lake Baldwin,"33,833","32,129",94.96%,"1,704",5.04%,0,22,"30,812",6,"1,317",12,"1,006",3,491,0,105,0,102,1,3.8,9.57,3.82
"(V09) (581) Huntington, WV","40,147","37,766",94.07%,"2,381",5.93%,3,11,"35,105",1,"2,661",1,"1,484",2,559,7,184,0,154,0,4.24,9.97,3.03
(V09) (581) Huntington VAMC,"32,835","30,641",93.32%,"2,194",6.68%,0,10,"28,411",1,"2,230",1,"1,334",2,540,6,177,0,143,0,4.21,9.94,2.74
(V09) (581GA) Prestonsburg,"3,158","3,052",96.64%,106,3.36%,0,0,"2,868",0,184,0,89,0,14,0,3,0,0,0,4.58,16.79,3.8
(V09) (581GB) Charleston,"4,154","4,073",98.05%,81,1.95%,0,1,"3,826",0,247,0,61,0,5,1,4,0,11,0,4.06,8.58,3.73
"(V09) (596) Lexington, KY","28,272","26,573",93.99%,"1,699",6.01%,3,47,"23,831",46,"2,742",0,"1,254",1,343,0,89,0,13,0,2.99,8.82,6.25
(V09) (596) Lexington VAMC-Leestown,"11,357","10,933",96.27%,424,3.73%,0,16,"10,019",16,914,0,306,0,111,0,6,0,1,0,3.67,5.76,6.68
(V09) (596A4) Lexington-Cooper Dr,"13,406","12,301",91.76%,"1,105",8.24%,0,6,"10,677",5,"1,624",0,799,1,223,0,72,0,11,0,,9.92,4.52
(V09) (596BU) Lexington Domiciliary,6,6,100.00%,0,0.00%,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,
(V09) (596GA) Somerset,"1,791","1,656",92.46%,135,7.54%,0,16,"1,498",16,158,0,116,0,7,0,11,0,1,0,2.29,18.74,7.76
(V09) (596GB) Morehead,362,350,96.69%,12,3.31%,0,2,339,2,11,0,11,0,1,0,0,0,0,0,2.74,17.88,0.32
(V09) (596GC) Hazard,535,530,99.07%,5,0.93%,0,1,517,1,13,0,5,0,0,0,0,0,0,0,1.43,13.89,0.43
(V09) (596GD) Berea,815,797,97.79%,18,2.21%,0,6,775,6,22,0,17,0,1,0,0,0,0,0,1.53,3.21,1.42
"(V09) (603) Louisville, KY","54,529","53,420",97.97%,"1,109",2.03%,26,120,"50,236",4,"3,184",6,564,7,279,5,145,7,121,91,3.78,5.93,1.78
(V09) (603) Robley Rex VAMC,"30,549","29,533",96.67%,"1,016",3.33%,0,120,"27,598",4,"1,935",6,516,7,256,5,134,7,110,91,2.66,6.08,1.23
(V09) (603BU) Louisville Domiciliary,6,6,100.00%,0,0.00%,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,0
(V09) (603GA) Fort Knox,"2,580","2,564",99.38%,16,0.62%,0,0,"2,270",0,294,0,11,0,3,0,1,0,1,0,6.28,2.59,1.27
(V09) (603GB) New Albany,"3,582","3,561",99.41%,21,0.59%,0,0,"3,479",0,82,0,11,0,4,0,4,0,2,0,1.78,1.41,1.71
(V09) (603GC) Shively,"5,289","5,275",99.74%,14,0.26%,0,0,"4,857",0,418,0,10,0,1,0,1,0,2,0,4.1,1.21,3.47
(V09) (603GD) Dupont,"2,689","2,681",99.70%,8,0.30%,0,0,"2,610",0,71,0,6,0,2,0,0,0,0,0,4.4,0,1.18
(V09) (603GE) Newburg,"5,267","5,242",99.53%,25,0.47%,0,0,"5,054",0,188,0,5,0,11,0,4,0,5,0,3.55,2.89,1.47
(V09) (603GF) Grayson County,"2,549","2,546",99.88%,3,0.12%,0,0,"2,406",0,140,0,1,0,1,0,1,0,0,0,4.15,0.53,1.49
(V09) (603GG) Scott County,"1,401","1,397",99.71%,4,0.29%,0,0,"1,352",0,45,0,3,0,1,0,0,0,0,0,2.8,1.28,1.8
(V09) (603GH) Carrollton,583,581,99.66%,2,0.34%,0,0,570,0,11,0,1,0,0,0,0,0,1,0,2.73,1.98,1.6
(V09) (603MA) IDES Fort Knox,34,34,100.00%,0,0.00%,0,0,34,0,0,0,0,0,0,0,0,0,0,0,,0,3
"(V09) (614) Memphis, TN","56,531","54,491",96.39%,"2,040",3.61%,38,163,"51,688",18,"2,803",11,"1,186",21,340,21,294,8,220,83,3.85,6.56,3.71
(V09) (614) Memphis VAMC,"40,302","38,486",95.49%,"1,816",4.51%,0,90,"36,309",10,"2,177",9,"1,020",8,303,1,287,4,206,58,3.78,6.8,5.01
(V09) (614GA) Tupelo,"3,585","3,531",98.49%,54,1.51%,0,20,"3,458",2,73,1,39,4,9,3,2,1,4,9,3.75,0,0.9
(V09) (614GB) Jonesboro,340,340,100.00%,0,0.00%,0,3,339,1,1,0,0,0,0,1,0,0,0,1,0.81,0.35,1.07
(V09) (614GC) Holly Springs VA Clinic,330,324,98.18%,6,1.82%,0,1,320,0,4,0,5,0,1,1,0,0,0,0,3.36,0,6.5
(V09) (614GD) Savannah,725,718,99.03%,7,0.97%,0,0,712,0,6,0,5,0,0,0,1,0,1,0,1.09,0,0
(V09) (614GE) Covington,"2,178","2,125",97.57%,53,2.43%,0,14,"1,904",0,221,0,45,0,6,12,2,0,0,2,7.24,0.02,1.11
"(V09) (614GF) Nonconnah Boulevard VA
Clinic","6,227","6,143",98.65%,84,1.35%,0,12,"5,864",2,279,1,62,0,15,2,2,2,5,5,3.53,1.91,0.13
(V09) (614GG) Jackson,"1,623","1,609",99.14%,14,0.86%,0,23,"1,582",3,27,0,7,9,5,1,0,1,2,8,2.64,3.05,1.07
(V09) (614GI) Dyersburg,994,988,99.40%,6,0.60%,0,0,981,0,7,0,3,0,1,0,0,0,2,0,4.8,0,0.61
(V09) (614GN) Helena,227,227,100.00%,0,0.00%,0,0,219,0,8,0,0,0,0,0,0,0,0,0,4.63,,1.69
"(V09) (621) Mountain Home, TN","94,360","90,601",96.02%,"3,759",3.98%,34,21,"86,212",12,"4,389",3,"2,111",4,902,1,293,0,453,1,5.52,6.83,3.13
(V09) (621) James H Quillen VAMC,"58,118","55,323",95.19%,"2,795",4.81%,0,20,"52,552",12,"2,771",3,"1,559",4,716,0,225,0,295,1,6.92,6.81,3.12
(V09) (621BU) VADOM Mountain Home,110,110,100.00%,0,0.00%,0,0,110,0,0,0,0,0,0,0,0,0,0,0,2.34,,
(V09) (621BY) William C Tallent VA OPC,"19,286","18,855",97.77%,431,2.23%,0,0,"18,180",0,675,0,224,0,96,0,28,0,83,0,3.52,7.2,2.86
(V09) (621GA) Rogersville,"1,250","1,244",99.52%,6,0.48%,0,0,"1,217",0,27,0,3,0,1,0,1,0,1,0,2.15,7,1.94
(V09) (621GC) Norton,"5,432","5,319",97.92%,113,2.08%,0,0,"4,703",0,616,0,34,0,10,0,17,0,52,0,7.49,28.5,2.05
(V09) (621GG) Morristown,"1,848","1,826",98.81%,22,1.19%,0,1,"1,799",0,27,0,15,0,2,1,1,0,4,0,1.69,9.54,3.26
(V09) (621GI) Sevierville,"3,149","3,100",98.44%,49,1.56%,0,0,"3,030",0,70,0,26,0,14,0,4,0,5,0,2.61,2.17,2.4
(V09) (621GJ) Bristol,"3,698","3,495",94.51%,203,5.49%,0,0,"3,351",0,144,0,169,0,21,0,7,0,6,0,5.66,0.17,4.62
(V09) (621GK) Campbell County,"1,469","1,329",90.47%,140,9.53%,0,0,"1,270",0,59,0,81,0,42,0,10,0,7,0,9.69,1.11,8.98
"(V09) (626) Middle Tennessee HCS, TN","146,338","137,022",93.63%,"9,316",6.37%,8,634,"129,561",257,"7,461",55,"4,080",79,"2,508",56,"1,597",51,"1,131",136,7.22,9.05,3.69
(V09) (626) Nashville VAMC,"63,096","58,636",92.93%,"4,460",7.07%,0,226,"54,520",110,"4,116",26,"1,902",18,"1,176",7,825,19,557,46,11.84,9.27,3.74
(V09) (626A4) Alvin C York VAMC,"41,508","39,097",94.19%,"2,411",5.81%,0,274,"37,636",58,"1,461",13,876,39,687,48,491,28,357,88,4.65,7.78,1.29
(V09) (626GA) Dover,757,668,88.24%,89,11.76%,0,4,613,3,55,0,51,0,30,0,5,1,3,0,10.84,0,12.23
(V09) (626GC) Bowling Green,"2,806","2,522",89.88%,284,10.12%,0,2,"2,286",1,236,1,252,0,29,0,0,0,3,0,9.41,1.53,9.96
(V09) (626GE) Clarksville,"7,383","6,811",92.25%,572,7.75%,0,48,"6,538",23,273,4,289,20,100,1,70,0,113,0,4.51,21.01,4.02
(V09) (626GF) Chattanooga,"16,228","15,194",93.63%,"1,034",6.37%,0,64,"14,387",49,807,9,384,1,424,0,159,3,67,2,8.4,11.19,3.6
(V09) (626GG) Tullahoma,914,898,98.25%,16,1.75%,0,1,875,1,23,0,14,0,1,0,1,0,0,0,1.53,7.23,3.87
(V09) (626GH) Cookeville,"2,662","2,656",99.77%,6,0.23%,0,8,"2,646",6,10,1,2,1,1,0,0,0,3,0,1.08,0.27,0.34
(V09) (626GJ) Hopkinsville,"3,830","3,608",94.20%,222,5.80%,0,2,"3,429",2,179,0,151,0,45,0,22,0,4,0,5.1,1.54,8.16
(V09) (626GK) McMinnville,"1,342","1,319",98.29%,23,1.71%,0,2,"1,311",1,8,1,18,0,0,0,1,0,4,0,1.41,0.4,1.34
(V09) (626GL) Roane County,719,698,97.08%,21,2.92%,0,0,647,0,51,0,19,0,0,0,0,0,2,0,9.27,2.11,5.4
(V09) (626GM) Maury County,"2,200","2,111",95.95%,89,4.05%,0,2,"1,953",2,158,0,80,0,7,0,1,0,1,0,5.65,3.79,11.14
(V09) (626GN) Athens,"1,102","1,075",97.55%,27,2.45%,0,1,"1,045",1,30,0,27,0,0,0,0,0,0,0,3.19,1.23,7.39
"(V09) (626GO) International Plaza VA
Clinic","1,753","1,691",96.46%,62,3.54%,0,0,"1,637",0,54,0,15,0,8,0,22,0,17,0,5.94,0,0
(V09) (626MA) IDES Fort Campbell,38,38,100.00%,0,0.00%,0,0,38,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V10) (538) Chillicothe, OH","18,566","16,790",90.43%,"1,776",9.57%,2,203,"15,581",22,"1,209",9,"1,180",29,309,38,151,20,136,84,5.95,7.55,7.32
(V10) (538) Chillicothe VAMC,"12,802","11,171",87.26%,"1,631",12.74%,0,203,"10,261",22,910,9,"1,062",29,290,38,144,20,135,84,7.66,8.96,10.15
(V10) (538GA) Athens,"1,382","1,355",98.05%,27,1.95%,0,0,"1,259",0,96,0,23,0,2,0,1,0,1,0,2.76,3.92,5.12
(V10) (538GB) Portsmouth,910,902,99.12%,8,0.88%,0,0,878,0,24,0,8,0,0,0,0,0,0,0,2.58,3.46,1.08
