Location,Appts_Total_2016,PC_Wait_2016,Appts<31_16,%Appts<31_16
(V18) (501GJ) Durango,804,0.2,795,0.99
(V18) (501GK) Santa Fe,857,3.01,832,0.97
(V18) (501GM) Northwest Metro VA Clinic,"2,939",4.52,"2,714",0.92
(V18) (501HB) Raton,242,2.33,241,1.00
(V18) (501MA) IDES Kirtland AFB,1,,1,1.00
"(V18) (504) Amarillo, TX","21,802",22.5,"17,937",0.82
(V18) (504) Thomas E Creek VAMC,"15,059",26.96,"12,241",0.81
(V18) (504BY) Lubbock TX,"6,182",15.64,"5,151",0.83
(V18) (504BZ) Clovis,473,1.78,470,0.99
(V18) (504GA) Childress,51,17.79,40,0.78
(V18) (504HB) Dalhart,37,7.48,35,0.95
"(V18) (519) Big Spring, TX","10,575",5.44,"9,978",0.94
(V18) (519) George H OBrien Jr VAMC,"4,690",5.63,"4,413",0.94
(V18) (519GA) Permian Basin,"1,096",4.37,"1,076",0.98
(V18) (519GB) Hobbs,257,2.33,247,0.96
(V18) (519GD) Fort Stockton,39,15.97,33,0.85
(V18) (519HC) Abilene,"2,457",7.72,"2,256",0.92
(V18) (519HD) Stamford,8,3,8,1.00
(V18) (519HF) San Angelo,"2,028",3.54,"1,945",0.96
"(V18) (644) Phoenix, AZ","89,835",9.14,"81,669",0.91
(V18) (644) Carl T Hayden VAMC,"63,383",11.02,"57,166",0.90
(V18) (644BY) Southeast,"13,687",7.45,"12,363",0.90
(V18) (644GA) Sun City,"7,514",5.71,"7,170",0.95
(V18) (644GB) Show Low,"1,296",5.75,"1,250",0.96
(V18) (644GD) Payson,111,5.71,111,1.00
(V18) (644GE) Thunderbird,"2,561",9.81,"2,391",0.93
(V18) (644GF) Globe,85,3.89,83,0.98
"(V18) (644GG) Northeast Phoenix VA
Clinic","1,198",7.77,"1,135",0.95
(V18) (649) Northern Arizona HCS,"16,404",9.03,"14,417",0.88
(V18) (649) Bob Stump VAMC,"11,802",8.07,"10,100",0.86
(V18) (649GA) Kingman,"1,165",6.81,"1,138",0.98
(V18) (649GB) Flagstaff,625,11.73,583,0.93
(V18) (649GC) Lake Havasu,"1,670",10.77,"1,517",0.91
(V18) (649GD) Anthem,321,10.88,308,0.96
(V18) (649GE) Cottonwood,821,9.41,771,0.94
(V18) (678) Southern Arizona HCS,"54,592",6.21,"50,625",0.93
(V18) (678) Tucson VAMC,"39,197",6.68,"35,648",0.91
(V18) (678GA) Sierra Vista,"4,021",6.6,"3,855",0.96
(V18) (678GB) Yuma,"2,369",5.91,"2,280",0.96
(V18) (678GC) Casa Grande,"2,536",3.48,"2,498",0.99
(V18) (678GD) Safford,291,7.1,283,0.97
(V18) (678GE) Green Valley,587,5.81,566,0.96
"(V18) (678GF) Northwest Tucson VA
Clinic","3,224",5.15,"3,186",0.99
"(V18) (678GG) Southeast Tucson VA
Clinic","2,346",7.95,"2,288",0.98
(V18) (678MA) IDES Davis-Monthan AFB,6,,6,1.00
(V18) (678MB) IDES Fort Huachuca,15,,15,1.00
"(V18) (756) El Paso, TX","44,429",12.5,"41,927",0.94
(V18) (756) El Paso VA Clinic,"37,488",14.98,"35,144",0.94
(V18) (756GA) Las Cruces,"2,824",1.94,"2,793",0.99
(V18) (756GB) El Paso Eastside,"4,052",8.55,"3,925",0.97
(V18) (756MA) IDES Fort Bliss,65,,65,1.00
(V19) (436) Montana HCS,"25,439",15.41,"21,004",0.83
"(V19) (436) Fort Harrison VA Medical
Center","10,198",18.16,"8,226",0.81
(V19) (436GA) Anaconda,336,2.52,329,0.98
(V19) (436GB) Great Falls,"1,381",13.63,"1,267",0.92
(V19) (436GC) Missoula,"3,500",17.26,"2,958",0.85
(V19) (436GD) Bozeman,"1,312",8.32,"1,053",0.80
(V19) (436GF) Kalispell,"2,158",27.08,"1,625",0.75
(V19) (436GH) Billings,"4,855",8.83,"3,879",0.80
(V19) (436GI) Glasgow,191,8.23,182,0.95
(V19) (436GJ) Miles City VA Clinic,597,0.94,592,0.99
(V19) (436GK) Glendive,152,3.32,151,0.99
(V19) (436GL) Cut Bank,203,4.52,196,0.97
(V19) (436GM) Lewistown,345,2.64,336,0.97
(V19) (436HC) Merril Lundman VA OPC,211,2.61,210,1.00
"(V19) (442) Cheyenne, WY","18,174",4.56,"16,409",0.90
(V19) (442) Cheyenne VA Medical Center,"10,168",5.24,"9,162",0.90
(V19) (442GB) Sidney,144,0.66,141,0.98
(V19) (442GC) Fort Collins,"3,617",5.07,"3,227",0.89
(V19) (442GD) Greeley,"3,710",4.2,"3,357",0.90
"(V19) (442HK) Wheatland VA Mobile
Clinic",472,1.64,465,0.99
(V19) (442QA) Rawlins,63,9.26,57,0.90
"(V19) (554) Denver, CO","76,858",15.38,"63,147",0.82
(V19) (554) Denver VA Medical Center,"36,119",13.69,"29,690",0.82
(V19) (5549AB) VANURS Pueblo,1,,1,1.00
(V19) (554GB) Aurora,"3,722",18.46,"3,057",0.82
(V19) (554GC) Golden,"6,013",7.56,"5,624",0.94
(V19) (554GD) Pueblo,"6,837",18.09,"5,884",0.86
"(V19) (554GE) PFC Floyd K Lindstrom VA
Clinic","22,384",18.5,"17,186",0.77
(V19) (554GF) Alamosa,430,13.94,373,0.87
(V19) (554GG) La Junta,653,1.85,644,0.99
(V19) (554GH) Lamar,290,9.32,284,0.98
(V19) (554GI) Burlington,320,10.24,315,0.98
(V19) (554MA) IDES Fort Carson,89,,89,1.00
"(V19) (575) Grand Junction, CO","10,929",16.72,"9,952",0.91
(V19) (575) Grand Junction VAMC,"9,994",16.65,"9,093",0.91
(V19) (575GA) Montrose,762,4.66,719,0.94
"(V19) (575GB) Major William Edward
Adams VA Clinic",173,43.63,140,0.81
"(V19) (660) Salt Lake City, UT","44,812",9.23,"37,915",0.85
(V19) (660) George E. Wahlen VAMC,"34,051",12.57,"27,866",0.82
(V19) (660GA) Pocatello,"2,037",3.67,"1,986",0.98
(V19) (660GB) Ogden,"3,726",9.36,"3,321",0.89
(V19) (660GD) Roosevelt,217,2.44,213,0.98
(V19) (660GE) Orem,"2,073",9.37,"1,907",0.92
(V19) (660GG) St. George,"1,267",1.75,"1,237",0.98
(V19) (660GJ) Western Salt Lake,"1,368",4.26,"1,316",0.96
"(V19) (660GK) Elko, NV",52,2.08,48,0.92
(V19) (660MA) IDES Hill AFB,21,,21,1.00
"(V19) (666) Sheridan, WY","6,332",7.95,"5,839",0.92
(V19) (666) Sheridan VA Medical Center,"2,543",15.31,"2,215",0.87
(V19) (666GB) Casper,"1,497",8.77,"1,394",0.93
(V19) (666GC) Riverton,906,2.45,894,0.99
(V19) (666GD) Powell,454,9.55,416,0.92
(V19) (666GE) Gillette,350,4.6,343,0.98
(V19) (666GF) Rock Springs,582,1.89,577,0.99
"(V20) (463) Anchorage, AK","6,568",2.98,"6,282",0.96
(V20) (463) Alaska VA Medical Center,"4,389",4.09,"4,127",0.94
(V20) (463BU) Anchorage DCHV,443,,443,1.00
(V20) (463GA) Fairbanks,631,2.69,611,0.97
(V20) (463GB) Kenai,672,0.2,669,1.00
(V20) (463GC) Mat-Su,433,0.38,432,1.00
"(V20) (531) Boise, ID","18,531",13.53,"14,971",0.81
(V20) (531) Boise VA Medical Center,"16,163",14.16,"13,044",0.81
(V20) (531GE) Twin Falls,722,5.59,694,0.96
(V20) (531GG) Caldwell,"1,643",15.08,"1,230",0.75
(V20) (531MA) IDES Mt Home AFB,1,,1,1.00
(V20) (531MB) IDES Idaho ANG,2,,2,1.00
"(V20) (648) Portland, OR","78,504",9.88,"68,820",0.88
(V20) (648) Portland VA Medical Center,"50,791",15.35,"44,544",0.88
(V20) (648A4) Vancouver,"11,056",11.41,"9,339",0.84
(V20) (648BU) VADOM Vancouver,149,,144,0.97
(V20) (648GA) Bend,"3,096",8.35,"2,821",0.91
(V20) (648GB) Salem,"6,663",7.77,"5,692",0.85
(V20) (648GD) North Coast,459,5.3,448,0.98
(V20) (648GE) Fairview,"2,084",6.78,"1,995",0.96
(V20) (648GF) Hillsboro,"2,859",8.86,"2,549",0.89
(V20) (648GG) West Linn,"1,347",6.75,"1,288",0.96
"(V20) (653) Roseburg, OR","26,147",7.9,"22,739",0.87
(V20) (653) Roseburg VA Medical Center,"14,257",7.65,"12,481",0.88
(V20) (653BY) Eugene,"9,936",7.3,"8,410",0.85
(V20) (653GA) North Bend,"1,388",10.41,"1,302",0.94
(V20) (653GB) Brookings,566,8.75,546,0.96
"(V20) (663) VA Puget Sound, WA","72,506",8.87,"65,921",0.91
(V20) (663) Seattle VA Medical Center,"36,843",8.35,"33,956",0.92
(V20) (663A4) American Lake,"28,743",11.43,"25,392",0.88
(V20) (663GA) Bellevue,"1,776",6.1,"1,740",0.98
(V20) (663GB) Bremerton,836,6.71,813,0.97
(V20) (663GC) Mount Vernon,"2,863",5.45,"2,709",0.95
(V20) (663GD) South Sound,"1,354",9.9,"1,239",0.92
"(V20) (663HK) Puget Sound VA Mobile
Clinic",91,13.62,72,0.79
"(V20) (668) Spokane, WA","20,209",9.72,"17,809",0.88
(V20) (668) Mann-Grandstaff VAMC,"17,479",10.37,"15,278",0.87
(V20) (668GA) Wenatchee,830,11.09,718,0.87
(V20) (668GB) Coeur d'Alene,"1,741",7.73,"1,657",0.95
(V20) (668HK) Spokane Mobile OPC,159,2.92,156,0.98
"(V20) (687) Walla Walla, WA","8,919",11.12,"7,887",0.88
"(V20) (687) Jonathan M Wainwright
VAMC","5,226",11.88,"4,442",0.85
(V20) (687GA) Richland,"1,031",9.91,980,0.95
(V20) (687GB) Lewiston,564,8.43,548,0.97
(V20) (687GC) La Grande,312,12.93,298,0.96
(V20) (687HA) Yakima,"1,786",11.45,"1,619",0.91
"(V20) (692) White City, OR","10,272",13.89,"9,427",0.92
(V20) (692) White City VA Medical Center,"9,464",13.79,"8,638",0.91
(V20) (692GA) Klamath Falls,486,3.76,484,1.00
(V20) (692GB) Grants Pass,322,18.81,305,0.95
"(V21) (358) Manila, PI","5,522",3.6,"5,399",0.98
(V21) (358) Manila,"5,522",3.6,"5,399",0.98
"(V21) (459) Honolulu, HI","20,397",7.48,"19,378",0.95
(V21) (459) Spark M Matsunaga VAMC,"11,559",8.39,"10,996",0.95
(V21) (459GA) Maui,"1,826",3.35,"1,784",0.98
(V21) (459GB) Hilo,"1,484",8.65,"1,421",0.96
(V21) (459GC) Kona,817,3.41,799,0.98
(V21) (459GD) Kauai,786,4.64,764,0.97
(V21) (459GE) Guam,"1,686",11.69,"1,502",0.89
(V21) (459GF) American Samoa,784,5.9,728,0.93
(V21) (459GG) Leeward Oahu,"1,455",6.81,"1,384",0.95
"(V21) (570) Fresno, CA","21,131",1.05,"18,709",0.89
(V21) (570) Fresno VAMC,"18,913",1.29,"16,584",0.88
(V21) (570GA) Merced,764,0.85,695,0.91
(V21) (570GB) Tulare,"1,128",0.35,"1,117",0.99
(V21) (570GC) Oakhurst,326,0.43,313,0.96
"(V21) (612) N. California, CA","71,638",11.78,"63,963",0.89
(V21) (612) Martinez VA CLC,4,,3,0.75
(V21) (612A4) Sacramento VAMC,"25,012",10.73,"22,218",0.89
(V21) (612B4) Redding,"8,741",6.24,"7,969",0.91
(V21) (612BY) Oakland,"5,412",4.79,"4,814",0.89
(V21) (612GD) Fairfield,"1,412",8.5,"1,338",0.95
(V21) (612GE) Mare Island,"3,643",4.25,"3,529",0.97
(V21) (612GF) Martinez,"11,648",6.08,"10,041",0.86
(V21) (612GG) Chico,"4,456",33.26,"3,619",0.81
(V21) (612GH) McClellan,"10,206",4.48,"9,399",0.92
(V21) (612GI) Yuba City,"1,104",12.28,"1,033",0.94
"(V21) (640) Palo Alto, CA","46,017",14.19,"41,518",0.90
(V21) (640) Palo Alto VAMC,"19,798",8.7,"18,446",0.93
(V21) (640A0) Palo Alto-Menlo Pk,"2,920",6.03,"2,590",0.89
(V21) (640A4) Palo Alto VAMC-Livermore,"6,971",8.75,"6,324",0.91
(V21) (640BY) San Jose,"3,694",8.1,"3,511",0.95
(V21) (640GA) Capitola,196,10.98,177,0.90
(V21) (640GB) Sonora,594,26.14,399,0.67
(V21) (640GC) Fremont,776,5.16,742,0.96
(V21) (640HA) Stockton,"3,962",12.53,"3,441",0.87
(V21) (640HB) Modesto,"2,398",25.49,"1,953",0.81
(V21) (640HC) Monterey,"4,708",15.33,"3,935",0.84
"(V21) (654) Reno, NV","28,100",7.34,"26,538",0.94
(V21) (654) Ioannis A Lougaris VAMC,"24,301",6.95,"22,939",0.94
(V21) (654GA) Sierra Foothills,"1,205",3.62,"1,183",0.98
(V21) (654GB) Carson Valley,"1,141",13.5,"1,035",0.91
(V21) (654GC) Lahontan Valley,"1,190",7.21,"1,122",0.94
(V21) (654GD) Diamond View,263,5.08,259,0.98
"(V21) (662) San Francisco, CA","37,552",11.36,"35,218",0.94
(V21) (662) San Francisco VAMC,"26,101",10.05,"24,794",0.95
(V21) (662GA) Santa Rosa,"4,812",15.09,"4,133",0.86
(V21) (662GC) Eureka,"2,354",6.25,"2,268",0.96
(V21) (662GD) Ukiah,"1,227",13.24,"1,112",0.91
(V21) (662GE) San Bruno,936,7.6,889,0.95
(V21) (662GF) San Francisco VA Clinic,695,5.35,677,0.97
(V21) (662GG) Clearlake,"1,427",17.29,"1,345",0.94
"(V22) (593) Las Vegas, NV","71,115",10.65,"60,572",0.85
(V22) (593) Las Vegas VA Medical Center,"41,313",8.55,"33,937",0.82
(V22) (593GC) Pahrump,"1,596",3.12,"1,525",0.96
"(V22) (593GD) Northwest Las Vegas VA
Clinic","8,177",8.16,"7,481",0.91
"(V22) (593GE) Southeast Las Vegas VA
Clinic","6,206",8.78,"5,691",0.92
"(V22) (593GF) Southwest Las Vegas VA
Clinic","7,610",11.29,"6,884",0.90
"(V22) (593GG) Northeast Las Vegas VA
Clinic","5,640",20.61,"4,505",0.80
(V22) (593GH) Laughlin,573,5.39,549,0.96
"(V22) (600) Long Beach, CA","54,129",9.55,"49,631",0.92
"(V22) (600) Long Beach VA Medical
Center","48,593",10.71,"44,432",0.91
(V22) (600GA) Anaheim,"1,212",7.35,"1,173",0.97
(V22) (600GB) Santa Ana,"2,054",9.29,"1,815",0.88
(V22) (600GC) Cabrillo,192,1.57,186,0.97
(V22) (600GD) Whittier,956,5.35,924,0.97
(V22) (600GE) Laguna Hills,"1,122",7.07,"1,101",0.98
"(V22) (605) Loma Linda, CA","89,684",11.89,"81,282",0.91
"(V22) (605) Jerry L Pettis Memorial
Veterans Hospital","45,846",6.22,"41,539",0.91
(V22) (605BZ) Loma Linda VA Clinic,"20,676",3.24,"19,934",0.96
(V22) (605GA) Victorville,"3,471",22.05,"2,673",0.77
(V22) (605GB) Murrieta,"5,037",44.79,"3,248",0.64
(V22) (605GC) Palm Desert,"9,412",2.48,"9,337",0.99
(V22) (605GD) Corona,"1,621",26.22,"1,340",0.83
(V22) (605GE) Rancho Cucamonga,"3,621",5.34,"3,211",0.89
"(V22) (664) San Diego, CA","69,001",5.48,"62,142",0.90
(V22) (664) San Diego VA Medical Center,"43,402",6.72,"38,626",0.89
(V22) (664BU) San Diego Domiciliary,6,,6,1.00
(V22) (664BY) Mission Valley,"11,156",6.42,"9,946",0.89
(V22) (664GA) Imperial Valley,637,1.94,634,1.00
(V22) (664GB) Oceanside,"9,725",4.28,"9,093",0.94
(V22) (664GC) Chula Vista,"2,022",5.73,"1,838",0.91
(V22) (664GD) Escondido,"2,053",1.88,"1,999",0.97
(V22) (691) Greater Los Angeles HCS,"89,208",10.48,"76,143",0.85
"(V22) (691) West Los Angeles VA Medical
Center","38,792",9.77,"31,817",0.82
"(V22) (691A4) Sepulveda VA Medical
Center","21,006",11.15,"17,321",0.82
(V22) (691GB) Santa Barbara,"2,127",5.15,"2,069",0.97
(V22) (691GC) Gardena,"1,166",2.33,"1,118",0.96
(V22) (691GD) Bakersfield,"7,810",1.61,"7,300",0.93
(V22) (691GE) Los Angeles,"9,828",2.42,"9,331",0.95
(V22) (691GF) East Los Angeles,830,7.07,820,0.99
(V22) (691GG) Antelope Valley,971,20.43,872,0.90
(V22) (691GK) San Luis Obispo,"1,156",15.08,"1,004",0.87
(V22) (691GL) Santa Maria,"3,106",15.91,"2,598",0.84
(V22) (691GM) Oxnard,"2,416",37.15,"1,893",0.78
"(V23) (437) Fargo, ND","24,115",4.81,"22,176",0.92
(V23) (437) Fargo VAMC,"19,635",5.22,"17,903",0.91
(V23) (437GA) Grafton,175,3.9,162,0.93
(V23) (437GB) Bismarck,"1,314",3.15,"1,209",0.92
(V23) (437GC) Fergus Falls,385,2.58,377,0.98
(V23) (437GD) Minot,546,1.71,538,0.99
(V23) (437GE) Bemidji,"1,097",7.28,"1,046",0.95
(V23) (437GF) Williston,165,2.15,163,0.99
(V23) (437GI) Grand Forks,798,3.35,778,0.97
"(V23) (438) Sioux Falls, SD","26,511",3.57,"23,773",0.90
(V23) (438) Royal C. Johnson VAMC,"21,236",3.33,"18,630",0.88
(V23) (438GA) Spirit Lake,"1,001",5.36,962,0.96
(V23) (438GC) Sioux City,"2,134",3.92,"2,097",0.98
(V23) (438GD) Aberdeen,"1,061",2.25,"1,021",0.96
(V23) (438GE) Wagner,147,10.68,140,0.95
(V23) (438GF) Watertown,932,2.09,923,0.99
"(V23) (568) Black Hills HCS, SD","12,849",4.86,"11,365",0.88
(V23) (568) Fort Meade VAMC,"6,803",6.99,"5,791",0.85
(V23) (568A4) Hot Springs,"3,369",6.24,"3,124",0.93
(V23) (568GA) Rapid City,"1,799",2.79,"1,625",0.90
(V23) (568GB) Pierre,350,1.2,346,0.99
(V23) (568HA) Newcastle,26,14.53,23,0.88
(V23) (568HB) Gordon CBOC,25,15.31,21,0.84
(V23) (568HF) Pine Ridge,86,32.58,78,0.91
(V23) (568HH) Scottsbluff,218,2.65,189,0.87
(V23) (568HJ) Mission,79,0,79,1.00
(V23) (568HK) McLaughlin,9,,7,0.78
(V23) (568HM) Eagle Butte,18,6.71,17,0.94
(V23) (568HP) Winner,65,4.6,63,0.97
(V23) (568MA) IDES Ellsworth AFB,2,,2,1.00
"(V23) (618) Minneapolis, MN","76,039",5.55,"71,687",0.94
(V23) (618) Minneapolis VAMC,"55,463",6.1,"52,098",0.94
(V23) (618BY) Twin Ports,"4,630",6.9,"4,170",0.90
(V23) (618GA) St. James,"1,407",1.24,"1,398",0.99
(V23) (618GB) Hibbing,"1,124",2.13,"1,116",0.99
(V23) (618GD) Maplewood,"1,938",8.06,"1,852",0.96
(V23) (618GE) Chippewa Valley,"2,340",5.43,"2,279",0.97
(V23) (618GG) Rochester,"1,675",4.84,"1,623",0.97
(V23) (618GH) Hayward,"1,289",6.89,"1,244",0.97
(V23) (618GI) Northwest Metro,"4,091",3.23,"3,874",0.95
(V23) (618GJ) Shakopee,983,5.11,956,0.97
(V23) (618GK) Albert Lea,553,1.92,548,0.99
(V23) (618QA) Fort Snelling,546,9.35,529,0.97
"(V23) (636) Central Iowa, IA","21,146",5.55,"18,900",0.89
(V23) (636A6) Des Moines VAMC,"16,877",4.51,"14,932",0.88
(V23) (636BU) VADOM Des Moines IA,58,,58,1.00
(V23) (636GC) Mason City,"1,270",6.89,"1,219",0.96
(V23) (636GD) Marshalltown,544,4.42,501,0.92
(V23) (636GK) Fort Dodge,988,10.92,936,0.95
(V23) (636GM) Carroll,551,2.67,516,0.94
(V23) (636GR) Knoxville,858,1.9,738,0.86
"(V23) (636) Iowa City, IA","34,244",6.58,"30,734",0.90
(V23) (636A8) Iowa City VAMC,"22,212",8.06,"19,211",0.86
(V23) (636GF) Quad Cities,"2,025",8.57,"1,938",0.96
(V23) (636GG) Quincy,"1,008",6.66,983,0.98
(V23) (636GH) Waterloo,"1,798",5.58,"1,758",0.98
(V23) (636GI) Lane A Evans CBOC,"1,659",7.2,"1,571",0.95
(V23) (636GJ) Dubuque,"1,173",7.13,"1,091",0.93
(V23) (636GN) Cedar Rapids,"2,136",5.5,"1,989",0.93
(V23) (636GS) Ottumwa,790,4.24,789,1.00
(V23) (636GT) Sterling,877,1.59,845,0.96
(V23) (636GU) Decorah,423,6.23,416,0.98
(V23) (636QG) Iowa City VA Mobile Clinic,143,,143,1.00
"(V23) (636) Nebraska-W Iowa, NE","43,118",3.31,"41,328",0.96
(V23) (636) Omaha VAMC,"24,732",2.42,"23,351",0.94
(V23) (636A4) Grand Island VAMC,"8,296",2.16,"8,244",0.99
(V23) (636A5) Lincoln,"7,006",3.51,"6,786",0.97
(V23) (636BW) Grand Island Domiciliary,8,,8,1.00
(V23) (636BX) Omaha Domiciliary,227,,227,1.00
(V23) (636GA) Norfolk,811,15.1,710,0.88
(V23) (636GB) North Platte,568,3.3,567,1.00
(V23) (636GL) Bellevue,677,2.15,652,0.96
(V23) (636GP) Shenandoah,418,3.09,409,0.98
(V23) (636GQ) Holdrege,375,2.27,374,1.00
"(V23) (656) St. Cloud, MN","37,504",6.46,"35,135",0.94
(V23) (656) St Cloud VAMC,"32,952",5.88,"30,890",0.94
(V23) (6569AA) VANURS St Cloud,2,,1,0.50
(V23) (656GA) Brainerd,"2,467",7.68,"2,349",0.95
(V23) (656GB) Montevideo,659,8.64,628,0.95
(V23) (656GC) Max J. Beilke VA OPC,"1,147",6.87,"1,110",0.97
(V23) (656QA) St. Cloud VA Mobile Clinic,277,,157,0.57
