"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: August 2016","Total Completed
Appointments 1","Completed within
30 Days 2","Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15"
(V08) (672GD) Ceiba,"1,968","1,958",99.49%,10,0.51%,"1,724",132,102,10,0,0,0,3.45,1.24,0.45
(V08) (672GE) Guayama,"1,063","1,063",100.00%,0,0.00%,"1,057",5,1,0,0,0,0,0.31,0,0.46
"(V08) (673) Tampa, FL","74,794","73,527",98.31%,"1,267",1.69%,"65,645","4,162","3,720",997,198,31,41,2.27,4.37,2.51
"(V08) (673) James A Haley Veterans
Hospital","58,080","57,044",98.22%,"1,036",1.78%,"51,271","2,887","2,886",826,154,29,27,2.21,4.27,1.55
(V08) (673BZ) New Port Richey,"8,605","8,405",97.68%,200,2.32%,"7,538",493,374,140,44,2,14,1.85,5.34,4.07
(V08) (673GB) Lakeland,"3,893","3,879",99.64%,14,0.36%,"3,151",457,271,14,0,0,0,3.18,5.44,4.22
(V08) (673GC) Brooksville,"3,094","3,093",99.97%,1,0.03%,"2,710",258,125,1,0,0,0,1.8,3.15,4.15
(V08) (673GF) Zephyrhills,"1,070","1,054",98.50%,16,1.50%,923,67,64,16,0,0,0,3.89,0.08,2.99
"(V08) (673QK) Tampa 1 VA Mobile
Clinic",52,52,100.00%,0,0.00%,52,0,0,0,0,0,0,,0,
"(V08) (675) Orlando, FL","89,639","86,181",96.14%,"3,458",3.86%,"76,628","4,537","5,016","2,439",684,194,141,4.64,5.99,2.74
"(V08) (675) Orlando VA Medical
Center","35,848","33,901",94.57%,"1,947",5.43%,"28,753","2,331","2,817","1,483",361,69,34,6.71,6.86,4.21
"(V08) (6759AA) Orlando Nursing
Home",2,2,100.00%,0,0.00%,2,0,0,0,0,0,0,,0,
(V08) (675BU) Orlando Domiciliary,38,38,100.00%,0,0.00%,38,0,0,0,0,0,0,,,
(V08) (675GA) Viera,"18,905","18,049",95.47%,856,4.53%,"15,966","1,015","1,068",495,161,112,88,6.61,6.01,2.89
"(V08) (675GB) William V Chappell Jr
VA OPC","12,738","12,559",98.59%,179,1.41%,"12,107",230,222,94,63,5,17,2.34,2.37,1.45
(V08) (675GC) Kissimee,"1,623","1,613",99.38%,10,0.62%,"1,498",64,51,8,2,0,0,1.77,0,2.75
(V08) (675GD) Orange City,"1,287","1,284",99.77%,3,0.23%,"1,209",39,36,3,0,0,0,1.78,0.73,1.63
(V08) (675GE) Tavares VA Clinic,"2,205","2,184",99.05%,21,0.95%,"2,029",94,61,19,2,0,0,3.18,2.34,1.12
(V08) (675GF) Clermont,"1,200","1,198",99.83%,2,0.17%,"1,102",54,42,1,0,1,0,2.99,3.56,3.01
(V08) (675GG) Lake Baldwin,"15,793","15,353",97.21%,440,2.79%,"13,924",710,719,336,95,7,2,3.88,5.87,2.63
"(V09) (581) Huntington, WV","26,912","25,984",96.55%,928,3.45%,"22,374","1,683","1,927",676,217,30,5,4.57,6.83,2.6
(V09) (581) Huntington VAMC,"22,748","21,894",96.25%,854,3.75%,"18,802","1,438","1,654",603,216,30,5,4.79,7.17,2.35
(V09) (581GA) Prestonsburg,"1,713","1,701",99.30%,12,0.70%,"1,456",116,129,12,0,0,0,3.54,1.98,3.91
(V09) (581GB) Charleston,"2,451","2,389",97.47%,62,2.53%,"2,116",129,144,61,1,0,0,4.7,0.88,2.58
"(V09) (596) Lexington, KY","29,676","29,051",97.89%,625,2.11%,"24,812","1,936","2,303",562,57,5,1,2.24,6.49,2.4
"(V09) (596) Lexington VAMC-
Leestown","11,789","11,684",99.11%,105,0.89%,"10,249",735,700,102,3,0,0,2.59,5.02,2.31
(V09) (596A4) Lexington-Cooper Dr,"13,562","13,087",96.50%,475,3.50%,"10,597","1,028","1,462",420,50,4,1,,7.34,0.52
(V09) (596BU) Lexington Domiciliary,32,32,100.00%,0,0.00%,32,0,0,0,0,0,0,,,
(V09) (596GA) Somerset,"1,759","1,734",98.58%,25,1.42%,"1,611",61,62,21,3,1,0,1.72,1.01,5.41
(V09) (596GB) Morehead,663,663,100.00%,0,0.00%,623,30,10,0,0,0,0,1.32,8.06,0
(V09) (596GC) Hazard,692,688,99.42%,4,0.58%,613,45,30,3,1,0,0,3.35,3.86,0.27
(V09) (596GD) Berea,"1,179","1,163",98.64%,16,1.36%,"1,087",37,39,16,0,0,0,1.45,3.41,0.57
"(V09) (603) Louisville, KY","36,525","36,175",99.04%,350,0.96%,"32,639","1,915","1,621",231,82,36,1,2.57,4.07,1.74
(V09) (603) Robley Rex VAMC,"19,590","19,249",98.26%,341,1.74%,"17,070","1,109","1,070",224,81,36,0,2.54,4.35,2.43
(V09) (603BU) Louisville Domiciliary,9,9,100.00%,0,0.00%,9,0,0,0,0,0,0,,,0
(V09) (603GA) Fort Knox,"1,951","1,949",99.90%,2,0.10%,"1,641",144,164,1,0,0,1,4.15,3.8,2.44
(V09) (603GB) New Albany,"2,892","2,888",99.86%,4,0.14%,"2,750",80,58,4,0,0,0,1.71,0.05,1.66
(V09) (603GC) Shively,"2,861","2,860",99.97%,1,0.03%,"2,511",203,146,0,1,0,0,3.06,0.81,3.33
(V09) (603GD) Dupont,"2,339","2,339",100.00%,0,0.00%,"2,232",71,36,0,0,0,0,2.94,0,0.7
(V09) (603GE) Newburg,"2,803","2,801",99.93%,2,0.07%,"2,546",162,93,2,0,0,0,2.83,1.78,1.15
(V09) (603GF) Grayson County,"1,960","1,960",100.00%,0,0.00%,"1,851",70,39,0,0,0,0,1.86,0.51,1.21
(V09) (603GG) Scott County,"1,233","1,233",100.00%,0,0.00%,"1,174",47,12,0,0,0,0,1.39,0.94,1.63
(V09) (603GH) Carrollton,799,799,100.00%,0,0.00%,778,18,3,0,0,0,0,0.89,0.07,1.24
(V09) (603MA) IDES Fort Knox,88,88,100.00%,0,0.00%,77,11,0,0,0,0,0,,0,3.46
"(V09) (614) Memphis, TN","48,332","47,630",98.55%,702,1.45%,"44,869","1,676","1,085",561,112,26,3,2.28,3.44,1
(V09) (614) Memphis VAMC,"34,943","34,311",98.19%,632,1.81%,"32,301","1,159",851,498,107,25,2,1.2,3.5,1.31
(V09) (614GA) Tupelo,"1,489","1,488",99.93%,1,0.07%,"1,389",80,19,1,0,0,0,2.35,0,0
(V09) (614GB) Jonesboro,"1,083","1,083",100.00%,0,0.00%,"1,072",9,2,0,0,0,0,0.7,0.13,0.21
"(V09) (614GC) Holly Springs VA
Clinic",819,819,100.00%,0,0.00%,762,56,1,0,0,0,0,3.9,0,2.51
(V09) (614GD) Savannah,663,663,100.00%,0,0.00%,663,0,0,0,0,0,0,0,0,0
(V09) (614GE) Covington,"2,668","2,632",98.65%,36,1.35%,"2,449",105,78,35,1,0,0,5.29,0.09,0.51
"(V09) (614GF) Nonconnah Boulevard
VA Clinic","3,258","3,229",99.11%,29,0.89%,"2,983",151,95,24,3,1,1,3.48,0.6,0
(V09) (614GG) Jackson,"2,376","2,373",99.87%,3,0.13%,"2,293",58,22,2,1,0,0,1.18,2.82,0.34
(V09) (614GI) Dyersburg,714,713,99.86%,1,0.14%,692,17,4,1,0,0,0,1.89,0,0.67
(V09) (614GN) Helena,319,319,100.00%,0,0.00%,265,41,13,0,0,0,0,4.56,,2.05
"(V09) (621) Mountain Home, TN","40,022","38,654",96.58%,"1,368",3.42%,"34,127","2,230","2,297",987,267,58,56,5.11,6.23,1.58
(V09) (621) James H Quillen VAMC,"26,751","25,705",96.09%,"1,046",3.91%,"22,617","1,463","1,625",775,189,50,32,6.32,5.86,1.23
"(V09) (621BU) VADOM Mountain
Home",120,120,100.00%,0,0.00%,118,2,0,0,0,0,0,1.03,,
"(V09) (621BY) William C Tallent VA
OPC","7,185","6,979",97.13%,206,2.87%,"6,082",483,414,141,41,1,23,5.23,9.95,1.66
(V09) (621GA) Rogersville,644,634,98.45%,10,1.55%,600,18,16,8,2,0,0,2.59,0,5.47
(V09) (621GC) Norton,"1,469","1,447",98.50%,22,1.50%,"1,316",56,75,12,6,3,1,3.3,2.9,3.46
(V09) (621GG) Morristown,915,911,99.56%,4,0.44%,870,36,5,4,0,0,0,1.22,2.82,3.72
(V09) (621GI) Sevierville,"1,249","1,225",98.08%,24,1.92%,"1,101",54,70,23,1,0,0,4.19,4.15,1.3
(V09) (621GJ) Bristol,"1,176","1,161",98.72%,15,1.28%,992,90,79,12,2,1,0,4.56,0,2.06
(V09) (621GK) Campbell County,513,472,92.01%,41,7.99%,431,28,13,12,26,3,0,9.34,1.65,3.05
"(V09) (626) Middle Tennessee HCS, TN","68,674","65,719",95.70%,"2,955",4.30%,"59,353","3,096","3,270","1,736",820,285,114,7.64,5.46,3.25
(V09) (626) Nashville VAMC,"32,231","30,895",95.85%,"1,336",4.15%,"27,461","1,612","1,822",734,348,171,83,10.39,5.73,3.17
(V09) (626A4) Alvin C York VAMC,"18,922","18,348",96.97%,574,3.03%,"17,272",552,524,285,198,64,27,4.7,4.9,0.99
(V09) (626GA) Dover,426,314,73.71%,112,26.29%,243,32,39,56,38,18,0,25.82,0,6.33
(V09) (626GC) Bowling Green,"1,297","1,161",89.51%,136,10.49%,925,103,133,126,9,0,1,11.15,1.48,5.91
(V09) (626GE) Clarksville,"3,505","3,353",95.66%,152,4.34%,"3,122",143,88,103,41,8,0,2.7,6.44,3.99
(V09) (626GF) Chattanooga,"6,757","6,360",94.12%,397,5.88%,"5,658",360,342,246,134,14,3,7.38,6.71,4.62
(V09) (626GG) Tullahoma,327,326,99.69%,1,0.31%,311,7,8,1,0,0,0,0.74,1.9,4.04
(V09) (626GH) Cookeville,949,949,100.00%,0,0.00%,939,6,4,0,0,0,0,0.23,0,0.54
(V09) (626GJ) Hopkinsville,"1,399","1,256",89.78%,143,10.22%,"1,003",100,153,91,42,10,0,9.94,0.93,13.57
(V09) (626GK) McMinnville,735,725,98.64%,10,1.36%,709,10,6,10,0,0,0,1.61,0.54,0.22
(V09) (626GL) Roane County,413,403,97.58%,10,2.42%,342,32,29,9,1,0,0,5.74,1.76,2.71
(V09) (626GM) Maury County,864,793,91.78%,71,8.22%,568,115,110,68,3,0,0,10.74,1.22,6.3
(V09) (626GN) Athens,456,443,97.15%,13,2.85%,412,20,11,7,6,0,0,4.31,1.75,1.13
(V09) (626MA) IDES Fort Campbell,393,393,100.00%,0,0.00%,388,4,1,0,0,0,0,,0.32,0.04
"(V10) (538) Chillicothe, OH","18,243","17,306",94.86%,937,5.14%,"14,758","1,018","1,530",839,37,59,2,5.09,8.66,5.3
(V10) (538) Chillicothe VAMC,"12,192","11,408",93.57%,784,6.43%,"9,492",678,"1,238",689,34,59,2,8.14,9.31,6.15
(V10) (538GA) Athens,"1,426","1,403",98.39%,23,1.61%,"1,211",78,114,23,0,0,0,2.22,6.4,8.05
(V10) (538GB) Portsmouth,"1,349","1,345",99.70%,4,0.30%,"1,259",56,30,4,0,0,0,1.68,4.8,1.22
(V10) (538GC) Marietta,828,777,93.84%,51,6.16%,704,17,56,51,0,0,0,6.8,7.54,1.29
(V10) (538GD) Lancaster,"1,516","1,449",95.58%,67,4.42%,"1,239",147,63,64,3,0,0,4,9.37,5.62
(V10) (538GE) Cambridge,932,924,99.14%,8,0.86%,853,42,29,8,0,0,0,0.77,3.76,3.68
"(V10) (539) Cincinnati, OH","37,500","36,861",98.30%,639,1.70%,"33,665","1,797","1,399",505,107,24,3,2.95,4.07,0.92
(V10) (539) Cincinnati VAMC,"25,570","24,969",97.65%,601,2.35%,"22,373","1,402","1,194",469,107,24,1,4.67,4.76,0.63
"(V10) (539A4) Cincinnati VAMC-Fort
Thomas",952,951,99.89%,1,0.11%,947,2,2,1,0,0,0,,0.24,0.09
(V10) (539BV) Fort Thomas PRRTP,16,16,100.00%,0,0.00%,16,0,0,0,0,0,0,,,0
(V10) (539GA) Bellevue,"1,378","1,373",99.64%,5,0.36%,"1,293",52,28,5,0,0,0,2.77,0.84,3.13
(V10) (539GB) Clermont County,"3,110","3,095",99.52%,15,0.48%,"2,826",176,93,14,0,0,1,2.12,2.58,1.29
(V10) (539GC) Dearborn,"1,954","1,951",99.85%,3,0.15%,"1,911",30,10,2,0,0,1,1.08,1.21,0.84
(V10) (539GD) Florence,"1,972","1,965",99.65%,7,0.35%,"1,877",60,28,7,0,0,0,1.56,2.35,2.27
(V10) (539GE) Hamilton,"2,130","2,130",100.00%,0,0.00%,"2,094",21,15,0,0,0,0,0.17,0.63,0.46
(V10) (539GF) Georgetown,407,400,98.28%,7,1.72%,317,54,29,7,0,0,0,5.43,0.21,4.29
"(V10) (539QA) Cincinnati VA Mobile
Clinic",11,11,100.00%,0,0.00%,11,0,0,0,0,0,0,,,
"(V10) (541) Cleveland, OH","88,990","86,231",96.90%,"2,759",3.10%,"78,348","3,940","3,943","2,189",379,163,28,2.49,5.81,1.86
"(V10) (541) Louis Stokes Cleveland
VAMC","38,050","36,520",95.98%,"1,530",4.02%,"32,376","1,854","2,290","1,369",136,23,2,2.91,6.34,3.63
(V10) (541BY) Canton,"6,189","5,888",95.14%,301,4.86%,"5,032",408,448,195,57,49,0,5.95,10.24,0.64
(V10) (541BZ) Youngstown,"5,615","5,526",98.41%,89,1.59%,"4,977",344,205,86,3,0,0,2.64,3.76,1.51
(V10) (541GB) Lorain,"3,524","3,521",99.91%,3,0.09%,"3,422",81,18,3,0,0,0,0.88,1.04,0.19
(V10) (541GC) Sandusky,"1,816","1,805",99.39%,11,0.61%,"1,763",20,22,11,0,0,0,1.17,0.9,0.13
"(V10) (541GD) David F Winder VA
CBOC","4,853","4,815",99.22%,38,0.78%,"4,770",16,29,35,3,0,0,0.7,0.49,0.42
(V10) (541GE) McCafferty,773,772,99.87%,1,0.13%,723,25,24,1,0,0,0,1.11,2.89,1.53
(V10) (541GF) Painesville,"2,744","2,743",99.96%,1,0.04%,"2,637",61,45,1,0,0,0,1.23,0.51,0.2
(V10) (541GG) Akron,"7,832","7,491",95.65%,341,4.35%,"6,882",303,306,240,37,62,2,2.15,7.85,2.44
(V10) (541GH) East Liverpool,"1,450","1,447",99.79%,3,0.21%,"1,430",12,5,3,0,0,0,0.16,0.77,0.46
(V10) (541GI) Warren,"2,095","2,089",99.71%,6,0.29%,"1,904",146,39,6,0,0,0,3.04,1.99,1.43
(V10) (541GJ) New Philadelphia,"1,865","1,861",99.79%,4,0.21%,"1,847",10,4,4,0,0,0,0.32,0.65,0.3
(V10) (541GK) Ravenna,"1,703","1,685",98.94%,18,1.06%,"1,663",12,10,18,0,0,0,0.58,1.04,0.14
(V10) (541GL) Parma,"10,172","9,848",96.81%,324,3.19%,"8,734",646,468,198,125,1,0,4.8,5.14,2.61
"(V10) (541GM) Cleveland VA Clinic-
Superior",58,57,98.28%,1,1.72%,54,0,3,0,0,1,0,,,
(V10) (541PA) Cleveland PRRTP OH,9,9,100.00%,0,0.00%,9,0,0,0,0,0,0,,,
"(V10) (541QF) Cuyahoga County 4
VA Mobile Clinic",242,154,63.64%,88,36.36%,125,2,27,19,18,27,24,,39.09,
"(V10) (552) Dayton, OH","30,436","29,615",97.30%,821,2.70%,"26,077","2,009","1,529",557,241,23,0,1.51,6.84,2.82
(V10) (552) Dayton VAMC,"23,077","22,420",97.15%,657,2.85%,"19,616","1,547","1,257",405,235,17,0,0.81,6.78,2.55
(V10) (552GA) Middletown,"1,755","1,732",98.69%,23,1.31%,"1,586",98,48,23,0,0,0,1.15,5.06,1.55
(V10) (552GB) Lima,"2,404","2,334",97.09%,70,2.91%,"2,199",77,58,60,5,5,0,2.13,10.34,2.32
(V10) (552GC) Richmond,"1,738","1,671",96.14%,67,3.86%,"1,355",197,119,66,1,0,0,4.41,11.85,5.86
(V10) (552GD) Springfield,"1,462","1,458",99.73%,4,0.27%,"1,321",90,47,3,0,1,0,1.2,3.22,4.27
"(V10) (757) Columbus, OH","35,347","32,882",93.03%,"2,465",6.97%,"27,676","2,425","2,781","1,805",456,155,49,4.28,10.63,2.41
"(V10) (757) Chalmers P Wylie
Veterans OC","28,853","26,607",92.22%,"2,246",7.78%,"22,286","1,995","2,326","1,636",423,142,45,4.11,10.64,1.66
(V10) (757GA) Zanesville,"1,364","1,286",94.28%,78,5.72%,"1,107",91,88,49,19,7,3,8.15,9.69,7.26
(V10) (757GB) Grove City,"1,256","1,236",98.41%,20,1.59%,"1,159",43,34,20,0,0,0,1.3,4.77,1.44
(V10) (757GC) Marion,"1,338","1,298",97.01%,40,2.99%,"1,119",92,87,36,4,0,0,3.14,12.98,3.97
(V10) (757GD) Newark,"1,617","1,537",95.05%,80,4.95%,"1,177",170,190,63,10,6,1,5.42,12.53,6.73
"(V10) (757QA) Columbus 1 VA
Mobile Clinic",9,9,100.00%,0,0.00%,8,1,0,0,0,0,0,1.56,,
(V10) (757QC) Columbus VA Clinic,910,909,99.89%,1,0.11%,820,33,56,1,0,0,0,,,2.13
"(V11) (506) Ann Arbor, MI","41,021","38,411",93.64%,"2,610",6.36%,"33,611","1,950","2,850","1,582",696,219,113,6.06,9.57,2.6
(V11) (506) Ann Arbor VAMC,"30,385","28,493",93.77%,"1,892",6.23%,"25,102","1,334","2,057","1,079",531,175,107,5.27,9.08,3.06
(V11) (506GA) Toledo,"8,121","7,454",91.79%,667,8.21%,"6,430",434,590,454,163,44,6,7.45,12.44,0.42
(V11) (506GB) Flint,"1,143","1,099",96.15%,44,3.85%,917,102,80,42,2,0,0,6.4,1.55,5.1
(V11) (506GC) Jackson,"1,372","1,365",99.49%,7,0.51%,"1,162",80,123,7,0,0,0,4.7,0.95,3.12
"(V11) (515) Battle Creek, MI","26,457","26,100",98.65%,357,1.35%,"22,527","1,993","1,580",328,25,4,0,2.2,4.96,2.7
(V11) (515) Battle Creek VAMC,"11,908","11,784",98.96%,124,1.04%,"10,230",884,670,111,13,0,0,2.39,4.46,1.79
"(V11) (515BU) Battle Creek
Domiciliary",148,148,100.00%,0,0.00%,134,14,0,0,0,0,0,,,
(V11) (515BY) Wyoming,"10,345","10,115",97.78%,230,2.22%,"8,415",892,808,214,12,4,0,2.81,5.78,3.84
(V11) (515GA) Muskegon,"1,437","1,436",99.93%,1,0.07%,"1,324",76,36,1,0,0,0,1.4,1.29,1.65
(V11) (515GB) Lansing South,"1,544","1,543",99.94%,1,0.06%,"1,408",84,51,1,0,0,0,1.38,0.94,3.98
(V11) (515GC) Benton Harbor,"1,075","1,074",99.91%,1,0.09%,"1,016",43,15,1,0,0,0,0.79,2.34,1.7
"(V11) (550) Danville, IL","21,689","20,874",96.24%,815,3.76%,"18,483","1,090","1,301",691,90,28,6,3.91,6.33,3.34
(V11) (550) Danville VAMC,"11,682","11,367",97.30%,315,2.70%,"10,177",542,648,290,19,5,1,0.88,5.91,0.74
(V11) (550BY) Bob Michel VA OPC,"5,281","4,821",91.29%,460,8.71%,"4,077",298,446,363,71,23,3,7.86,9.16,9.48
(V11) (550GA) Decatur,"1,439","1,414",98.26%,25,1.74%,"1,271",85,58,25,0,0,0,5.35,2.71,1.24
(V11) (550GC) Lafayette,"1,095","1,089",99.45%,6,0.55%,979,38,72,6,0,0,0,2.79,0.46,4.94
(V11) (550GD) Springfield,"1,642","1,638",99.76%,4,0.24%,"1,485",88,65,2,0,0,2,2.75,1.57,1.11
(V11) (550GF) Charleston,550,545,99.09%,5,0.91%,494,39,12,5,0,0,0,2.63,1.67,2.96
"(V11) (553) Detroit, MI","30,369","28,513",93.89%,"1,856",6.11%,"24,566","1,839","2,108","1,136",409,226,85,5.37,8.94,1.71
(V11) (553) John D Dingell VAMC,"28,355","26,527",93.55%,"1,828",6.45%,"22,870","1,688","1,969","1,108",409,226,85,5.96,9.05,1.68
(V11) (553GA) Yale,762,745,97.77%,17,2.23%,669,50,26,17,0,0,0,2.72,,0.18
(V11) (553GB) Pontiac,"1,252","1,241",99.12%,11,0.88%,"1,027",101,113,11,0,0,0,4.31,5.15,3.95
"(V11) (583) Indianapolis, IN","45,789","43,734",95.51%,"2,055",4.49%,"38,520","2,152","3,062","1,565",461,19,10,2.64,6.22,4.3
"(V11) (583) Richard L Roudebush
VAMC","41,538","39,537",95.18%,"2,001",4.82%,"34,536","2,039","2,962","1,530",443,18,10,3.34,6.3,4.7
(V11) (583GA) Terre Haute,"1,485","1,469",98.92%,16,1.08%,"1,412",30,27,15,1,0,0,0.12,2.22,2.8
(V11) (583GB) Bloomington,"1,470","1,460",99.32%,10,0.68%,"1,392",41,27,7,3,0,0,0.39,2.11,1.7
(V11) (583GC) Martinsville,746,746,100.00%,0,0.00%,734,6,6,0,0,0,0,0.42,0.17,0.6
(V11) (583GF) Wakeman,550,522,94.91%,28,5.09%,446,36,40,13,14,1,0,2.85,7.24,11.05
"(V11) (610) Northern Indiana HCS, IN","31,599","30,326",95.97%,"1,273",4.03%,"26,431","1,724","2,171",945,280,24,24,4.77,10.35,1.5
(V11) (610) Marion VAMC,"9,685","9,323",96.26%,362,3.74%,"7,948",496,879,301,55,6,0,8.29,8.17,1.17
(V11) (610A4) Fort Wayne VAMC,"12,359","11,481",92.90%,878,7.10%,"9,542",887,"1,052",621,215,18,24,5.88,11.97,1.03
(V11) (610BU) Marion VADOM,37,37,100.00%,0,0.00%,37,0,0,0,0,0,0,,,
(V11) (610GA) South Bend,"2,620","2,603",99.35%,17,0.65%,"2,450",117,36,8,9,0,0,1.84,1.43,2.01
(V11) (610GB) Muncie,"1,784","1,779",99.72%,5,0.28%,"1,582",98,99,5,0,0,0,3.59,1.78,2.84
(V11) (610GC) Goshen,964,960,99.59%,4,0.41%,914,29,17,4,0,0,0,1.64,0.14,2.19
(V11) (610GD) Peru,793,791,99.75%,2,0.25%,670,49,72,2,0,0,0,3.54,1.24,0.23
(V11) (610QA) Fort Wayne VA Clinic,"2,837","2,832",99.82%,5,0.18%,"2,768",48,16,4,1,0,0,,,1.24
(V11) (610QB) Columbia Place,520,520,100.00%,0,0.00%,520,0,0,0,0,0,0,,,
"(V11) (655) Saginaw, MI","24,362","23,765",97.55%,597,2.45%,"21,306","1,172","1,287",392,69,101,35,2.29,6.09,2.25
(V11) (655) Aleda E Lutz VAMC,"16,108","15,569",96.65%,539,3.35%,"13,838",772,959,346,61,99,33,2.54,7.03,2.49
(V11) (655GA) Gaylord,"1,214","1,200",98.85%,14,1.15%,"1,150",39,11,12,2,0,0,0.79,5.31,0.6
(V11) (655GB) Traverse City,721,712,98.75%,9,1.25%,594,68,50,7,2,0,0,3,11.08,0.53
(V11) (655GC) Oscoda,567,560,98.77%,7,1.23%,481,35,44,7,0,0,0,2.99,3.99,3.73
"(V11) (655GD) Lt Col Clement Van
Wagoner VA Clinic",865,857,99.08%,8,0.92%,808,29,20,6,1,0,1,1.31,2.29,1.89
(V11) (655GE) Clare,"1,328","1,327",99.92%,1,0.08%,"1,161",69,97,1,0,0,0,3.63,1.72,2.46
(V11) (655GF) Bad Axe,694,693,99.86%,1,0.14%,671,13,9,1,0,0,0,1.59,0.39,0.58
(V11) (655GG) Cadillac,"1,143","1,133",99.13%,10,0.87%,"1,069",31,33,9,1,0,0,1.17,2.59,0.82
(V11) (655GH) Cheboygan,466,466,100.00%,0,0.00%,451,10,5,0,0,0,0,0.94,0.97,0.6
(V11) (655GI) Grayling,579,576,99.48%,3,0.52%,498,46,32,2,0,1,0,2.14,4.25,5.3
(V11) (655QB) Grand Traverse,677,672,99.26%,5,0.74%,585,60,27,1,2,1,1,,2.15,3.25
"(V12) (537) Jesse Brown VAMC (Chicago), IL","40,641","39,468",97.11%,"1,173",2.89%,"35,265","2,063","2,140",734,272,151,16,3.58,6.58,1.93
(V12) (537) Jesse Brown VAMC,"30,977","30,079",97.10%,898,2.90%,"27,090","1,440","1,549",494,241,147,16,4.12,6.19,1.48
"(V12) (537BY) Adam Benjamin Jr VA
OPC","7,076","6,809",96.23%,267,3.77%,"5,918",447,444,232,31,4,0,3.06,9.53,2.53
(V12) (537GA) Chicago Heights,680,673,98.97%,7,1.03%,586,57,30,7,0,0,0,2.05,0,3.54
(V12) (537GD) Lakeside,"1,378","1,378",100.00%,0,0.00%,"1,222",75,81,0,0,0,0,2.93,0,0.82
(V12) (537HA) Auburn Gresham,530,529,99.81%,1,0.19%,449,44,36,1,0,0,0,5.53,0,1.23
(V12) (556) Captain James A Lovell FHCC,"31,415","31,347",99.78%,68,0.22%,"29,300","1,245",802,66,2,0,0,2.4,2.23,1.49
"(V12) (556) Captain James A Lovell
FHCC","27,335","27,271",99.77%,64,0.23%,"25,661",974,636,62,2,0,0,2.21,2.08,1.18
(V12) (556GA) Evanston,711,707,99.44%,4,0.56%,653,28,26,4,0,0,0,1.85,8.46,0.93
(V12) (556GC) McHenry,"2,164","2,164",100.00%,0,0.00%,"1,866",188,110,0,0,0,0,3.46,8.67,2.66
(V12) (556GD) Kenosha,"1,205","1,205",100.00%,0,0.00%,"1,120",55,30,0,0,0,0,2.18,1.79,2.86
"(V12) (578) Hines, IL","50,706","48,518",95.68%,"2,188",4.32%,"42,687","2,622","3,209","1,596",502,83,7,4.48,7.12,3.36
"(V12) (578) Edward Hines Junior
Hospital","40,138","38,316",95.46%,"1,822",4.54%,"33,792","1,949","2,575","1,282",462,71,7,5.63,7.18,3.14
(V12) (578GA) Joliet,"3,839","3,631",94.58%,208,5.42%,"3,046",256,329,186,18,4,0,4.65,8.01,3.2
(V12) (578GC) Kankakee County,"1,203","1,169",97.17%,34,2.83%,"1,024",80,65,30,2,2,0,2.58,4.83,5.46
(V12) (578GD) Aurora,"1,606","1,568",97.63%,38,2.37%,"1,399",99,70,36,0,2,0,2.18,5.77,4.18
(V12) (578GE) Hoffman Estates,"1,260","1,230",97.62%,30,2.38%,"1,087",81,62,19,8,3,0,4.08,12.35,3.34
(V12) (578GF) LaSalle,"1,194","1,185",99.25%,9,0.75%,"1,071",70,44,7,1,1,0,2.48,1.38,3.04
(V12) (578GG) Oak Lawn,"1,466","1,419",96.79%,47,3.21%,"1,268",87,64,36,11,0,0,3.56,3.22,4
"(V12) (585) Iron Mountain, MI","11,740","11,688",99.56%,52,0.44%,"10,636",620,432,43,9,0,0,1.96,3.11,1.19
(V12) (585) Oscar G Johnson VAMC,"7,694","7,654",99.48%,40,0.52%,"6,756",513,385,33,7,0,0,3.55,3.24,1.73
(V12) (585GA) Hancock,601,598,99.50%,3,0.50%,569,21,8,3,0,0,0,1.21,2.31,1.19
(V12) (585GB) Rhinelander,"1,191","1,189",99.83%,2,0.17%,"1,134",40,15,2,0,0,0,1.74,1.97,0.26
(V12) (585GC) Menominee,595,594,99.83%,1,0.17%,581,9,4,1,0,0,0,0.61,1.2,0.47
(V12) (585GD) Ironwood,357,355,99.44%,2,0.56%,341,12,2,1,1,0,0,1.23,4.45,0.97
(V12) (585HA) Marquette MI,808,804,99.50%,4,0.50%,774,18,12,3,1,0,0,1.34,3.11,1.04
(V12) (585HB) Sault Saint Marie,494,494,100.00%,0,0.00%,481,7,6,0,0,0,0,0.73,1.12,0.4
"(V12) (607) Madison, WI","28,799","27,601",95.84%,"1,198",4.16%,"23,773","1,820","2,008",984,183,26,5,3.91,7.74,1.36
"(V12) (607) William S. Middleton
Memorial Veterans Hospital","21,402","20,296",94.83%,"1,106",5.17%,"17,207","1,376","1,713",893,182,26,5,4.61,8.09,1.44
(V12) (607GC) Janesville,"1,207","1,195",99.01%,12,0.99%,"1,047",79,69,12,0,0,0,4.55,2.16,1.3
