Location_2016,Appts_2016,Appts_Complete_Over_30_Days_%_2016,PC_Wait_2016,SC_Wait_2016,MH_Wait_2016
(V16) (635GB) Wichita Falls,981,0.0000,1.64,3.15,1.81
(V16) (635GC) Blackwell,150,0.0067,0,30,0
(V16) (635GD) Ada,421,0.0000,0.09,3.14,0.83
(V16) (635GE) Stillwater,443,0.0068,1.48,2.38,0.52
(V16) (635GF) Altus,135,0.0074,1.04,6.2,2.15
(V16) (635GG) Enid,258,0.0039,0.21,12.83,0.48
(V16) (635HB) Ardmore,499,0.0060,0.49,4,1.23
(V16) (635QB) South Oklahoma City,2730,0.0040,3.39,0.49,0.61
"(V16) (667) Shreveport, LA",24103,0.0239,5.27,4,2.46
(V16) (667) Overton Brooks VAMC,18684,0.0266,6.41,4.38,2.32
(V16) (667GA) Texarkana,1952,0.0272,5.93,1.02,2.03
(V16) (667GB) Monroe,1773,0.0096,3.21,0.18,0
(V16) (667GC) Longview,1674,0.0054,2.68,0.87,4.93
(V16) (667MA) IDES Barksdale AFB,20,0.0000,,0,0
"84,521",83287,74941.0000,3.03,1.34,
,55091,0.0144,5.34,2.95,0.34
"(V17) (549A4) Sam Rayburn
Memorial Veterans Center",8052,0.0050,2.9,2.91,1.86
(V17) (549BY) Fort Worth VA Clinic,15602,0.0165,3.75,3.54,2.73
(V17) (549GA) Tyler,772,0.0013,,1.79,2.18
(V17) (549GD) Denton,1637,0.0336,6.94,1.8,1.22
(V17) (549GE) Bridgeport,397,0.0025,2.07,0.25,3.32
(V17) (549GF) Granbury,341,0.0704,9.91,,
(V17) (549GH) Greenville,493,0.0000,2.27,0,3.7
(V17) (549GJ) Sherman,1017,0.0010,6.07,1.75,3.24
(V17) (549GL) Plano,23,0.0000,0,,
(V17) (549QA) Dallas VA Clinic,5,0.0000,,,
(V17) (549QC) Broadway,1091,0.0532,5.14,0,
"(V17) (671) San Antonio, TX",61639,0.0532,6.45,7.34,2.54
"(V17) (671) Audie L Murphy Memorial
Veterans Hospital",42957,0.0563,6.44,7.26,2.04
(V17) (671A4) Kerrville VAMC,3802,0.0584,5.79,8.37,2.73
"(V17) (671BU) San Antonio
Domiciliary",554,0.0000,,,0.94
"(V17) (671BY) Frank M Tejeda VA
OPC",7621,0.0423,5.88,9.08,2.7
(V17) (671GB) Victoria,1039,0.0423,6,2.74,4.16
(V17) (671GF) South Bexar County,1185,0.0835,9.86,,2.1
(V17) (671GH) Beeville,153,0.0000,0.11,,
(V17) (671GK) San Antonio,1459,0.0069,3.6,,
"(V17) (671GL) New Braunfels VA
Clinic",325,0.0462,6.83,,
(V17) (671GN) Seguin,152,0.0066,2.51,,
"(V17) (671GO) North Central Federal
VA Clinic",2392,0.0631,10.5,3.38,4.06
"(V17) (674) Temple, TX",73614,0.0415,9.95,5.57,3.93
"(V17) (674) Olin E Teague Veterans
Center",40791,0.0423,11.9,5.36,5.05
(V17) (674A4) Doris Miller VAMC,8285,0.0148,6.86,2.71,2.08
(V17) (674BY) Austin,18509,0.0596,13.56,7.15,2.27
(V17) (674GA) Palestine,985,0.0020,3.83,7.06,2.21
(V17) (674GB) Brownwood,1318,0.0068,2.09,1.72,5.44
(V17) (674GC) Bryan,1882,0.0276,6.3,4.79,10.53
(V17) (674GD) Cedar Park,1588,0.0233,7.75,5.56,2.26
(V17) (674HB) LaGrange,256,0.0039,3.68,8,8.22
(V17) (740) VA Texas Valley Coastal Bend HCS,21969,0.0518,5.01,13.11,2.15
(V17) (740) Harlingen VA Clinic,4232,0.1307,15.45,16.39,3.48
(V17) (740GA) Harlingen,4470,0.0477,4.46,11.37,1.61
(V17) (740GB) McAllen,5593,0.0073,2.38,5.4,2.22
(V17) (740GC) Corpus Christi,5755,0.0568,7.09,12.57,2.35
(V17) (740GD) Laredo,1919,0.0026,1.56,2.52,1.51
(V18) (501) New Mexico HCS,38465,0.0290,3.92,5.48,4.64
"(V18) (501) Raymond G Murphy
VAMC",29748,0.0329,5.77,5.31,4.94
805,791,684.0000,0.63,4.3,
,742,0.0054,0.83,0,7.48
(V18) (501GB) Farmington,952,0.0179,4.98,0,4.09
(V18) (501GC) Silver City,534,0.0000,2.22,0,7.67
(V18) (501GD) Gallup NM,606,0.0099,0.12,0,10
(V18) (501GE) Espanola,313,0.0032,0.47,0,4.02
"(V18) (501GH) Truth or
Consequences",370,0.0000,0.02,,0
(V18) (501GI) Alamogordo,563,0.0053,3.37,0,4.73
(V18) (501GJ) Durango,646,0.0031,0.06,0,1.47
(V18) (501GK) Santa Fe,802,0.0050,2.1,0.79,2.33
"(V18) (501GM) Northwest Metro VA
Clinic",2039,0.0417,2.98,12.68,4.62
(V18) (501HB) Raton,331,0.0030,1.28,0,5.24
(V18) (501MA) IDES Kirtland AFB,14,0.0000,,0,0
"(V18) (504) Amarillo, TX",17731,0.0655,7.67,10.16,3.03
(V18) (504) Thomas E Creek VAMC,12481,0.0699,13.25,10.2,0.53
(V18) (504BY) Lubbock TX,4490,0.0637,1.71,10.05,8.81
(V18) (504BZ) Clovis,642,0.0016,2.08,0,1.48
(V18) (504GA) Childress,76,0.0132,3.47,,0
(V18) (504HB) Dalhart,42,0.0238,9.28,0,
"(V18) (519) Big Spring, TX",8754,0.0235,3.05,7.28,3.72
"(V18) (519) George H OBrien Jr
VAMC",3369,0.0321,2.85,5.64,2.32
(V18) (519GA) Permian Basin,1658,0.0109,4.14,6.85,4.04
(V18) (519GB) Hobbs,368,0.0000,0.72,,2.05
(V18) (519GD) Fort Stockton,51,0.0784,10.59,,
(V18) (519HC) Abilene,1966,0.0381,3.26,13.79,9.3
(V18) (519HD) Stamford,30,0.0000,2.47,,
(V18) (519HF) San Angelo,1312,0.0008,1.94,5.4,1.46
"(V18) (644) Phoenix, AZ",63232,0.0546,7.48,8.41,3.01
(V18) (644) Carl T Hayden VAMC,44256,0.0618,10.37,8.7,2.83
(V18) (644BY) Southeast,9389,0.0444,5.7,8.74,3.59
(V18) (644GA) Sun City,5120,0.0352,5.39,4.2,4.54
(V18) (644GB) Show Low,1228,0.0391,6.2,10.78,0.22
(V18) (644GD) Payson,105,0.0190,3.38,0,3.47
(V18) (644GE) Thunderbird,2105,0.0261,3.03,8.38,1.04
(V18) (644GF) Globe,284,0.0000,2,0,0
"(V18) (644GG) Northeast Phoenix VA
Clinic",745,0.0242,9,5.75,2.4
(V18) (649) Northern Arizona HCS,16840,0.0429,4.29,10.08,1.39
(V18) (649) Bob Stump VAMC,12506,0.0520,3.85,10.54,1.85
(V18) (649GA) Kingman,1263,0.0198,5.78,1.09,0.46
(V18) (649GB) Flagstaff,740,0.0216,6.8,2.54,0.04
(V18) (649GC) Lake Havasu,1122,0.0107,2.7,2.19,0
(V18) (649GD) Anthem,421,0.0238,6.44,2.83,0.98
(V18) (649GE) Cottonwood,788,0.0114,4.12,7.25,0.07
"40,820",39243,34727.0000,5.78,2.65,
,30373,0.0442,4.44,6.26,2.67
(V18) (678GA) Sierra Vista,2533,0.0411,6.22,6.12,2.19
(V18) (678GB) Yuma,1569,0.0319,4.61,5.86,2.87
(V18) (678GC) Casa Grande,1800,0.0083,2.66,0.68,3.27
(V18) (678GD) Safford,300,0.0033,4.5,4,3.8
(V18) (678GE) Green Valley,433,0.0115,1.76,2.9,1.02
"(V18) (678GF) Northwest Tucson VA
Clinic",2046,0.0039,2.58,3.18,1.89
"(V18) (678GG) Southeast Tucson VA
Clinic",1673,0.0299,6.68,2.36,3.15
"(V18) (678MA) IDES Davis-Monthan
AFB",36,0.0000,,0,0
(V18) (678MB) IDES Fort Huachuca,57,0.0000,,0,0
"(V18) (756) El Paso, TX",23694,0.0459,8.56,6.21,6.49
(V18) (756) El Paso VA Clinic,19376,0.0484,10.7,6.3,6.4
(V18) (756GA) Las Cruces,1805,0.0277,3.63,1.56,7.02
(V18) (756GB) El Paso Eastside,2187,0.0457,6.57,2.45,7.09
(V18) (756MA) IDES Fort Bliss,326,0.0000,,6.45,2.63
(V19) (436) Montana HCS,20157,0.0759,6.79,12.4,2.91
"(V19) (436) Fort Harrison VA Medical
Center",7788,0.0944,9.77,12.85,3.69
(V19) (436GA) Anaconda,279,0.0287,3.39,0,5.2
(V19) (436GB) Great Falls,1764,0.0147,4.26,6.88,1.68
(V19) (436GC) Missoula,2503,0.0739,8.92,9.12,3.09
(V19) (436GD) Bozeman,1051,0.0304,4.45,9.2,1.41
(V19) (436GF) Kalispell,1652,0.0823,6.72,31.12,2.91
(V19) (436GH) Billings,3785,0.1009,8.1,12.55,2.68
(V19) (436GI) Glasgow,147,0.0680,4.25,0,8.75
(V19) (436GJ) Miles City VA Clinic,336,0.0119,2.68,0.18,0
(V19) (436GK) Glendive,146,0.0274,5.71,4.4,3
(V19) (436GL) Cut Bank,196,0.0051,2.3,0,0.33
(V19) (436GM) Lewistown,231,0.0173,0.82,7.47,11.57
"(V19) (436HC) Merril Lundman VA
OPC",272,0.0074,0.68,11.67,1.24
(V19) (436MA) IDES Malmstrom AFB,7,0.0000,,0,
"(V19) (442) Cheyenne, WY",14436,0.0543,3.12,7.96,4.16
"(V19) (442) Cheyenne VA Medical
Center",8618,0.0404,3.3,6.54,2.92
(V19) (442GB) Sidney,177,0.0169,1.74,0,8.67
(V19) (442GC) Fort Collins,2508,0.1037,4.4,12.83,7.52
(V19) (442GD) Greeley,2664,0.0556,1.82,9.27,2.42
"(V19) (442HK) Wheatland VA Mobile
Clinic",422,0.0569,3.89,,9.64
(V19) (442QA) Rawlins,47,0.0213,4,,0
"(V19) (554) Denver, CO",59973,0.0865,9.62,11.49,5.01
"(V19) (554) Denver VA Medical
Center",31695,0.0833,8.84,11,4.05
(V19) (5549AB) VANURS Pueblo,1,1.0000,,,
(V19) (554GB) Aurora,2236,0.1047,11.37,5.19,5.84
"6,080",5946,5125.0000,4.71,1.46,
,5594,0.0981,8.74,15.68,7.02
"(V19) (554GE) PFC Floyd K
Lindstrom VA Clinic",12842,0.1237,14.12,14.63,7.34
(V19) (554GF) Alamosa,373,0.0563,10.23,18.66,0.62
(V19) (554GG) La Junta,461,0.0152,2.45,4.36,3.19
(V19) (554GH) Lamar,135,0.0148,4.97,0,5.27
(V19) (554GI) Burlington,134,0.0672,12.11,0,1.2
(V19) (554MA) IDES Fort Carson,422,0.0000,,6.41,3.32
"(V19) (575) Grand Junction, CO",11033,0.0568,6.35,7.03,1.74
(V19) (575) Grand Junction VAMC,10154,0.0589,6.8,6.81,1.66
(V19) (575GA) Montrose,782,0.0243,1.74,9.76,4.7
"(V19) (575GB) Major William Edward
Adams VA Clinic",97,0.1031,19.69,6.27,1.92
"(V19) (660) Salt Lake City, UT",31709,0.0862,5.69,10.93,4.19
(V19) (660) George E. Wahlen VAMC,23133,0.1084,8.57,11.3,3.52
(V19) (660GA) Pocatello,1931,0.0171,4.03,5.14,3.81
(V19) (660GB) Ogden,2272,0.0511,7.32,9.56,8.26
(V19) (660GC) Ely,108,0.0000,0,,
(V19) (660GD) Roosevelt,146,0.0068,0.06,1.25,6.55
(V19) (660GE) Orem,1320,0.0318,4.9,3.3,5.59
(V19) (660GG) St. George,1475,0.0088,0.61,3.18,3.05
(V19) (660GJ) Western Salt Lake,1226,0.0139,3.01,6.69,2.75
"(V19) (660GK) Elko, NV",76,0.0395,3.35,4.9,8.18
(V19) (660MA) IDES Hill AFB,22,0.0000,,0,0
"(V19) (666) Sheridan, WY",6184,0.0542,7.56,7.17,2.94
"(V19) (666) Sheridan VA Medical
Center",3221,0.0627,11.93,7.78,2.04
(V19) (666GB) Casper,782,0.0652,8.47,1.54,6.32
(V19) (666GC) Riverton,717,0.0126,1.52,0.68,3.04
(V19) (666GD) Powell,461,0.0672,10.24,4.09,1.62
(V19) (666GE) Gillette,424,0.0425,5.39,4.61,1.77
(V19) (666GF) Rock Springs,579,0.0415,5.19,0.33,2.14
"(V20) (463) Anchorage, AK",9850,0.0192,2.81,3.81,1.43
"(V20) (463) Alaska VA Medical
Center",6446,0.0261,3.9,3.78,1.79
(V20) (463BU) Anchorage DCHV,965,0.0000,,,0
(V20) (463GA) Fairbanks,820,0.0232,4.14,3.64,1.48
(V20) (463GB) Kenai,884,0.0023,0.28,5.41,0.38
(V20) (463GC) Mat-Su,735,0.0000,0.71,,0.65
"(V20) (531) Boise, ID",22413,0.0858,9.88,11.91,1.65
(V20) (531) Boise VA Medical Center,19522,0.0903,10.53,12.02,1.79
(V20) (531GE) Twin Falls,1357,0.0575,8.23,9.19,0.09
(V20) (531GG) Caldwell,1513,0.0542,8.8,6.67,1.91
(V20) (531MA) IDES Mt Home AFB,11,0.0000,,0,0
(V20) (531MB) IDES Idaho ANG,10,0.0000,,0,0
"(V20) (648) Portland, OR",52700,0.0755,7.53,11.86,1.97
,7885,0.1045,10.71,15.48,2.61
(V20) (648BU) VADOM Vancouver,16,0.0000,,,
(V20) (648GA) Bend,3093,0.0708,9.02,7.97,5.56
(V20) (648GB) Salem,4961,0.1149,8.39,19.19,2.22
(V20) (648GD) North Coast,752,0.0066,2.16,,1.42
(V20) (648GE) Fairview,2852,0.0330,5.61,12.81,1.14
(V20) (648GF) Hillsboro,4029,0.0340,6.84,7.72,1.61
(V20) (648GG) West Linn,2049,0.0205,5.39,18.9,4.32
"(V20) (653) Roseburg, OR",21286,0.0786,6.51,13.95,2.39
"(V20) (653) Roseburg VA Medical
Center",10794,0.0876,7.4,12.68,2.56
(V20) (653BY) Eugene,8513,0.0798,6.29,16.16,2.58
(V20) (653GA) North Bend,1410,0.0326,6.43,12.08,0.97
(V20) (653GB) Brookings,569,0.0053,3.72,0,1.57
"(V20) (663) VA Puget Sound, WA",67852,0.0409,5.66,7.87,0.76
"(V20) (663) Seattle VA Medical
Center",33856,0.0394,5.35,7.13,0.91
(V20) (663A4) American Lake,25982,0.0506,7.1,9.15,0.64
(V20) (663GA) Bellevue,1841,0.0125,3.79,0.94,1.58
(V20) (663GB) Bremerton,1158,0.0086,3.91,0.23,0.19
(V20) (663GC) Mount Vernon,3755,0.0154,3.3,7.87,0.1
(V20) (663GD) South Sound,1070,0.0290,9.24,0.32,2.96
"(V20) (663HK) Puget Sound VA
Mobile Clinic",189,0.0212,1.88,,
(V20) (663MA) IDES Fort Lewis,1,0.0000,,,13
"(V20) (668) Spokane, WA",21873,0.0479,4.55,8.58,1.31
(V20) (668) Mann-Grandstaff VAMC,18561,0.0545,4.77,9.33,1.46
(V20) (668GA) Wenatchee,1071,0.0093,6.95,3.45,0.66
(V20) (668GB) Coeur d'Alene,2198,0.0123,2.55,2.06,0.89
(V20) (668HK) Spokane Mobile OPC,43,0.0000,0.51,,
"(V20) (687) Walla Walla, WA",9614,0.0566,10.02,8.11,1.97
"(V20) (687) Jonathan M Wainwright
VAMC",5269,0.0638,11.3,8.23,0.93
(V20) (687GA) Richland,1530,0.0294,10.72,0.17,1.88
(V20) (687GB) Lewiston,1196,0.0217,5.51,0,5.53
(V20) (687GC) La Grande,398,0.0653,9.46,0,3.77
(V20) (687HA) Yakima,1221,0.0909,12.24,2.82,1.75
"(V20) (692) White City, OR",12507,0.0304,8.28,5.01,2.2
"(V20) (692) White City VA Medical
Center",11168,0.0304,6.5,5.06,2.21
(V20) (692GA) Klamath Falls,873,0.0011,0.09,3.75,0.45
(V20) (692GB) Grants Pass,466,0.0858,22.3,1.3,4.57
"(V21) (358) Manila, PI",3097,0.0077,1.51,4.13,4.76
(V21) (358) Manila,3097,0.0077,1.51,4.13,4.76
"(V21) (459) Honolulu, HI",18362,0.0215,5.21,1.86,2.53
"(V21) (459) Spark M Matsunaga
VAMC",11502,0.0172,5.97,1.66,1.03
(V21) (459GA) Maui,1158,0.0104,1.76,0.02,3.45
,1140,0.0491,8.39,0.11,1.89
(V21) (459GC) Kona,803,0.0000,2.12,0.59,2.54
(V21) (459GD) Kauai,774,0.0065,2.64,0,2.22
(V21) (459GE) Guam,1100,0.0391,5.54,4.61,3.42
(V21) (459GF) American Samoa,747,0.0402,4.24,9.05,1.55
(V21) (459GG) Leeward Oahu,1136,0.0440,5.98,3,10.42
(V21) (459MA) IDES Honolulu C&P,2,0.0000,,0,0
"(V21) (570) Fresno, CA",24267,0.0371,0.49,9.73,0.5
(V21) (570) Fresno VAMC,21454,0.0398,0.59,9.69,0.48
(V21) (570GA) Merced,870,0.0310,0.68,19.17,0.7
(V21) (570GB) Tulare,1375,0.0007,0.07,1.47,0.82
(V21) (570GC) Oakhurst,568,0.0352,0.09,23.53,0
"(V21) (612) N. California, CA",69339,0.0420,5.98,6.95,1.59
(V21) (612) Martinez VA CLC,462,0.0195,,1.99,21.25
(V21) (612A4) Sacramento VAMC,24440,0.0357,6.45,5.88,2.48
(V21) (612B4) Redding,7928,0.0537,3.32,9.84,1.23
(V21) (612BY) Oakland,5554,0.0317,4.55,7.71,1.05
(V21) (612GD) Fairfield,1787,0.0067,3.85,3.86,0
(V21) (612GE) Mare Island,2191,0.0333,2.29,3.01,1.57
(V21) (612GF) Martinez,13186,0.0379,4.77,8.16,0
(V21) (612GG) Chico,3313,0.0993,18.14,7.29,2.92
(V21) (612GH) McClellan,9033,0.0510,3.32,7.76,2.1
(V21) (612GI) Yuba City,1444,0.0367,9.34,2.6,0.75
(V21) (612GJ) Yreka,1,0.0000,,,0
"(V21) (640) Palo Alto, CA",44416,0.0476,6.72,7.08,6.66
(V21) (640) Palo Alto VAMC,19054,0.0334,5.1,5.9,1.86
(V21) (640A0) Palo Alto-Menlo Pk,2027,0.0390,10.33,8.1,4.5
"(V21) (640A4) Palo Alto VAMC-
Livermore",6395,0.0458,4.25,7.19,4.81
(V21) (640BY) San Jose,5322,0.0389,4.57,11.08,6.6
(V21) (640GA) Capitola,129,0.0388,11.25,,20
(V21) (640GB) Sonora,680,0.0897,10.69,0,3.11
(V21) (640GC) Fremont,1021,0.0167,3.93,3,8.65
(V21) (640HA) Stockton,2759,0.0841,9.84,2.62,11.71
(V21) (640HB) Modesto,2503,0.0659,8.63,4.03,12.35
(V21) (640HC) Monterey,4462,0.0937,6.95,11.02,7.33
"(V21) (640QA) Palo Alto 1 VA Mobile
Clinic",64,0.0000,,0,
"(V21) (654) Reno, NV",27086,0.0157,3.08,4.73,0.68
(V21) (654) Ioannis A Lougaris VAMC,23897,0.0166,3.27,4.77,0.49
(V21) (654GA) Sierra Foothills,1193,0.0059,0.83,1.1,1.41
(V21) (654GB) Carson Valley,756,0.0013,2.76,0.89,2.22
(V21) (654GC) Lahontan Valley,963,0.0197,4.91,0.89,0.97
(V21) (654GD) Diamond View,277,0.0036,1.26,0,0.58
"(V21) (662) San Francisco, CA",40031,0.0208,5.64,4.01,2.64
,27969,0.0163,6.44,3.46,0.26
(V21) (662GA) Santa Rosa,4611,0.0460,8.1,7.9,6.52
(V21) (662GC) Eureka,2892,0.0090,1.52,2.64,5.65
(V21) (662GD) Ukiah,1372,0.0190,2.35,1.34,6.26
(V21) (662GE) San Bruno,875,0.0080,4.92,5.06,4
"(V21) (662GF) San Francisco VA
Clinic",1018,0.0157,1.73,7.72,4.27
(V21) (662GG) Clearlake,1294,0.0688,9.47,0.92,2.58
"(V22) (593) Las Vegas, NV",47849,0.0599,6.14,7.97,4.78
"(V22) (593) Las Vegas VA Medical
Center",32759,0.0642,3.6,8,4.16
(V22) (593GC) Pahrump,882,0.0034,1.05,0,1.24
"(V22) (593GD) Northwest Las Vegas
VA Clinic",3995,0.0556,7.23,5.31,6.15
"(V22) (593GE) Southeast Las Vegas
VA Clinic",3065,0.0414,5.84,3.07,4.22
"(V22) (593GF) Southwest Las Vegas
VA Clinic",4137,0.0380,6.09,10.89,5.18
"(V22) (593GG) Northeast Las Vegas
VA Clinic",2726,0.0811,7.35,8.4,6.47
(V22) (593GH) Laughlin,285,0.1193,9.85,0,
"(V22) (600) Long Beach, CA",58863,0.0209,4.16,4.24,3.27
"(V22) (600) Long Beach VA Medical
Center",52682,0.0219,4.08,4.23,2.86
(V22) (600GA) Anaheim,1199,0.0309,4.76,0,6.19
(V22) (600GB) Santa Ana,2145,0.0149,5.11,4.95,3.24
(V22) (600GC) Cabrillo,1192,0.0059,1.2,0,7.16
(V22) (600GD) Whittier,715,0.0000,3.4,0,5.56
(V22) (600GE) Laguna Hills,930,0.0022,4.36,0,3.93
"(V22) (605) Loma Linda, CA",57647,0.0589,7.28,7.58,4.48
"(V22) (605) Jerry L Pettis Memorial
Veterans Hospital",49119,0.0548,4.84,7.68,3.78
(V22) (605GA) Victorville,1421,0.1175,15.54,2.81,9.38
(V22) (605GB) Murrieta,2120,0.1712,21.7,16.16,4.4
(V22) (605GC) Palm Desert,2229,0.0076,2.07,1.15,0.05
(V22) (605GD) Corona,1023,0.0674,13.48,0,4.03
(V22) (605GE) Rancho Cucamonga,1735,0.0490,2.54,0.56,12.22
"(V22) (664) San Diego, CA",60297,0.0475,2.68,8.13,5.38
"(V22) (664) San Diego VA Medical
Center",36230,0.0544,3.59,7.79,3.54
(V22) (664BU) San Diego Domiciliary,137,0.0000,,,
(V22) (664BY) Mission Valley,11509,0.0316,3.03,9.14,8.93
(V22) (664GA) Imperial Valley,557,0.0000,0.8,0.93,0.96
(V22) (664GB) Oceanside,8352,0.0456,1.85,8.36,4.07
(V22) (664GC) Chula Vista,2147,0.0619,2.44,11.06,8.63
(V22) (664GD) Escondido,1365,0.0110,1.39,0,5.6
(V22) (691) Greater Los Angeles HCS,70257,0.0683,5.75,9.58,4.24
"(V22) (691) West Los Angeles VA
Medical Center",32692,0.0724,3.96,9.4,4.04
"(V22) (691A4) Sepulveda VA Medical
Center",16121,0.0760,4.6,10.73,2.9
(V22) (691GB) Santa Barbara,951,0.0084,3.59,0,1.69
,714,0.0182,1.12,0.66,7.36
(V22) (691GD) Bakersfield,3639,0.0250,2.26,9.94,1.44
(V22) (691GE) Los Angeles,8935,0.0368,2.48,9.79,3.83
(V22) (691GF) East Los Angeles,782,0.0000,4.35,,3.11
(V22) (691GG) Antelope Valley,895,0.0380,11.76,0.38,1.05
(V22) (691GK) San Luis Obispo,858,0.0606,8.76,11.63,1.84
(V22) (691GL) Santa Maria,2609,0.0889,11.27,6.02,10.37
(V22) (691GM) Oxnard,2061,0.2154,25.92,0.61,7.92
"(V23) (437) Fargo, ND",18543,0.0319,2.68,6,1.01
(V23) (437) Fargo VAMC,13531,0.0376,2.67,6,0.9
(V23) (437GA) Grafton,229,0.0131,4,0,2.35
(V23) (437GB) Bismarck,1599,0.0225,1.3,8.39,1.71
(V23) (437GC) Fergus Falls,489,0.0020,1.05,2.38,1.06
(V23) (437GD) Minot,578,0.0000,1.61,3.54,1.22
(V23) (437GE) Bemidji,1026,0.0351,7.29,0.7,1.53
(V23) (437GF) Williston,313,0.0064,0.3,6.05,0
(V23) (437GI) Grand Forks,778,0.0064,1.68,2.07,0.17
"(V23) (438) Sioux Falls, SD",21436,0.0446,2.28,8.57,2.36
(V23) (438) Royal C. Johnson VAMC,15965,0.0507,1.98,8.24,2.43
(V23) (438GA) Spirit Lake,1147,0.0253,4.34,5.59,1.75
(V23) (438GC) Sioux City,1658,0.0103,2.92,5.3,2.64
(V23) (438GD) Aberdeen,1361,0.0536,0.47,25.44,0.88
(V23) (438GE) Wagner,179,0.0447,8.62,0,14.22
(V23) (438GF) Watertown,1126,0.0178,0.8,7.33,1.13
"(V23) (568) Black Hills HCS, SD",14029,0.0546,5.26,9.66,2.94
(V23) (568) Fort Meade VAMC,6627,0.0789,5.34,10.07,1.46
(V23) (568A4) Hot Springs,4593,0.0305,5.86,7.88,3.01
(V23) (568GA) Rapid City,2036,0.0486,6.36,13.4,4.42
(V23) (568GB) Pierre,174,0.0057,1.91,,3.68
(V23) (568HA) Newcastle,16,0.0000,11.45,,6.6
(V23) (568HB) Gordon CBOC,24,0.0833,10.23,,3
(V23) (568HF) Pine Ridge,18,0.0556,8.25,,5.13
(V23) (568HH) Scottsbluff,393,0.0000,3.44,0,0.2
(V23) (568HJ) Mission,30,0.0000,0,,
(V23) (568HK) McLaughlin,4,0.0000,,,0
(V23) (568HM) Eagle Butte,40,0.0000,0,,5
(V23) (568HP) Winner,64,0.0000,1.25,0,2.1
(V23) (568MA) IDES Ellsworth AFB,10,0.0000,,10.75,9
"(V23) (618) Minneapolis, MN",67817,0.0231,2.8,5.28,1.08
(V23) (618) Minneapolis VAMC,50332,0.0259,3.06,5.37,0.64
(V23) (618BY) Twin Ports,3682,0.0429,3.39,7.29,1.49
(V23) (618GA) St. James,1129,0.0000,0.71,0,0.35
(V23) (618GB) Hibbing,1077,0.0000,2.53,1.39,3.19
,1685,0.0053,2.93,2.88,0.96
(V23) (618GG) Rochester,1238,0.0040,1.46,0,3.17
(V23) (618GH) Hayward,1171,0.0000,2.52,0,1.28
(V23) (618GI) Northwest Metro,3186,0.0132,2.79,3.73,1.63
(V23) (618GJ) Shakopee,837,0.0036,3.6,4.55,0.57
(V23) (618GK) Albert Lea,634,0.0110,1.56,9.47,2.44
(V23) (618QA) Fort Snelling,1155,0.0095,7.72,4.63,2.81
"(V23) (636) Central Iowa, IA",25238,0.0439,3.77,7.51,2.73
(V23) (636A6) Des Moines VAMC,19061,0.0513,2.43,7.66,3.7
"(V23) (636BU) VADOM Des Moines
IA",635,0.0000,0,,
(V23) (636GC) Mason City,1459,0.0322,5.56,8.58,1.38
(V23) (636GD) Marshalltown,684,0.0234,2,9.43,0
(V23) (636GK) Fort Dodge,1622,0.0302,10.12,2.25,0.8
(V23) (636GM) Carroll,517,0.0039,2.94,4.22,2.83
(V23) (636GR) Knoxville,1260,0.0143,1.2,6.11,0.2
"(V23) (636) Iowa City, IA",27040,0.0435,4.16,7.51,2.61
(V23) (636A8) Iowa City VAMC,17122,0.0624,4.3,8.29,1.65
(V23) (636GF) Quad Cities,2119,0.0066,4.17,2.14,3.45
(V23) (636GG) Quincy,877,0.0468,8.14,3.2,2.4
(V23) (636GH) Waterloo,1228,0.0016,3.16,1,2.07
(V23) (636GI) Lane A Evans CBOC,1331,0.0083,2.89,2.28,3.28
(V23) (636GJ) Dubuque,799,0.0150,2.17,0.65,3.6
(V23) (636GN) Cedar Rapids,1632,0.0098,5.56,3.49,4.84
(V23) (636GS) Ottumwa,618,0.0081,2.56,2.53,2.66
(V23) (636GT) Sterling,895,0.0000,1.52,1.99,3.52
(V23) (636GU) Decorah,369,0.0054,2.77,0.24,4.48
"(V23) (636QG) Iowa City VA Mobile
Clinic",50,0.1200,,7.1,
"(V23) (636) Nebraska-W Iowa, NE",44295,0.0152,1.91,4.32,1.19
(V23) (636) Omaha VAMC,23000,0.0237,1.34,5.75,2.08
(V23) (636A4) Grand Island VAMC,7878,0.0044,1.57,1.62,0.42
(V23) (636A5) Lincoln,8949,0.0085,3.17,3.15,0.52
"(V23) (636BW) Grand Island
Domiciliary",477,0.0000,,,0.06
(V23) (636BX) Omaha Domiciliary,514,0.0000,,,
(V23) (636GA) Norfolk,628,0.0191,5.34,0.44,0.37
(V23) (636GB) North Platte,1009,0.0010,0.9,0.16,0
(V23) (636GL) Bellevue,973,0.0031,0.77,2.38,0
(V23) (636GP) Shenandoah,453,0.0000,0.95,0.62,0
(V23) (636GQ) Holdrege,414,0.0000,1.83,0.15,0
"(V23) (656) St. Cloud, MN",36534,0.0328,4.59,7.91,3.17
(V23) (656) St Cloud VAMC,32350,0.0334,4.35,7.91,2.95
(V23) (6569AA) VANURS St Cloud,1,0.0000,,,
(V23) (656GA) Brainerd,2186,0.0389,6.13,6.12,7.21
723,705,657.0000,0.25,0.18,
(V23) (656GC) Max J. Beilke VA OPC,1058,0.0009,2.54,1.45,1.28
(V23) (656QA) St. Cloud VA Mobile,216,0.0787,,12.06,
Clinic,,,,,
