"",,"Total ApptsCompleted1","Apptscompletedin 30 Daysor under2","PercentApptscompletedin 30 Daysor under3","Apptscompletedin over 30Days4","PercentApptscompletedin over 30Days5",,"ApptsCompletedBetween0 - 14Days6","ApptsCompletedBetween15 - 30Days7","ApptsCompletedBetween31 - 60days8","ApptsCompletedBetween61 - 90Days9","ApptsCompletedBetween91 - 120Days10","ApptsCompletedBeyond 120Days11",,"PC AvgWait Timein Days12","SC AvgWait Timein Days13","MH AvgWait Timein Days14"
"",(V08) (675GD) Orange City,"1,643","1,635",99.51%,8,0.49%,,"1,608",27,5,3,0,0,,1.14,11.85,0.90
"",(V08) (675GE) Leesburg CBOC,"1,544","1,537",99.55%,7,0.45%,,"1,531",6,7,0,0,0,,0.39,1.23,0.46
"",(V08) (675GF) Clermont CBOC,948,948,100.00%,0,0.00%,,922,26,0,0,0,0,,1.93,1.95,1.43
"",(V08) (675GG) Lake Baldwin CBOC,"38,566","37,501",97.24%,"1,065",2.76%,,"36,396","1,105",741,280,37,7,,1.80,4.36,0.77
"(V09) (581) Huntington, WV","26,895","26,158",97.26%,737,2.74%,,"25,090","1,068",677,60,0,0,,4.20,3.52,1.51,
"",(V09) (581) Huntington,"22,004","21,379",97.16%,625,2.84%,,"20,372","1,007",589,36,0,0,,5.37,3.59,1.59
"",(V09) (581GA) Prestonsburg,"1,808","1,707",94.41%,101,5.59%,,"1,674",33,77,24,0,0,,5.47,5.17,1.26
"",(V09) (581GB) Charleston,"3,083","3,072",99.64%,11,0.36%,,"3,044",28,11,0,0,0,,0.76,1.38,1.35
"(V09) (596) Lexington, KY","28,712","28,049",97.69%,663,2.31%,,"25,679","2,370",585,70,7,1,,3.45,5.59,2.36,
"",(V09) (596) Lexington-Leestown,"11,583","11,490",99.20%,93,0.80%,,"10,686",804,88,2,2,1,,3.17,4.17,2.29
"",(V09) (596A4) Lexington-Cooper Dr,"13,002","12,488",96.05%,514,3.95%,,"11,274","1,214",447,62,5,0,,,,
"",(V09) (596BU) Lexington Domiciliary,37,37,100.00%,0,0.00%,,37,0,0,0,0,0,,,,
"",(V09) (596GA) Somerset,"1,923","1,885",98.02%,38,1.98%,,"1,652",233,37,1,0,0,,5.12,6.23,2.91
"",(V09) (596GB) Morehead,655,651,99.39%,4,0.61%,,627,24,4,0,0,0,,2.08,6.18,0.37
"",(V09) (596GC) Hazard,570,567,99.47%,3,0.53%,,528,39,3,0,0,0,,2.99,5.80,5.36
"",(V09) (596GD) Berea,942,931,98.83%,11,1.17%,,875,56,6,5,0,0,,3.11,0.79,0.61
"(V09) (","03) Louisville, KY","38,286","37,955",99.14%,331,0.86%,,"37,244",711,246,71,12,2,,1.78,3.23,1.79
"",(V09) (603) Louisville,"17,676","17,404",98.46%,272,1.54%,,"16,948",456,195,63,12,2,,2.57,3.55,2.82
"(V09) (603GA) Fort Knox","1,585","1,581",99.75%,4,0.25%,,"1,546",35,4,0,0,0,,1.67,3.14,1.07,
"(V09) (603GB) New Albany IN (Southern Indiana)","3,684","3,654",99.19%,30,0.81%,,"3,591",63,26,4,0,0,,2.18,0.06,4.03,
"(V09) (603GC) Shively (Louisville-Jefferson County)","3,707","3,705",99.95%,2,0.05%,,"3,656",49,2,0,0,0,,1.73,0.44,1.65,
"(V09) (603GD) Dupont","2,582","2,572",99.61%,10,0.39%,,"2,537",35,9,1,0,0,,1.10,0.00,1.71,
"(V09) (603GE) Newburg CBOC KY","3,568","3,566",99.94%,2,0.06%,,"3,535",31,1,1,0,0,,1.74,0.17,0.97,
"(V09) (603GF) Grayson County","2,871","2,862",99.69%,9,0.31%,,"2,834",28,7,2,0,0,,1.65,0.34,1.58,
"(V09) (603GG) Scott County","1,654","1,652",99.88%,2,0.12%,,"1,640",12,2,0,0,0,,1.35,0.81,0.73,
"(V09) (603GH) Carroll County",874,874,100.00%,0,0.00%,,872,2,0,0,0,0,,1.57,0.00,1.01,
"(V09) (603MA) IDES Fort Knox",78,78,100.00%,0,0.00%,,78,0,0,0,0,0,,,,,
"(V09) (603PB) Louisville  (SARRTP)",7,7,100.00%,0,0.00%,,7,0,0,0,0,0,,,,,
"(V09) (614) Memphis, TN","47,323","46,741",98.77%,582,1.23%,,"45,963",778,416,141,15,10,,1.18,2.65,1.64,
"(V09) (614) Memphis","35,229","34,684",98.45%,545,1.55%,,"34,013",671,390,131,15,9,,1.57,2.73,1.86,
"",(V09) (614DT) TN STHOME HUMBOLDT TX,50,48,96.00%,2,4.00%,,48,0,2,0,0,0,,,,
"",(V09) (614GA) Tupelo,"1,680","1,672",99.52%,8,0.48%,,"1,665",7,7,1,0,0,,0.12,3.67,1.47
"",(V09) (614GB) Jonesboro,"1,042","1,042",100.00%,0,0.00%,,"1,014",28,0,0,0,0,,2.38,0.06,2.29
"",(V09) (614GC) Marshall County,414,414,100.00%,0,0.00%,,414,0,0,0,0,0,,1.79,,
"",(V09) (614GD) Savannah (Hardin County),721,721,100.00%,0,0.00%,,721,0,0,0,0,0,,0.01,0.00,0.00
"",(V09) (614GE) Covington,"2,176","2,168",99.63%,8,0.37%,,"2,137",31,6,2,0,0,,0.70,3.71,1.32
"",(V09) (614GF) Memphis-South Clinic,"2,724","2,710",99.49%,14,0.51%,,"2,691",19,8,6,0,0,,1.17,1.81,0.01
"",(V09) (614GG) Jackson TN,"2,130","2,128",99.91%,2,0.09%,,"2,116",12,2,0,0,0,,0.10,0.52,0.26
"",(V09) (614GI) Dyersburg,739,739,100.00%,0,0.00%,,738,1,0,0,0,0,,1.59,0.00,1.62
"","(V09) (614GN) Helena, AR",418,415,99.28%,3,0.72%,,406,9,1,1,0,1,,4.00,0.00,3.53
"(V09) (","21) Mountain Home, TN","37,942","37,085",97.74%,857,2.26%,,"35,919","1,166",600,190,57,10,,4.66,2.82,1.66
"",(V09) (621) James H Quillen VAMC,"27,270","26,974",98.91%,296,1.09%,,"26,309",665,264,18,6,8,,2.14,2.47,0.85
"",(V09) (621BU) VADOM Mountain Home,107,106,99.07%,1,0.93%,,106,0,1,0,0,0,,0.87,,
"",(V09) (621BY) Knoxville CBOC,"5,973","5,538",92.72%,435,7.28%,,"5,239",299,264,137,34,0,,9.78,6.67,2.73
"",(V09) (621GA) Rogersville,342,326,95.32%,16,4.68%,,314,12,12,1,3,0,,3.81,15.60,12.38
"",(V09) (621GC) Norton,"1,360","1,355",99.63%,5,0.37%,,"1,300",55,5,0,0,0,,2.70,0.22,3.15
"",(V09) (621GG) Morristown CBOC TN,662,640,96.68%,22,3.32%,,627,13,19,0,1,2,,3.72,9.83,6.47
"",(V09) (621GI) Sevierville,648,581,89.66%,67,10.34%,,535,46,21,33,13,0,,12.85,15.30,0.87
"",(V09) (621GJ) Bristol,"1,357","1,344",99.04%,13,0.96%,,"1,290",54,13,0,0,0,,4.08,0.03,1.58
"",(V09) (621GK) Campbell County,223,221,99.10%,2,0.90%,,199,22,1,1,0,0,,4.91,0.00,
"(V09) (626) Middle Tennessee HCS, TN","64,484","62,338",96.67%,"2,146",3.33%,,"59,780","2,558","1,675",346,84,41,,6.09,3.10,3.90,
"",(V09) (626) Middle Tennessee HCS,"32,232","31,177",96.73%,"1,055",3.27%,,"29,739","1,438",802,203,44,6,,11.02,2.86,3.94
"",(V09) (626A4) Middle Tennessee HCS-Alvin C. York Division,"16,286","15,924",97.78%,362,2.22%,,"15,523",401,252,55,37,18,,2.09,3.70,1.99
"",(V09) (626GA) Dover,270,266,98.52%,4,1.48%,,260,6,2,2,0,0,,2.10,0.00,0.25
"",(V09) (626GC) Bowling Green,792,777,98.11%,15,1.89%,,726,51,15,0,0,0,,3.02,5.97,5.09
"",(V09) (626GE) Clarksville,"3,546","3,391",95.63%,155,4.37%,,"3,217",174,137,14,1,3,,2.68,5.46,5.38
"",(V09) (626GF) Chattanooga,"6,951","6,741",96.98%,210,3.02%,,"6,503",238,175,34,1,0,,3.82,2.18,4.31
"",(V09) (626GG) Tullahoma,379,377,99.47%,2,0.53%,,370,7,2,0,0,0,,0.65,7.67,5.43
"",(V09) (626GH) Cookeville,900,842,93.56%,58,6.44%,,806,36,53,5,0,0,,8.74,0.00,2.07
"",(V09) (626GJ) Hopkinsville,869,738,84.93%,131,15.07%,,691,47,117,13,1,0,,9.28,3.38,11.62
"",(V09) (626GK) McMinnville,782,780,99.74%,2,0.26%,,758,22,2,0,0,0,,1.71,0.50,2.37
"",(V09) (626GL) Harriman (Roane County),192,169,88.02%,23,11.98%,,139,30,21,2,0,0,,10.48,,11.54
"",(V09) (626GM) Maury County CBOC,757,662,87.45%,95,12.55%,,569,93,85,10,0,0,,11.90,1.08,5.04
"",(V09) (626GN) McMinn County Outreach Clinic,155,121,78.06%,34,21.94%,,107,14,12,8,0,14,,28.82,11.00,
"",(V09) (626MA) IDES Fort Campbell,373,373,100.00%,0,0.00%,,372,1,0,0,0,0,,,,
"(V10) (","38) Chillicothe, OH","16,966","16,334",96.27%,632,3.73%,,"15,495",839,528,98,5,1,,4.78,6.07,2.97
"",(V10) (538) Chillicothe,"11,159","10,734",96.19%,425,3.81%,,"10,269",465,350,71,3,1,,6.17,5.73,0.60
"(V10) (538GA) Athens","1,230","1,192",96.91%,38,3.09%,,"1,128",64,34,4,0,0,,2.75,4.86,7.07,
"(V10) (538GB) Portsmouth","1,292","1,212",93.81%,80,6.19%,,"1,148",64,59,20,1,0,,4.41,17.87,5.39,
"(V10) (538GC) Marietta",706,695,98.44%,11,1.56%,,672,23,11,0,0,0,,1.94,3.37,3.67,
"(V10) (538GD) Lancaster","1,696","1,641",96.76%,55,3.24%,,"1,476",165,54,1,0,0,,5.64,5.67,7.68,
"(V10) (538GE) Cambridge",883,860,97.40%,23,2.60%,,802,58,20,2,1,0,,3.15,5.23,4.85,
"(V10) (539) Cincinnati, OH","39,409","38,827",98.52%,582,1.48%,,"38,066",761,510,62,8,2,,1.34,3.53,0.92,
"(V10) (539) Cincinnati","26,649","26,099",97.94%,550,2.06%,,"25,447",652,482,58,8,2,,1.63,4.08,1.00,
"(V10) (539A4) CINCINNATI,FT.THOMAS",904,904,100.00%,0,0.00%,,897,7,0,0,0,0,,,,,
"(V10) (539BV) Fort Thomas PRRTP",15,15,100.00%,0,0.00%,,15,0,0,0,0,0,,,,,
"(V10) (539GA) Bellevue","1,636","1,631",99.69%,5,0.31%,,"1,621",10,3,2,0,0,,1.48,0.64,1.69,
"(V10) (539GB) Cincinnati (Clermont County)","3,351","3,350",99.97%,1,0.03%,,"3,311",39,0,1,0,0,,0.81,1.51,0.36,
"(V10) (539GC) Lawrenceburg (Dearborn County)","1,871","1,860",99.41%,11,0.59%,,"1,845",15,11,0,0,0,,1.96,0.92,1.74,
"",(V10) (539GD) Florence,"2,269","2,263",99.74%,6,0.26%,,"2,250",13,5,1,0,0,,1.24,2.27,1.14
"",(V10) (539GE) Fairfield Hamilton,"2,200","2,191",99.59%,9,0.41%,,"2,171",20,9,0,0,0,,0.78,1.06,0.79
"",(V10) (539GF) Georgetown,514,514,100.00%,0,0.00%,,509,5,0,0,0,0,,1.19,0.91,0.99
"(V10) (541) Cleveland, OH","83,417","81,652",97.88%,"1,765",2.12%,,"78,188","3,464","1,675",77,12,1,,2.58,3.59,2.08,
"",(V10) (541) Cleveland-Wade Park,"34,364","33,869",98.56%,495,1.44%,,"32,600","1,269",476,15,4,0,,4.14,2.72,0.61
"",(V10) (541BY) Canton,"5,167","5,029",97.33%,138,2.67%,,"4,622",407,128,9,1,0,,4.44,8.55,0.29
"",(V10) (541BZ) Youngstown,"5,880","5,794",98.54%,86,1.46%,,"5,597",197,78,8,0,0,,1.55,2.61,6.71
"",(V10) (541GB) Lorain,"3,592","3,586",99.83%,6,0.17%,,"3,525",61,6,0,0,0,,1.20,0.94,0.69
"",(V10) (541GC) Sandusky,"1,969","1,902",96.60%,67,3.40%,,"1,797",105,66,1,0,0,,2.96,5.94,4.19
"",(V10) (541GD) Mansfield,"4,288","4,194",97.81%,94,2.19%,,"4,082",112,70,19,5,0,,2.97,2.46,0.52
"",(V10) (541GE) McCafferty,530,513,96.79%,17,3.21%,,494,19,15,2,0,0,,4.42,1.74,0.83
"",(V10) (541GF) Painesville,"3,174","3,153",99.34%,21,0.66%,,"3,124",29,21,0,0,0,,0.50,3.56,0.67
"",(V10) (541GG) Akron,"7,255","7,005",96.55%,250,3.45%,,"6,388",617,244,5,1,0,,3.37,4.90,8.04
"",(V10) (541GH) East Liverpool,"1,674","1,641",98.03%,33,1.97%,,"1,537",104,32,1,0,0,,2.65,5.96,2.96
"",(V10) (541GI) Warren,"2,142","2,138",99.81%,4,0.19%,,"2,108",30,4,0,0,0,,0.80,2.00,0.99
"",(V10) (541GJ) New Philadelphia,"1,837","1,741",94.77%,96,5.23%,,"1,699",42,89,7,0,0,,1.22,10.29,0.43
"",(V10) (541GK) Ravenna,"1,882","1,849",98.25%,33,1.75%,,"1,770",79,29,2,1,1,,2.79,2.80,2.98
"",(V10) (541GL) Parma,"9,663","9,238",95.60%,425,4.40%,,"8,845",393,417,8,0,0,,2.24,5.53,0.35
"(V10) (552) Dayton, OH","27,992","27,502",98.25%,490,1.75%,,"26,742",760,440,46,4,0,,0.80,3.56,1.30,
"",(V10) (552) Dayton,"20,877","20,441",97.91%,436,2.09%,,"19,730",711,397,37,2,0,,0.76,3.78,1.22
"",(V10) (552GA) Middletown,"1,747","1,737",99.43%,10,0.57%,,"1,715",22,10,0,0,0,,0.91,2.40,1.71
"",(V10) (552GB) Lima,"1,903","1,892",99.42%,11,0.58%,,"1,885",7,6,5,0,0,,0.49,2.36,1.97
"",(V10) (552GC) Richmond,"1,680","1,648",98.10%,32,1.90%,,"1,639",9,26,4,2,0,,1.72,2.79,1.64
"",(V10) (552GD) Springfield,"1,785","1,784",99.94%,1,0.06%,,"1,773",11,1,0,0,0,,0.24,1.21,0.85
"(V10) (757) Columbus, OH","32,064","30,838",96.18%,"1,226",3.82%,,"29,007","1,831",928,228,65,5,,5.49,5.81,1.94,
"",(V10) (757) Columbus,"27,087","26,013",96.03%,"1,074",3.97%,,"24,611","1,402",784,222,63,5,,4.91,5.84,1.43
"",(V10) (757GA) Zanesville,"1,293","1,269",98.14%,24,1.86%,,"1,208",61,24,0,0,0,,3.94,8.30,1.12
"",(V10) (757GB) Grove City (Franklin County),"1,146","1,086",94.76%,60,5.24%,,999,87,54,5,1,0,,9.73,2.03,1.79
"",(V10) (757GC) Marion,927,898,96.87%,29,3.13%,,798,100,28,1,0,0,,3.51,14.22,8.29
"",(V10) (757GD) Newark,"1,611","1,572",97.58%,39,2.42%,,"1,391",181,38,0,1,0,,8.70,3.81,4.41
"(V11) (506) Ann Arbor, MI","38,949","37,620",96.59%,"1,329",3.41%,,"36,353","1,267",996,269,50,14,,2.73,4.05,1.85,
"",(V11) (506) Ann Arbor HCS,"28,488","27,447",96.35%,"1,041",3.65%,,"26,569",878,806,183,39,13,,3.17,3.90,0.56
"",(V11) (506GA) Toledo,"8,129","7,872",96.84%,257,3.16%,,"7,587",285,165,80,11,1,,2.19,4.84,4.20
"",(V11) (506GB) Flint (Genessee Co.),"1,105","1,083",98.01%,22,1.99%,,"1,035",48,19,3,0,0,,3.49,3.44,3.62
"",(V11) (506GC) Jackson,"1,227","1,218",99.27%,9,0.73%,,"1,162",56,6,3,0,0,,2.29,1.21,5.21
"(V11) (515) Battle Creek, MI","26,751","26,026",97.29%,725,2.71%,,"25,151",875,639,84,2,0,,1.33,5.21,1.12,
"",(V11) (515) Battle Creek,"14,022","13,698",97.69%,324,2.31%,,"13,232",466,248,74,2,0,,1.47,4.66,0.49
"",(V11) (515BY) Grand Rapids,"8,918","8,521",95.55%,397,4.45%,,"8,141",380,387,10,0,0,,1.74,6.28,2.31
"",(V11) (515GA) Muskegon,"1,484","1,484",100.00%,0,0.00%,,"1,481",3,0,0,0,0,,0.45,1.34,0.67
"",(V11) (515GB) Lansing,"1,332","1,331",99.92%,1,0.08%,,"1,314",17,1,0,0,0,,0.66,0.91,0.64
"",(V11) (515GC) Benton Harbor,995,992,99.70%,3,0.30%,,983,9,3,0,0,0,,0.90,0.92,1.36
"(V11) (550) Danville, IL","20,654","20,291",98.24%,363,1.76%,,"19,813",478,293,66,2,2,,1.74,3.03,1.71,
"",(V11) (550) Illiana HCS (Danville),"11,074","10,861",98.08%,213,1.92%,,"10,628",233,154,55,2,2,,0.55,3.97,0.25
"(V11) (550BY) Peoria","4,852","4,828",99.51%,24,0.49%,,"4,772",56,24,0,0,0,,1.29,0.50,1.20,
"(V11) (550GA) Decatur","1,324","1,291",97.51%,33,2.49%,,"1,248",43,30,3,0,0,,1.83,6.24,1.87,
"(V11) (550GC) Lafayette","1,315","1,281",97.41%,34,2.59%,,"1,223",58,33,1,0,0,,2.36,1.41,5.39,
"(V11) (550GD) Springfield","1,342","1,285",95.75%,57,4.25%,,"1,211",74,50,7,0,0,,5.79,2.25,3.56,
"(V11) (550GF) Mattoon, IL",747,745,99.73%,2,0.27%,,731,14,2,0,0,0,,1.12,1.41,0.69,
"(V11) (553) Detroit, MI","31,610","31,473",99.57%,137,0.43%,,"31,170",303,104,23,9,1,,0.85,1.11,0.31,
"(V11) (553) Detroit (John D. Dingell)","29,683","29,550",99.55%,133,0.45%,,"29,276",274,101,22,9,1,,0.77,1.10,0.28,
"",(V11) (553GA) Yale,840,840,100.00%,0,0.00%,,835,5,0,0,0,0,,0.50,,0.00
"",(V11) (553GB) Pontiac,"1,087","1,083",99.63%,4,0.37%,,"1,059",24,3,1,0,0,,1.94,1.30,1.92
"(V11) (","83) Indianapolis, IN","45,402","44,546",98.11%,856,1.89%,,"42,901","1,645",720,113,16,7,,1.73,3.57,2.95
"",(V11) (583) Indianapolis,"41,926","41,083",97.99%,843,2.01%,,"39,538","1,545",710,110,16,7,,1.79,3.60,3.44
"",(V11) (583GA) Terre Haute,"1,432","1,423",99.37%,9,0.63%,,"1,342",81,8,1,0,0,,3.04,2.15,0.37
"",(V11) (583GB) Bloomington,"1,414","1,411",99.79%,3,0.21%,,"1,393",18,1,2,0,0,,0.47,3.56,2.03
"",(V11) (583GC) Martinsville,630,629,99.84%,1,0.16%,,628,1,1,0,0,0,,0.36,0.06,0.74
"(V11) (610) Northern Indiana HCS, IN","29,900","29,384",98.27%,516,1.73%,,"28,124","1,260",457,53,3,3,,3.41,4.07,1.80,
"",(V11) (610) N. Indiana HCS-Marion,"9,042","8,853",97.91%,189,2.09%,,"8,393",460,176,13,0,0,,5.58,4.11,1.20
"",(V11) (610A4) N. Indiana HCS-Ft. Wayne,"14,593","14,395",98.64%,198,1.36%,,"13,890",505,177,16,3,2,,1.70,4.21,1.91
"",(V11) (610BU) Marion VADOM,83,83,100.00%,0,0.00%,,83,0,0,0,0,0,,,,
"",(V11) (610GA) South Bend,"2,475","2,412",97.45%,63,2.55%,,"2,256",156,58,4,0,1,,5.43,0.64,2.27
"",(V11) (610GB) Muncie,"1,585","1,564",98.68%,21,1.32%,,"1,478",86,17,4,0,0,,3.37,3.24,3.55
"","(V11) (610GC) Goshen, IN CBOC","1,110","1,110",100.00%,0,0.00%,,"1,107",3,0,0,0,0,,0.34,0.00,1.48
"",(V11) (610GD) Peru,"1,012",967,95.55%,45,4.45%,,917,50,29,16,0,0,,7.18,0.17,0.00
"(V11) (655) Saginaw, MI","24,707","24,324",98.45%,383,1.55%,,"23,449",875,338,41,2,2,,0.30,3.78,1.41,
"",(V11) (655) Saginaw,"16,478","16,153",98.03%,325,1.97%,,"15,459",694,301,20,2,2,,0.22,4.04,2.20
"",(V11) (655GA) Gaylord,"1,232","1,229",99.76%,3,0.24%,,"1,199",30,2,1,0,0,,0.47,2.64,0.19
"",(V11) (655GB) Traverse City,"1,437","1,425",99.16%,12,0.84%,,"1,407",18,11,1,0,0,,0.33,0.71,0.53
"",(V11) (655GC) Oscoda,665,662,99.55%,3,0.45%,,626,36,3,0,0,0,,0.20,5.66,1.53
"",(V11) (655GD) Alpena,897,896,99.89%,1,0.11%,,885,11,1,0,0,0,,0.32,1.73,1.07
"",(V11) (655GE) Clare County,"1,350","1,332",98.67%,18,1.33%,,"1,297",35,11,7,0,0,,0.31,2.49,0.86
"",(V11) (655GF) Bad Axe,647,647,100.00%,0,0.00%,,644,3,0,0,0,0,,0.48,0.79,1.45
"",(V11) (655GG) Cadillac,"1,027","1,020",99.32%,7,0.68%,,"1,001",19,6,1,0,0,,0.15,2.71,0.69
"",(V11) (655GH) Cheboygan,561,560,99.82%,1,0.18%,,559,1,1,0,0,0,,0.33,0.74,0.43
"",(V11) (655GI) Grayling,413,400,96.85%,13,3.15%,,372,28,2,11,0,0,,1.55,13.67,1.23
"(V12) (537) Jesse Brown VAMC (Chicago), IL","39,352","37,931",96.39%,"1,421",3.61%,,"36,463","1,468","1,178",231,12,0,,4.90,5.11,1.28,
"",(V12) (537) Jesse Brown VAMC - Chicago HCS,"30,300","29,352",96.87%,948,3.13%,,"28,411",941,781,157,10,0,,5.04,4.20,0.74
"",(V12) (537BY) Adam Benjamin Jr. (Crown Point IN),"6,594","6,201",94.04%,393,5.96%,,"5,779",422,327,64,2,0,,5.05,12.38,2.08
"",(V12) (537GA) Chicago Heights,652,645,98.93%,7,1.07%,,639,6,4,3,0,0,,1.13,0.33,2.18
"",(V12) (537GD) Lakeside,"1,354","1,281",94.61%,73,5.39%,,"1,190",91,66,7,0,0,,6.15,0.00,0.00
"",(V12) (537HA) Auburn Gresham,452,452,100.00%,0,0.00%,,444,8,0,0,0,0,,1.87,0.00,2.06
"(V12) (",56) Captain James A Lovell FHCC,"29,736","29,604",99.56%,132,0.44%,,"28,936",668,124,8,0,0,,1.16,2.59,1.80
"",(V12) (556) Captain James A Lovell FHCC,"26,429","26,300",99.51%,129,0.49%,,"25,680",620,121,8,0,0,,1.22,2.55,1.93
"",(V12) (556GA) Evanston,671,671,100.00%,0,0.00%,,664,7,0,0,0,0,,0.86,1.77,1.62
"",(V12) (556GC) McHenry,"1,384","1,381",99.78%,3,0.22%,,"1,356",25,3,0,0,0,,0.81,7.73,1.24
"",(V12) (556GD) Kenosha County,"1,252","1,252",100.00%,0,0.00%,,"1,236",16,0,0,0,0,,1.52,3.44,1.58
"(V12) (578) Hines, IL","45,087","42,661",94.62%,"2,426",5.38%,,"40,773","1,888","1,847",571,8,0,,5.29,6.03,4.65,
"",(V12) (578) Hines,"36,027","33,899",94.09%,"2,128",5.91%,,"32,538","1,361","1,588",532,8,0,,7.57,6.18,4.52
"(V12) (578GA) Joliet","2,515","2,390",95.03%,125,4.97%,,"2,205",185,107,18,0,0,,6.33,5.00,4.35,
"(V12) (578GC) Kankakee County",978,963,98.47%,15,1.53%,,941,22,15,0,0,0,,1.38,1.86,3.31,
"(V12) (578GD) Aurora IL","1,529","1,504",98.36%,25,1.64%,,"1,426",78,23,2,0,0,,2.52,3.34,3.66,
"(V12) (578GE) Elgin","1,162","1,114",95.87%,48,4.13%,,"1,025",89,35,13,0,0,,3.50,11.17,8.66,
"(V12) (578GF) Lasalle","1,147","1,123",97.91%,24,2.09%,,"1,039",84,23,1,0,0,,3.61,3.80,3.36,
"(V12) (578GG) Oak Lawn","1,729","1,668",96.47%,61,3.53%,,"1,599",69,56,5,0,0,,2.41,4.14,6.99,
"(V12) (585) Iron Mountain, MI","11,450","11,158",97.45%,292,2.55%,,"10,604",554,254,37,1,0,,3.70,4.45,2.14,
"(V12) (585) Iron Mountain MI","7,932","7,706",97.15%,226,2.85%,,"7,271",435,195,30,1,0,,5.80,4.47,2.28,
"(V12) (585GA) Hancock",549,544,99.09%,5,0.91%,,535,9,5,0,0,0,,0.89,1.26,1.79,
"(V12) (585GB) Rhinelander",674,670,99.41%,4,0.59%,,647,23,4,0,0,0,,2.61,0.71,0.12,
"(V12) (585GC) Menominee MI",638,632,99.06%,6,0.94%,,622,10,6,0,0,0,,0.14,2.55,0.49,
"",(V12) (585GD) Ironwood,376,373,99.20%,3,0.80%,,371,2,2,1,0,0,,1.22,2.44,0.27
"",(V12) (585HA) Marquette MI,784,738,94.13%,46,5.87%,,671,67,40,6,0,0,,11.03,7.29,4.29
"",(V12) (585HB) Sault Ste. Marie,497,495,99.60%,2,0.40%,,487,8,2,0,0,0,,0.12,9.05,0.31
"(V12) (","07) Madison, WI","26,182","25,731",98.28%,451,1.72%,,"24,711","1,020",401,39,6,5,,3.85,2.66,2.12
"",(V12) (607) Madison WI,"20,455","20,027",97.91%,428,2.09%,,"19,167",860,378,39,6,5,,6.26,2.80,1.88
"",(V12) (607GC) Janesville,858,852,99.30%,6,0.70%,,812,40,6,0,0,0,,3.42,1.98,2.03
"",(V12) (607GD) Baraboo,508,507,99.80%,1,0.20%,,495,12,1,0,0,0,,1.84,0.12,0.28
"",(V12) (607GE) Beaver Dam,563,559,99.29%,4,0.71%,,523,36,4,0,0,0,,4.88,0.61,0.28
"",(V12) (607GF) Freeport,495,493,99.60%,2,0.40%,,485,8,2,0,0,0,,0.78,2.21,2.81
"",(V12) (607HA) Rockford,"3,303","3,293",99.70%,10,0.30%,,"3,229",64,10,0,0,0,,0.94,1.01,3.25
"(V12) (676) Tomah, WI","17,161","16,961",98.83%,200,1.17%,,"16,463",498,180,17,3,0,,2.44,2.99,1.47,
"",(V12) (676) Tomah,"11,282","11,192",99.20%,90,0.80%,,"10,880",312,84,4,2,0,,1.80,3.18,0.84
"",(V12) (676BU) Tomah VADOM,8,8,100.00%,0,0.00%,,8,0,0,0,0,0,,,,
"",(V12) (676GA) Wausau,"1,554","1,516",97.55%,38,2.45%,,"1,454",62,33,5,0,0,,3.98,0.04,1.43
"",(V12) (676GC) La Crosse,"2,099","2,073",98.76%,26,1.24%,,"2,005",68,24,1,1,0,,2.54,0.48,2.08
"",(V12) (676GD) Wisconsin Rapids,"1,947","1,907",97.95%,40,2.05%,,"1,855",52,33,7,0,0,,1.96,2.82,3.66
"",(V12) (676GE) Clark County,271,265,97.79%,6,2.21%,,261,4,6,0,0,0,,2.67,0.20,0.13
"(V12) (695) Milwaukee, WI","54,663","53,255",97.42%,"1,408",2.58%,,"51,806","1,449","1,133",251,16,8,,0.83,4.60,1.79,
"",(V12) (695) Milwaukee WI,"38,387","37,211",96.94%,"1,176",3.06%,,"35,918","1,293",989,165,14,8,,1.26,5.11,0.76
"",(V12) (695BU) VADOM Milwaukee,55,55,100.00%,0,0.00%,,54,1,0,0,0,0,,,,
"",(V12) (695BY) Appleton,"6,709","6,665",99.34%,44,0.66%,,"6,615",50,32,12,0,0,,0.39,0.31,3.94
"",(V12) (695GA) Union Grove WI,"1,120","1,097",97.95%,23,2.05%,,"1,080",17,15,8,0,0,,1.03,0.67,7.63
"",(V12) (695GC) Cleveland,"1,425","1,423",99.86%,2,0.14%,,"1,416",7,2,0,0,0,,0.77,0.07,1.27
"",(V12) (695GD) Milo C Huempfner,"6,967","6,804",97.66%,163,2.34%,,"6,723",81,95,66,2,0,,0.20,3.90,2.75
"(V15) (589) Columbia, MO","24,293","23,984",98.73%,309,1.27%,,"23,583",401,251,37,10,11,,2.10,2.53,1.13,
"",(V15) (589A4) Columbia MO,"18,853","18,655",98.95%,198,1.05%,,"18,373",282,161,17,10,10,,1.87,2.16,0.97
"","(V15) (589G8) Jefferson City, MO","1,119","1,080",96.51%,39,3.49%,,"1,054",26,39,0,0,0,,1.05,12.30,0.19
"",(V15) (589GE) Kirksville,635,633,99.69%,2,0.31%,,617,16,1,0,0,1,,2.70,0.00,1.08
"",(V15) (589GF) Ft Leonard Wood MO,"1,322","1,294",97.88%,28,2.12%,,"1,252",42,28,0,0,0,,1.84,5.79,2.43
"",(V15) (589GH) Lake of the Ozarks/Camdenton,613,612,99.84%,1,0.16%,,593,19,1,0,0,0,,2.94,0.00,1.99
